position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Atlético Madrid,30,18,8,4,54,20,+34,44
2,Real Madrid,30,19,5,6,53,30,+23,43
3,Barcelona,30,16,6,8,51,27,+24,38
4,Zaragoza,30,14,8,8,47,29,+18,36
5,Atlético Bilbao,30,14,6,10,43,32,+11,34
6,Elche,30,12,8,10,36,37,−1,32
7,Pontevedra,30,13,5,12,31,34,−3,31
8,Sevilla,30,9,9,12,27,38,−11,27
9,Valencia,30,11,5,14,40,35,+5,27
10,Las Palmas,30,9,8,13,32,39,−7,26
11,Córdoba,30,10,5,15,34,42,−8,25
12,Español,30,7,10,13,31,48,−17,24
13,Málaga,30,8,8,14,24,37,−13,24
14,Sabadell,30,10,3,17,30,46,−16,23
15,Mallorca,30,9,5,16,40,55,−15,23
16,Real Betis,30,7,9,14,36,60,−24,23
