position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
9,Real Madrid,30,13,5,12,80,71,+9,31,1950-51
3,Real Madrid,30,16,6,8,79,50,+29,38,1951-52
3,Real Madrid,30,18,3,9,67,49,+18,39,1952-53
1,Real Madrid,30,17,6,7,72,41,+31,40,1953-54
1,Real Madrid,30,20,6,4,80,31,+49,46,1954-55
3,Real Madrid,30,18,2,10,81,39,+42,38,1955-56
1,Real Madrid,30,20,4,6,74,35,+39,44,1956-57
1,Real Madrid,30,20,5,5,71,26,+45,45,1957-58
2,Real Madrid,30,21,5,4,89,29,+60,47,1958-59
2,Real Madrid,30,21,4,5,92,36,+56,46,1959-60
