position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
1,Valencia,30.0,18,7,5,41,19,+22,43,1970-71
2,Valencia,34.0,19,7,8,53,30,+23,45,1971-72
6,Valencia,34.0,12,10,12,37,33,+4,34,1972-73
10,Valencia,34.0,13,7,14,41,33,+8,33,1973-74
12,Valencia,34.0,12,8,14,53,48,+5,32,1974-75
10,Valencia,34.0,12,8,14,43,41,+2,32,1975-76
7,Valencia,34.0,13,10,11,53,47,+6,36,1976-77
4,Valencia,34.0,16,7,11,54,33,+21,39,1977-78
7,Valencia,34.0,14,7,13,44,39,+5,35,1978-79
6,Valencia,34.0,12,12,10,50,42,+8,36,1979-80
