position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
1,Barcelona,38.0,25,7,6,74,33,+41,57,1990-91
1,Barcelona,38.0,23,9,6,87,37,+50,55,1991-92
1,Barcelona,38.0,25,8,5,87,34,+53,58,1992-93
1,Barcelona,38.0,25,6,7,91,42,+49,56,1993-94
4,Barcelona,38.0,18,10,10,60,45,+15,46,1994-95
3,Barcelona,42.0,22,14,6,72,39,+33,80,1995-96
2,Barcelona,42.0,28,6,8,102,48,+54,90,1996-97
1,Barcelona,38.0,23,5,10,78,56,+22,74,1997-98
1,Barcelona,38.0,24,7,7,87,43,+44,79,1998-99
2,Barcelona,38.0,19,7,12,70,46,+24,64,1999-2000
