position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
6,Espanyol,,[e],38,14,15,9,51,35,1994-95
4,Espanyol,42.0,20,14,8,63,36,+27,74,1995-96
12,Espanyol,42.0,14,9,19,51,57,−6,51,1996-97
10,Espanyol,38.0,12,17,9,44,31,+13,53,1997-98
7,Espanyol,38.0,16,13,9,49,38,+11,61,1998-99
14,Espanyol,38.0,12,11,15,51,48,+3,47,1999-2000
