position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Atlético Madrid,34,20,8,6,49,29,+20,48
2,Barcelona,34,18,10,6,41,21,+20,46
3,Español,34,17,11,6,48,27,+21,45
4,Real Madrid,34,17,9,8,45,29,+16,43
5,Castellón,34,13,9,12,44,38,+6,35
6,Valencia,34,12,10,12,37,33,+4,34
7,Real Sociedad,34,13,8,13,37,39,−2,34
8,Zaragoza,34,10,14,10,36,36,0,34
9,Athletic Bilbao,34,12,9,13,41,38,+3,33
10,Málaga,34,11,11,12,33,29,+4,33
11,Las Palmas,34,11,9,14,38,44,−6,31
12,Oviedo,34,9,12,13,33,44,−11,30
13,Granada,34,9,11,14,25,32,−7,29
14,Sporting Gijón,34,11,7,16,32,37,−5,29
15,Celta,34,10,9,15,30,37,−7,29
16,Real Betis,34,7,14,13,29,36,−7,28
17,Deportivo La Coruña,34,7,13,14,22,44,−22,27
18,Burgos,34,9,6,19,36,63,−27,24
