position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Atlético Madrid,34,19,8,7,62,33,+29,46
2,Barcelona,34,18,9,7,69,34,+35,45
3,Athletic Bilbao,34,15,8,11,55,45,+10,38
4,Las Palmas,34,15,6,13,56,51,+5,36
5,Real Betis,34,15,6,13,42,42,0,36
6,Español,34,14,8,12,61,59,+2,36
7,Valencia,34,13,10,11,53,47,+6,36
8,Real Sociedad,34,13,8,13,54,41,+13,34
9,Real Madrid,34,12,10,12,57,53,+4,34
10,Sevilla,34,11,12,11,32,39,−7,34
11,Elche,34,11,11,12,45,47,−2,33
12,Salamanca,34,13,6,15,30,34,−4,32
13,Hércules,34,11,10,13,35,41,−6,32
14,Burgos,34,14,4,16,46,50,−4,32
15,Racing Santander,34,12,7,15,41,62,−21,31
16,Zaragoza,34,10,10,14,42,51,−9,30
17,Celta,34,9,11,14,22,40,−18,29
18,Málaga,34,6,6,22,27,60,−33,18
