position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,30,16,10,4,55,26,+29,42
2,Barcelona,30,15,9,6,48,29,+19,39
3,Las Palmas,30,17,4,9,56,41,+15,38
4,Valencia,30,13,8,9,52,38,+14,34
5,Zaragoza,30,13,7,10,43,34,+9,33
6,Atlético Madrid,30,12,9,9,38,32,+6,33
7,Atlético Bilbao,30,11,10,9,51,28,+23,32
8,Pontevedra,30,12,7,11,36,41,−5,31
9,Español,30,12,5,13,48,44,+4,29
10,Elche,30,9,9,12,29,37,−8,27
11,Málaga,30,11,5,14,30,39,−9,27
12,Sabadell,30,10,6,14,34,51,−17,26
13,Córdoba,30,11,3,16,35,57,−22,25
14,Real Sociedad,30,9,6,15,38,43,−5,24
15,Real Betis,30,8,4,18,30,58,−28,20
16,Sevilla,30,6,8,16,31,56,−25,20
