position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Barcelona,38,23,9,6,87,37,+50,55
2,Real Madrid,38,23,8,7,78,32,+46,54
3,Atlético Madrid,38,24,5,9,67,35,+32,53
4,Valencia,38,20,7,11,63,42,+21,47
5,Real Sociedad,38,16,12,10,44,38,+6,44
6,Zaragoza,38,17,7,14,40,41,−1,41
7,Albacete,38,16,8,14,45,47,−2,40
8,Sporting Gijón,38,15,8,15,37,43,−6,38
9,Real Burgos,38,12,13,13,40,43,−3,37
10,Logroñés,38,13,10,15,36,51,−15,36
11,Oviedo,38,14,8,16,41,46,−5,36
12,Sevilla,38,13,8,17,48,45,+3,34
13,Tenerife,38,12,10,16,46,50,−4,34
14,Athletic Bilbao,38,13,7,18,38,58,−20,33
15,Osasuna,38,10,13,15,30,40,−10,33
16,Español,38,12,8,18,43,60,−17,32
17,Deportivo La Coruña,38,8,15,15,37,48,−11,31
18,Cádiz,38,7,14,17,32,55,−23,28
19,Valladolid,38,7,13,18,31,53,−22,27
20,Mallorca,38,10,7,21,30,49,−19,27
