position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Barcelona,34,21,11,2,69,25,+44,53
2,Atlético Madrid,34,16,11,7,51,28,+23,43
3,Athletic Bilbao,34,13,15,6,39,26,+13,41
4,Sporting Gijón,34,13,15,6,34,23,+11,41
5,Real Madrid,34,13,10,11,46,36,+10,36
6,Osasuna,34,13,8,13,38,38,0,34
7,Real Sociedad,34,11,12,11,41,33,+8,34
8,Español,34,11,12,11,40,44,−4,34
9,Valencia,34,9,15,10,40,37,+3,33
10,Zaragoza,34,11,11,12,39,39,0,33
11,Racing Santander,34,10,12,12,27,34,−7,32
12,Sevilla,34,10,11,13,29,41,−12,31
13,Valladolid,34,7,16,11,39,45,−6,30
14,Real Betis,34,11,8,15,37,43,−6,30
15,Hércules,34,9,12,13,28,45,−17,30
16,Málaga,34,7,15,12,23,36,−13,29
17,Elche,34,6,14,14,18,37,−19,26
18,Murcia,34,6,10,18,24,52,−28,22
