position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,34,26,4,4,83,33,+50,56
2,Barcelona,34,18,9,7,61,36,+25,45
3,Athletic Bilbao,34,17,9,8,44,31,+13,43
4,Zaragoza,34,15,12,7,51,34,+17,42
5,Atlético Madrid,34,17,8,9,53,38,+15,42
6,Sporting Gijón,34,13,15,6,37,27,+10,41
7,Real Sociedad,34,17,5,12,64,51,+13,39
8,Real Betis,34,11,13,10,40,40,0,35
9,Sevilla,34,12,10,12,39,34,+5,34
10,Valladolid,34,13,6,15,54,48,+6,32
11,Español,34,11,9,14,43,40,+3,31
12,Racing Santander,34,10,11,13,33,34,−1,31
13,Las Palmas,34,9,9,16,37,65,−28,27
14,Osasuna,34,9,9,16,24,33,−9,27
15,Cádiz,34,9,8,17,30,58,−28,26
16,Valencia,34,8,9,17,38,62,−24,25
17,Hércules,34,8,6,20,35,62,−27,22
18,Celta,34,5,4,25,32,72,−40,14
