position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Barcelona,38,25,9,4,73,29,+44,84
2,Real Madrid,38,25,5,8,71,32,+39,80
3,Villarreal,38,18,11,9,69,37,+32,65
4,Betis,38,16,14,8,62,50,+12,62
5,Espanyol,38,17,10,11,54,46,+8,61
6,Sevilla,38,17,9,12,44,41,+3,60
7,Valencia,38,14,16,8,54,39,+15,58
8,Deportivo La Coruña,38,12,15,11,46,50,−4,51
9,Athletic Bilbao,38,14,9,15,59,54,+5,51
10,Málaga,38,15,6,17,40,48,−8,51
11,Atlético Madrid,38,13,11,14,40,34,+6,50
12,Zaragoza,38,14,8,16,52,57,−5,50
13,Getafe,38,12,11,15,38,46,−8,47
14,Real Sociedad,38,13,8,17,47,56,−9,47
15,Osasuna,38,12,10,16,46,65,−19,46
16,Racing Santander,38,12,8,18,41,58,−17,44
17,Mallorca,38,10,9,19,42,63,−21,39
18,Levante,38,9,10,19,39,58,−19,37
19,Numancia,38,6,11,21,30,61,−31,29
20,Albacete,38,6,10,22,33,56,−23,28
