position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,30,19,9,2,58,22,+36,47
2,Barcelona,30,20,2,8,58,29,+29,42
3,Español,30,15,7,8,50,40,+10,37
4,Atlético Madrid,30,14,7,9,57,30,+27,35
5,Zaragoza,30,14,6,10,51,50,+1,34
6,Valencia,30,14,4,12,58,37,+21,32
7,Atlético Bilbao,30,11,9,10,43,36,+7,31
8,Sabadell,30,11,8,11,35,38,−3,30
9,Elche,30,9,9,12,41,50,−9,27
10,Pontevedra,30,9,9,12,28,32,−4,27
11,Las Palmas,30,8,10,12,32,38,−6,26
12,Córdoba,30,9,8,13,28,44,−16,26
13,Sevilla,30,9,7,14,28,47,−19,25
14,Granada,30,8,7,15,32,46,−14,23
15,Hércules,30,6,8,16,32,60,−28,20
16,Deportivo La Coruña,30,7,4,19,25,57,−32,18
