position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,30,20,4,6,74,35,+39,44
2,Sevilla,30,17,5,8,64,49,+15,39
3,Barcelona,30,16,7,7,70,37,+33,39
4,Atlético Bilbao,30,16,5,9,59,45,+14,37
5,Atlético Madrid,30,15,4,11,65,45,+20,34
6,Osasuna,30,12,7,11,40,38,+2,31
7,Español,30,11,8,11,39,48,−9,30
8,Valladolid,30,11,6,13,52,58,−6,28
9,Zaragoza,30,11,6,13,37,51,−14,28
10,Las Palmas,30,9,9,12,41,58,−17,27
11,Valencia,30,10,7,13,43,46,−3,27
12,Real Sociedad,30,9,8,13,39,47,−8,26
13,Celta,30,8,7,15,39,47,−8,23
14,Jaén,30,9,5,16,37,55,−18,23
15,Deportivo La Coruña,30,10,2,18,41,61,−20,22
16,Condal,30,7,8,15,37,57,−20,22
