position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,30,19,5,6,58,24,+34,43
2,Barcelona,30,18,4,8,81,46,+35,40
3,Atlético Madrid,30,15,6,9,50,36,+14,36
4,Zaragoza,30,15,5,10,70,51,+19,35
5,Atlético Bilbao,30,12,8,10,52,38,+14,32
6,Sevilla,30,12,7,11,48,45,+3,31
7,Valencia,30,12,7,11,50,50,0,31
8,Elche,30,10,9,11,52,52,0,29
9,Real Betis,30,10,8,12,39,51,−12,28
10,Oviedo,30,10,7,13,27,47,−20,27
11,Osasuna,30,11,5,14,30,47,−17,27
12,Mallorca,30,10,7,13,54,59,−5,27
13,Español,30,8,10,12,45,55,−10,26
14,Real Santander,30,11,4,15,35,54,−19,26
15,Real Sociedad,30,9,5,16,37,49,−12,23
16,Tenerife,30,6,7,17,33,57,−24,19
