position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Atlético Madrid,30,17,6,7,87,50,+37,40
2,Sevilla,30,17,4,9,79,46,+33,38
3,Valencia,30,17,3,10,64,48,+16,37
4,Barcelona,30,16,3,11,83,61,+22,35
5,Real Sociedad,30,15,5,10,77,56,+21,35
6,Valladolid,30,14,5,11,51,51,0,33
7,Atlético Bilbao,30,15,3,12,88,56,+32,33
8,Celta,30,15,3,12,62,56,+6,33
9,Real Madrid,30,13,5,12,80,71,+9,31
10,Real Santander,30,12,6,12,49,60,−11,30
11,Español,30,13,4,13,82,72,+10,30
12,Deportivo La Coruña,30,13,4,13,64,47,+17,30
13,Málaga,30,12,5,13,55,52,+3,29
14,Murcia,30,8,3,19,40,86,−46,19
15,Alcoyano,30,6,2,22,36,92,−56,14
16,Lérida,30,6,1,23,41,134,−93,13
