position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Atlético Madrid,30,18,6,6,53,22,+31,42
2,Atlético Bilbao,30,17,7,6,44,20,+24,41
3,Sevilla,30,14,7,9,39,32,+7,35
4,Barcelona,30,13,9,8,40,31,+9,35
5,Valencia,30,15,5,10,35,23,+12,35
6,Real Madrid,30,13,9,8,50,42,+8,35
7,Real Sociedad,30,15,3,12,47,37,+10,33
8,Zaragoza,30,13,7,10,35,39,−4,33
9,Las Palmas,30,10,7,13,32,40,−8,27
10,Celta,30,10,7,13,31,39,−8,27
11,Elche,30,8,10,12,32,44,−12,26
12,Granada,30,8,10,12,20,31,−11,26
13,Sabadell,30,10,5,15,31,37,−6,25
14,Deportivo La Coruña,30,8,9,13,25,32,−7,25
15,Mallorca,30,7,8,15,33,52,−19,22
16,Pontevedra,30,4,5,21,20,46,−26,13
