position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Atlético Madrid,38,0.39184799246266805,0.05675043538391658,0.14888750009563953,77,26,+51,0.36174054197616334
2,Barcelona,38,0.37785342130328703,0.07093804422989572,0.14888750009563953,100,33,+67,0.34968252391029125
3,Real Madrid,38,0.37785342130328703,0.07093804422989572,0.14888750009563953,104,38,+66,0.34968252391029125
4,Athletic Bilbao,38,0.27989142318762,0.11350087076783316,0.24814583349273256,66,39,+27,0.28135375487034925
5,Sevilla,38,0.251902280868858,0.15606369730577058,0.22333125014345928,69,52,+17,0.2532183793833144
6,Villarreal,38,0.23790770970947703,0.18443891499772888,0.19851666679418603,60,44,+16,0.23714102196215153
7,Real Sociedad,38,0.223913138550096,0.15606369730577058,0.2729604168420058,62,55,+7,0.23714102196215153
8,Valencia,38,0.181929425071953,0.21281413268968716,0.24814583349273256,51,53,−2,0.19694762840924449
9,Celta Vigo,38,0.19592399623133402,0.24118935038164546,0.17370208344491278,49,54,−5,0.19694762840924449
10,Levante,38,0.167934853912572,0.19862652384370802,0.29777500019127906,35,43,−8,0.1929282890539538
11,Málaga,38,0.167934853912572,0.24118935038164546,0.22333125014345928,39,46,−7,0.18087027098808167
12,Rayo Vallecano,38,0.181929425071953,0.297939785765562,0.09925833339709302,46,80,−34,0.17283159227750028
13,Getafe,38,0.15394028275319102,0.2553769592276246,0.22333125014345928,35,54,−19,0.16881225292220955
14,Espanyol,38,0.15394028275319102,0.2553769592276246,0.22333125014345928,41,51,−10,0.16881225292220955
15,Granada,38,0.167934853912572,0.297939785765562,0.12407291674636628,32,56,−24,0.16479291356691886
16,Elche,38,0.125951140434429,0.22700174153566632,0.3225895835405523,30,50,−20,0.16077357421162816
17,Almería,38,0.15394028275319102,0.2837521769195829,0.17370208344491278,43,71,−28,0.16077357421162816
18,Osasuna,38,0.13994571159381,0.26956456807360374,0.22333125014345928,32,62,−30,0.15675423485633747
19,Valladolid,38,0.09796199811566701,0.22700174153566632,0.37221875023909884,38,60,−22,0.14469621679046535
20,Real Betis,38,0.083967426956286,0.3546902211494786,0.17370208344491278,36,78,−42,0.1004834838822676
