position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Real Madrid,38,0.3933528721548906,0.045345373288617104,0.1840956636890759,70,25,+45,0.35968535946792624
2,Barcelona,38,0.37822391553354867,0.09069074657723421,0.14318551620261458,86,38,+48,0.3390137870847121
3,Atlético Madrid,38,0.2723212191841551,0.06046049771815614,0.3272811798916905,51,27,+24,0.2894020133649981
4,Sevilla,38,0.28745017580549703,0.09069074657723421,0.2659159586619985,54,34,+20,0.2894020133649981
5,Villarreal,38,0.2723212191841551,0.2116117420135465,0.12273044245938393,63,49,+14,0.24805886859856982
6,Real Sociedad,38,0.24206330594147116,0.2116117420135465,0.16364058994584524,56,48,+8,0.2315216106919985
7,Granada,38,0.24206330594147116,0.2116117420135465,0.16364058994584524,52,45,+7,0.2315216106919985
8,Getafe,38,0.21180539269878726,0.18138149315446842,0.24546088491876786,43,37,+6,0.22325298173871283
9,Valencia,38,0.21180539269878726,0.19649661758400747,0.2250058111755372,46,53,−7,0.21911866726207
10,Osasuna,38,0.1966764360774453,0.18138149315446842,0.2659159586619985,46,54,−8,0.21498435278542719
11,Athletic Bilbao,38,0.1966764360774453,0.19649661758400747,0.24546088491876786,41,38,+3,0.21085003830878435
12,Levante,38,0.21180539269878726,0.2569571153021636,0.14318551620261458,47,53,−6,0.20258140935549868
13,Valladolid,38,0.13616060959207754,0.2116117420135465,0.30682610614845984,32,43,−11,0.17364120801899888
14,Eibar,38,0.16641852283476144,0.27207223973170264,0.1840956636890759,39,56,−17,0.17364120801899888
15,Real Betis,38,0.1512895662134195,0.2569571153021636,0.2250058111755372,48,60,−12,0.16950689354235604
16,Alavés,38,0.1512895662134195,0.2871873641612417,0.1840956636890759,34,59,−25,0.16123826458907037
17,Celta Vigo,38,0.10590269634939363,0.22672686644308554,0.3272811798916905,37,49,−12,0.15296963563578472
18,Leganés,38,0.12103165297073558,0.27207223973170264,0.24546088491876786,30,51,−21,0.1488353211591419
19,Mallorca,38,0.13616060959207754,0.34764786187939783,0.12273044245938393,40,65,−25,0.1364323777292134
20,Espanyol,38,0.07564478310670975,0.34764786187939783,0.20455073743230656,27,58,−31,0.10335786191607076
