position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Atlético Madrid,38,0.3875420582632368,0.06232525948908003,0.15968095681115982,67,25,+42,0.353472750080417
2,Real Madrid,38,0.37263659448388153,0.06232525948908003,0.1796410764125548,67,28,+39,0.34525245356691897
3,Barcelona,38,0.3577311307045263,0.10906920410589005,0.13972083720976483,85,38,+47,0.3247017122831738
4,Sevilla,38,0.3577311307045263,0.14023183385043006,0.09980059800697488,53,33,+20,0.3164814157696757
5,Real Sociedad,38,0.25339288424903944,0.15581314872270008,0.21956131561534475,59,38,+21,0.25482919191844017
6,Real Betis,38,0.25339288424903944,0.1713944635949701,0.19960119601394977,50,50,0,0.2507190436616911
7,Villarreal,38,0.22358195669032893,0.15581314872270008,0.25948155481813473,60,44,+16,0.23838859889144404
8,Celta Vigo,38,0.20867649291097368,0.2025570933395101,0.21956131561534475,55,57,−2,0.21783785760769886
9,Granada,38,0.1937710291316184,0.2804636677008601,0.13972083720976483,47,65,−18,0.18906681981045562
10,Athletic Bilbao,38,0.16396010157290788,0.2181384082117801,0.25948155481813473,46,42,+4,0.18906681981045562
11,Osasuna,38,0.16396010157290788,0.2493010379563201,0.21956131561534475,37,48,−11,0.18084652329695755
12,Cádiz,38,0.16396010157290788,0.2493010379563201,0.21956131561534475,36,58,−22,0.18084652329695755
13,Valencia,38,0.14905463779355263,0.23371972308405012,0.25948155481813473,50,53,−3,0.1767363750402085
14,Levante,38,0.13414917401419735,0.23371972308405012,0.27944167441952966,46,57,−11,0.16851607852671044
15,Getafe,38,0.13414917401419735,0.2804636677008601,0.21956131561534475,28,43,−15,0.15618563375646333
16,Alavés,38,0.13414917401419735,0.2804636677008601,0.21956131561534475,36,57,−21,0.15618563375646333
17,Elche,38,0.11924371023484209,0.2804636677008601,0.23952143521673974,34,55,−21,0.14796533724296526
18,Huesca,38,0.10433824645548684,0.2804636677008601,0.25948155481813473,34,53,−19,0.1397450407294672
19,Valladolid,38,0.07452731889677632,0.26488235282859013,0.31936191362231964,34,57,−23,0.12741459595922008
20,Eibar,38,0.08943278267613157,0.31162629744540016,0.23952143521673974,29,52,−23,0.12330444770247105
