position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Real Madrid,38,0.401578859076927,0.04233759108876369,0.1469987872650076,106,41,+65,0.3696038635305311
2,Barcelona,38,0.38773131221220536,0.05645012145168492,0.1469987872650076,116,37,+79,0.3576811582553527
3,Atlético Madrid,38,0.3184935778885973,0.08467518217752738,0.2204981808975114,70,27,+43,0.309990337154639
4,Sevilla,38,0.290798484159154,0.11290024290336984,0.2204981808975114,69,49,+20,0.28614492660428215
5,Villarreal,38,0.26310339042971076,0.12701277326629107,0.24499797877501264,56,33,+23,0.26627375114565144
6,Real Sociedad,38,0.26310339042971076,0.16935036435505477,0.17149858514250885,59,53,+6,0.254351045870473
7,Athletic Bilbao,38,0.26310339042971076,0.183462894717976,0.1469987872650076,53,43,+10,0.25037681077874685
8,Espanyol,38,0.2077132029708243,0.16935036435505477,0.2694977766525139,49,50,−1,0.2225571651366639
9,Alavés,38,0.19386565610610268,0.15523783399213353,0.31849737240751647,41,43,−2,0.21858293004493776
10,Eibar,38,0.2077132029708243,0.19757542508089723,0.2204981808975114,56,51,+5,0.2146086949532116
11,Málaga,38,0.16617056237665945,0.22580048580673967,0.24499797877501264,49,55,−6,0.1828148142194025
12,Valencia,38,0.18001810924138106,0.25402554653258214,0.17149858514250885,56,65,−9,0.1828148142194025
13,Celta Vigo,38,0.18001810924138106,0.2681380768955034,0.1469987872650076,53,69,−16,0.17884057912767634
14,Las Palmas,38,0.1384754686472162,0.2681380768955034,0.2204981808975114,53,74,−21,0.1549951685773195
15,Real Betis,38,0.1384754686472162,0.2681380768955034,0.2204981808975114,41,64,−23,0.1549951685773195
16,Deportivo La Coruña,38,0.11078037491777296,0.25402554653258214,0.2939975745300152,43,61,−18,0.14307246330214107
17,Leganés,38,0.11078037491777296,0.2681380768955034,0.2694977766525139,36,55,−19,0.13909822821041493
18,Sporting Gijón,38,0.09693282805305134,0.29636313762134586,0.24499797877501264,42,72,−30,0.12320128784351037
19,Osasuna,38,0.05539018745888648,0.33870072871010953,0.24499797877501264,40,94,−54,0.0874331720179751
20,Granada,38,0.05539018745888648,0.366925789435952,0.1959983830200101,30,82,−52,0.07948470183452282
