position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Real Madrid,38,0.46188021535170054,0.02953980956336956,0.0899842541331695,121,32,+89,0.408139467780212
2,Barcelona,38,0.404145188432738,0.04430971434505434,0.15747244473304664,114,29,+85,0.3714069156799929
3,Valencia,38,0.24537386440559092,0.16246895259853258,0.22496063533292376,59,44,+15,0.24896507534592932
4,Málaga,38,0.24537386440559092,0.2067786669435869,0.15747244473304664,54,53,+1,0.23672089131252294
5,Atlético Madrid,38,0.21650635094610965,0.17723885738021736,0.24745669886621613,53,46,+7,0.2285581019569187
6,Levante,38,0.23094010767585027,0.2215485717252717,0.15747244473304664,54,50,+4,0.2244767072791166
7,Osasuna,38,0.18763883748662835,0.14769904781684778,0.33744095299938565,44,61,−17,0.22039531260131448
8,Mallorca,38,0.202072594216369,0.2067786669435869,0.22496063533292376,42,46,−4,0.21223252324571024
9,Sevilla,38,0.18763883748662835,0.2067786669435869,0.24745669886621613,48,47,+1,0.204069733890106
10,Athletic Bilbao,38,0.1732050807568877,0.19200876216190213,0.2924488259328009,49,52,−3,0.19998833921230388
11,Getafe,38,0.1732050807568877,0.2215485717252717,0.24745669886621613,40,51,−11,0.19182554985669964
12,Real Sociedad,38,0.1732050807568877,0.2215485717252717,0.24745669886621613,46,52,−6,0.19182554985669964
13,Real Betis,38,0.18763883748662835,0.25108838128864125,0.179968508266339,47,56,−9,0.19182554985669964
14,Espanyol,38,0.1732050807568877,0.23631847650695648,0.22496063533292376,46,56,−10,0.1877441551788975
15,Rayo Vallecano,38,0.18763883748662835,0.31016800041538034,0.0899842541331695,53,73,−20,0.17549997114549115
16,Zaragoza,38,0.1732050807568877,0.2806281908520108,0.15747244473304664,36,61,−25,0.17549997114549115
17,Granada,38,0.1732050807568877,0.29539809563369557,0.13497638119975425,35,56,−21,0.17141857646768904
18,Villarreal,38,0.12990381056766578,0.2215485717252717,0.3149448894660933,39,53,−14,0.1673371817898869
19,Sporting Gijón,38,0.14433756729740643,0.31016800041538034,0.15747244473304664,42,69,−27,0.15101160307867845
20,Racing Santander,38,0.05773502691896257,0.2806281908520108,0.33744095299938565,28,63,−35,0.11019765630065724
