position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Barcelona,38,0.4150286783196448,0.02821382463434393,0.16012815380508716,95,21,+74,0.386704007337338
2,Real Madrid,38,0.4011943890423233,0.05642764926868786,0.13344012817090595,102,33,+69,0.37059134036494895
3,Valencia,38,0.29052007482375136,0.12696221085454767,0.21350420507344953,64,44,+20,0.28599983875990626
4,Villarreal,38,0.24901720699178687,0.16928294780606357,0.21350420507344953,54,44,+10,0.2497463380720308
5,Sevilla,38,0.23518291771446537,0.1974967724404075,0.18681617943926834,62,61,+1,0.23363367109964173
6,Athletic Bilbao,38,0.24901720699178687,0.22571059707475144,0.10675210253672476,59,55,+4,0.23363367109964173
7,Atlético Madrid,38,0.23518291771446537,0.1974967724404075,0.18681617943926834,62,53,+9,0.23363367109964173
8,Espanyol,38,0.2075143391598224,0.26803133402626733,0.10675210253672476,46,55,−9,0.19738017041176628
9,Osasuna,38,0.1798457606051794,0.2398175093919234,0.21350420507344953,45,46,−1,0.18932383692557173
10,Sporting Gijón,38,0.15217718205053643,0.18338986012323555,0.3736323588785367,35,42,−7,0.18932383692557173
11,Málaga,38,0.1798457606051794,0.25392442170909535,0.18681617943926834,54,68,−14,0.18529567018247448
12,Racing Santander,38,0.1660114713278579,0.22571059707475144,0.2668802563418119,41,56,−15,0.18529567018247448
13,Zaragoza,38,0.1660114713278579,0.2398175093919234,0.2401922307076307,40,53,−13,0.1812675034393772
14,Levante,38,0.1660114713278579,0.2398175093919234,0.2401922307076307,41,52,−11,0.1812675034393772
15,Real Sociedad,38,0.1936800498825009,0.29624515866061124,0.08006407690254358,49,66,−17,0.1812675034393772
16,Getafe,38,0.1660114713278579,0.25392442170909535,0.21350420507344953,49,60,−11,0.17723933669627992
17,Mallorca,38,0.1660114713278579,0.25392442170909535,0.21350420507344953,41,56,−15,0.17723933669627992
18,Deportivo La Coruña,38,0.13834289277321493,0.21160368475757949,0.3469443332443555,31,47,−16,0.17321116995318264
19,Hércules,38,0.12450860349589343,0.29624515866061124,0.21350420507344953,36,60,−24,0.14098583600840447
20,Almería,38,0.08300573566392895,0.2821382463434393,0.3202563076101743,36,70,−34,0.12084500229291813
