position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Real Madrid,38,0.4033553613540951,0.06238587244723111,0.15665208999759148,80,31,+49,0.3590978535385662
2,Barcelona,38,0.32578702263215376,0.10917527678265444,0.19581511249698935,68,38,+30,0.3048156198641318
3,Atlético Madrid,38,0.32578702263215376,0.14036821300627,0.15665208999759148,65,43,+22,0.2964645069911419
4,Sevilla,38,0.2792460193989889,0.06238587244723111,0.31330417999518295,53,30,+23,0.29228895055464693
5,Real Betis,38,0.2947596871433772,0.17156114922988555,0.15665208999759148,62,40,+22,0.27141116837217216
6,Real Sociedad,38,0.2637323516546006,0.15596468111807776,0.21539662374668828,40,37,+3,0.2588844990626873
7,Villarreal,38,0.24821868391021237,0.17156114922988555,0.21539662374668828,63,37,+26,0.24635782975320242
8,Athletic Bilbao,38,0.21719134842143584,0.17156114922988555,0.2545596462460861,43,36,+7,0.2296556040072226
9,Valencia,38,0.17065034518827102,0.18715761734169334,0.29372266874548403,48,53,−5,0.2004267089517579
10,Osasuna,38,0.18616401293265927,0.23394702167711667,0.21539662374668828,37,51,−14,0.19625115251526296
11,Celta Vigo,38,0.18616401293265927,0.24954348978892443,0.19581511249698935,43,43,0,0.19207559607876798
12,Rayo Vallecano,38,0.17065034518827102,0.28073642601254,0.1762336012472904,39,50,−11,0.17537337033278816
13,Elche,38,0.17065034518827102,0.28073642601254,0.1762336012472904,40,52,−12,0.17537337033278816
14,Espanyol,38,0.15513667744388274,0.24954348978892443,0.2349781349963872,40,53,−13,0.17537337033278816
15,Getafe,38,0.12410934195510619,0.23394702167711667,0.29372266874548403,33,41,−8,0.1628467010233033
16,Mallorca,38,0.15513667744388274,0.29633289412434777,0.1762336012472904,36,63,−27,0.1628467010233033
17,Cádiz,38,0.12410934195510619,0.23394702167711667,0.29372266874548403,35,51,−16,0.1628467010233033
18,Granada,38,0.12410934195510619,0.24954348978892443,0.2741411574957851,44,61,−17,0.15867114458680834
19,Levante,38,0.12410934195510619,0.29633289412434777,0.21539662374668828,51,76,−25,0.14614447527732347
20,Alavés,38,0.12410934195510619,0.35871876657157886,0.13707057874789255,31,65,−34,0.12944224953134364
