position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Barcelona,38,0.40625,0.04710557197659958,0.17815670605460154,90,36,+54,0.3653012358969154
2,Atlético Madrid,38,0.34375,0.09421114395319916,0.19795189561622395,55,29,+26,0.3191137233122479
3,Real Madrid,38,0.328125,0.1884222879063983,0.09897594780811197,63,46,+17,0.2855228050688534
4,Valencia,38,0.234375,0.10991300127873234,0.31672303298595833,51,35,+16,0.25613075160588317
5,Getafe,38,0.234375,0.14131671592979872,0.2771326538627135,48,35,+13,0.24773302204503456
6,Sevilla,38,0.265625,0.2041241452319315,0.15836151649297917,62,47,+15,0.24773302204503456
7,Espanyol,38,0.21875,0.2041241452319315,0.21774708517784636,48,50,−2,0.22253983336248867
8,Athletic Bilbao,38,0.203125,0.17272043058086511,0.2771326538627135,41,45,−4,0.22253983336248867
9,Real Sociedad,38,0.203125,0.21982600255746468,0.21774708517784636,45,46,−1,0.20994323902121573
10,Real Betis,38,0.21875,0.2512297172085311,0.15836151649297917,44,52,−8,0.20994323902121573
11,Alavés,38,0.203125,0.21982600255746468,0.21774708517784636,39,50,−11,0.20994323902121573
12,Eibar,38,0.171875,0.2041241452319315,0.2771326538627135,46,50,−4,0.19734664467994278
13,Leganés,38,0.171875,0.23552785988299788,0.23754227473946873,37,43,−6,0.18894891511909415
14,Villarreal,38,0.15625,0.21982600255746468,0.2771326538627135,49,52,−3,0.18475005033866984
15,Levante,38,0.171875,0.2512297172085311,0.21774708517784636,59,66,−7,0.18475005033866984
16,Valladolid,38,0.15625,0.26693157453406424,0.21774708517784636,32,51,−19,0.1721534559973969
17,Celta Vigo,38,0.15625,0.26693157453406424,0.21774708517784636,53,62,−9,0.1721534559973969
18,Girona,38,0.140625,0.29833528918513064,0.19795189561622395,37,53,−16,0.15535799687569965
19,Huesca,38,0.109375,0.29833528918513064,0.23754227473946873,43,65,−22,0.13856253775400237
20,Rayo Vallecano,38,0.125,0.34544086116173023,0.15836151649297917,41,70,−29,0.13436367297357807
