position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Barcelona,38,0.381690510345287,0.07831643620957981,0.15799050110667284,87,34,+53,0.3300145586328108
2,Real Madrid,38,0.36642288993147554,0.07831643620957981,0.17773931374500695,75,28,+47,0.3243246524494865
3,Deportivo La Coruña,38,0.3358876491038526,0.09397972345149579,0.19748812638334107,67,33,+34,0.3072549338995135
4,Valencia,38,0.29008478786241815,0.14096958517724367,0.19748812638334107,60,33,+27,0.27311549679956754
5,Tenerife,38,0.22901430620717222,0.14096958517724367,0.27648337693667746,59,47,+12,0.25035587206627025
6,Atlético Madrid,38,0.2442819266209837,0.17229615966107562,0.21723693902167518,52,42,+10,0.24466596588294592
7,Sevilla,38,0.25954954703479516,0.18795944690299157,0.17773931374500695,46,44,+2,0.24466596588294592
8,Athletic Bilbao,38,0.25954954703479516,0.23494930862873947,0.11849287583000463,53,49,+4,0.22759624733297296
9,Zaragoza,38,0.1679438245519263,0.2192860213868235,0.2567345642983434,37,52,−15,0.19914671641635134
10,Osasuna,38,0.18321144496573777,0.25061259587065543,0.19748812638334107,42,41,+1,0.19345681023302702
11,Celta de Vigo,38,0.13740858372430334,0.20362273414490753,0.3159810022133457,25,32,−7,0.19345681023302702
12,Sporting Gijón,38,0.1679438245519263,0.23494930862873947,0.23698575166000926,38,57,−19,0.19345681023302702
13,Real Sociedad,38,0.19847906537954926,0.2662758831125714,0.15799050110667284,46,59,−13,0.19345681023302702
14,Rayo Vallecano,38,0.12214096331049185,0.20362273414490753,0.3357298148516798,40,49,−9,0.1877669040497027
15,Logroñés,38,0.1679438245519263,0.25061259587065543,0.21723693902167518,32,48,−16,0.1877669040497027
16,Oviedo,38,0.1679438245519263,0.2662758831125714,0.19748812638334107,42,52,−10,0.18207699786637838
17,Albacete,38,0.1679438245519263,0.28193917035448735,0.17773931374500695,54,59,−5,0.17638709168305405
18,Español,38,0.13740858372430334,0.28193917035448735,0.21723693902167518,40,56,−16,0.1650072793164054
19,Cádiz,38,0.0763381020690574,0.3289290320802353,0.23698575166000926,30,70,−40,0.12517793603313512
20,Real Burgos,38,0.06107048165524592,0.31326574483831926,0.27648337693667746,29,69,−40,0.12517793603313512
