position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Barcelona,38,0.36338949092788136,0.15609763526361567,0.09836118442057921,78,56,+22,0.31198366515435155
2,Athletic Bilbao,38,0.2685922324249558,0.10926834468453098,0.2754113163776218,52,42,+10,0.2740397058788223
3,Real Sociedad,38,0.25279268934113486,0.10926834468453098,0.29508355326173763,60,37,+23,0.2656077149287047
4,Real Madrid,38,0.2685922324249558,0.1404878717372541,0.23606684260939012,63,45,+18,0.2656077149287047
5,Mallorca,38,0.25279268934113486,0.15609763526361567,0.23606684260939012,55,39,+16,0.2529597285035283
6,Celta de Vigo,38,0.2685922324249558,0.18731716231633883,0.17705013195704258,54,47,+7,0.2529597285035283
7,Atlético Madrid,38,0.25279268934113486,0.15609763526361567,0.23606684260939012,79,56,+23,0.2529597285035283
8,Betis,38,0.2685922324249558,0.2029269258427004,0.15737789507292674,49,50,−1,0.2487437330284695
9,Valencia,38,0.25279268934113486,0.23414645289542352,0.1377056581888109,58,52,+6,0.23187975112823428
10,Espanyol,38,0.18959451700585114,0.1404878717372541,0.3344280270299693,44,31,+13,0.22344776017811666
11,Valladolid,38,0.20539406008967206,0.21853668936906195,0.21639460572527427,36,47,−11,0.21079977375294026
12,Deportivo La Coruña,38,0.18959451700585114,0.2029269258427004,0.25573907949350594,44,46,−2,0.20658377827788144
13,Zaragoza,38,0.18959451700585114,0.21853668936906195,0.23606684260939012,45,53,−8,0.20236778280282264
14,Racing Santander,38,0.18959451700585114,0.26536597994814665,0.17705013195704258,46,55,−9,0.18971979637764622
15,Salamanca,38,0.18959451700585114,0.26536597994814665,0.17705013195704258,46,46,0,0.18971979637764622
16,Tenerife,38,0.17379497392203022,0.23414645289542352,0.23606684260939012,44,57,−13,0.18971979637764622
17,Compostela,38,0.17379497392203022,0.24975621642178508,0.21639460572527427,56,66,−10,0.18550380090258742
18,Oviedo,38,0.14219588775438835,0.24975621642178508,0.25573907949350594,36,51,−15,0.1686398190023522
19,Mérida,38,0.14219588775438835,0.26536597994814665,0.23606684260939012,33,53,−20,0.1644238235272934
20,Sporting Gijón,38,0.03159908616764186,0.45268314226448547,0.1377056581888109,31,80,−49,0.054807941175764464
