position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,38,23,9,6,76,29,+47,55
2,Deportivo La Coruña,38,20,11,7,68,32,+36,51
3,Betis,38,15,16,7,46,25,+21,46
4,Barcelona,38,18,10,10,60,45,+15,46
5,Sevilla,,[c],38,16,11,11,55,41
6,Espanyol,,[e],38,14,15,9,51,35
7,Zaragoza,38,18,7,13,56,51,+5,43
8,Athletic Bilbao,38,16,10,12,39,42,−3,42
9,Oviedo,38,13,13,12,45,42,+3,39
10,Valencia,38,13,12,13,53,48,+5,38
11,Real Sociedad,38,12,14,12,56,44,+12,38
12,Racing Santander,38,13,10,15,42,47,−5,36
13,Celta de Vigo,,[c],38,11,14,13,36,48
14,Atlético Madrid,38,13,9,16,56,54,+2,35
15,Tenerife,38,13,9,16,57,57,0,35
16,Compostela,38,11,12,15,44,56,−12,34
17,Albacete,,[c],38,10,14,14,44,61
18,Sporting Gijón,38,8,12,18,42,67,−25,28
19,Valladolid,,[c],38,8,9,21,25,63
20,Logroñés,38,2,9,27,15,79,−64,13
