position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Real Madrid,42,0.35165909932405354,0.05113517713771388,0.20743642876129642,85,36,+49,0.32922085254144273
2,Barcelona,42,0.36468351041012964,0.10227035427542776,0.11314714296070713,102,48,+54,0.322063877486194
3,Deportivo La Coruña,42,0.2735126328075972,0.08948655999099929,0.26401000024165,57,30,+27,0.27554353962707706
4,Betis,42,0.2735126328075972,0.08948655999099929,0.26401000024165,81,46,+35,0.27554353962707706
5,Atlético Madrid,42,0.26048822172152114,0.14062173712871318,0.20743642876129642,76,64,+12,0.25407261446133084
6,Athletic Bilbao,42,0.20839057737721692,0.1278379428442847,0.3017257145618857,72,57,+15,0.22902320176796018
7,Valladolid,42,0.23443939954936904,0.17897311998199858,0.18857857160117855,57,46,+11,0.22902320176796018
8,Real Sociedad,42,0.23443939954936904,0.19175691426642705,0.1697207144410607,50,47,+3,0.2254447142403358
9,Tenerife,42,0.19536616629114087,0.20454070855085552,0.20743642876129642,69,57,+12,0.20039530154696517
10,Valencia,42,0.19536616629114087,0.20454070855085552,0.20743642876129642,63,59,+4,0.20039530154696517
11,Compostela,42,0.16931734411898874,0.19175691426642705,0.26401000024165,52,65,−13,0.18965983896409203
12,Espanyol,42,0.18234175520506482,0.24289209140414092,0.1697207144410607,51,57,−6,0.18250286390884327
13,Racing Santander,42,0.14326852194683665,0.17897311998199858,0.3205835717220035,52,54,−2,0.17892437638121889
14,Zaragoza,42,0.1562929330329127,0.20454070855085552,0.26401000024165,58,66,−8,0.17892437638121889
15,Sporting Gijón,42,0.16931734411898874,0.23010829711971245,0.20743642876129642,45,63,−18,0.17892437638121889
16,Celta de Vigo,42,0.1562929330329127,0.21732450283528398,0.24515214308153213,51,54,−3,0.1753458888535945
17,Oviedo,42,0.1562929330329127,0.23010829711971245,0.22629428592141426,49,65,−16,0.17176740132597013
18,Rayo Vallecano,42,0.16931734411898874,0.2940272685418548,0.11314714296070713,43,62,−19,0.161031938743097
19,Extremadura,42,0.14326852194683665,0.2556758856885694,0.20743642876129642,35,64,−29,0.15745345121547263
20,Sevilla,42,0.1562929330329127,0.2940272685418548,0.132005000120825,50,69,−19,0.15387496368784825
21,Hércules,42,0.1562929330329127,0.3195948571107117,0.09428928580058928,40,77,−37,0.1467179886325995
22,Logroñés,42,0.11721969977468452,0.34516244567956866,0.11314714296070713,33,85,−52,0.11809008841160447
