position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Barcelona,38,0.3857583749052298,0.11023963796102461,0.12181642561607338,91,42,+49,0.3225108788837078
2,Deportivo La Coruña,38,0.33946736991660226,0.0629940788348712,0.24363285123214676,54,18,+36,0.3225108788837078
3,Zaragoza,38,0.29317636492797466,0.1732337167958958,0.16242190082143118,71,47,+24,0.2649196505116171
4,Real Madrid,38,0.29317636492797466,0.1889822365046136,0.1421191632187523,61,50,+11,0.25916052767440806
5,Athletic Bilbao,38,0.24688535993934707,0.1732337167958958,0.22333011362946786,61,47,+14,0.24764228199998992
6,Sevilla,38,0.23145502494313788,0.1732337167958958,0.24363285123214676,56,42,+14,0.24188315916278083
7,Valencia,38,0.2160246899469287,0.1889822365046136,0.24363285123214676,55,50,+5,0.2303649134883627
8,Racing Santander,38,0.23145502494313788,0.236227795630767,0.16242190082143118,44,42,+2,0.21884666781394457
9,Oviedo,38,0.18516401995451032,0.2047307562133314,0.26393558883482565,43,49,−6,0.2130875449767355
10,Tenerife,38,0.23145502494313788,0.2677248350482026,0.12181642561607338,50,57,−7,0.20732842213952643
11,Real Sociedad,38,0.18516401995451032,0.22047927592204922,0.24363285123214676,39,47,−8,0.20732842213952643
12,Atlético Madrid,38,0.2005943549507195,0.2519763153394848,0.18272463842411008,54,54,0,0.20156929930231737
13,Albacete,38,0.1543033499620919,0.2047307562133314,0.30454106404018344,49,58,−9,0.20156929930231737
14,Sporting Gijón,38,0.23145502494313788,0.2834733547569204,0.10151368801339448,42,57,−15,0.20156929930231737
15,Celta de Vigo,38,0.16973368495830113,0.2519763153394848,0.22333011362946786,41,51,−10,0.19005105362789923
16,Logroñés,38,0.13887301496588272,0.22047927592204922,0.30454106404018344,47,58,−11,0.19005105362789923
17,Rayo Vallecano,38,0.13887301496588272,0.2519763153394848,0.26393558883482565,40,58,−18,0.1785328079534811
18,Valladolid,38,0.12344267996967354,0.2519763153394848,0.2842383264375046,28,51,−23,0.17277368511627203
19,Lleida,38,0.10801234497346435,0.2834733547569204,0.26393558883482565,29,48,−19,0.15549631660464483
20,Osasuna,38,0.12344267996967354,0.314970394174356,0.20302737602678897,34,63,−29,0.14973719376743574
