position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Deportivo La Coruña,38,0.337657236726774,0.17849054062078634,0.11603006857604693,66,44,+22,0.2947802891511862
2,Barcelona,38,0.3054994046575574,0.1947169534044942,0.13536841333872143,70,46,+24,0.2734193986329843
3,Valencia,38,0.28942048862294917,0.1622641278370785,0.1933834476267449,59,39,+20,0.2734193986329843
4,Zaragoza,38,0.2572626565537326,0.11358488948595494,0.29007517144011735,60,40,+20,0.2691472205293439
5,Real Madrid,38,0.2572626565537326,0.12981130226966278,0.27073682667744287,58,48,+10,0.26487504242570353
6,Alavés,38,0.27334157258834085,0.17849054062078634,0.1933834476267449,41,37,+4,0.26060286432206314
7,Celta de Vigo,38,0.24118374051912428,0.24339619175561775,0.15470675810139592,45,43,+2,0.2264254394929401
8,Valladolid,38,0.225104824484516,0.21094336618820203,0.21272179238941938,36,44,−8,0.2264254394929401
9,Rayo Vallecano,38,0.24118374051912428,0.25962260453932556,0.13536841333872143,51,53,−2,0.22215326138929975
10,Mallorca,38,0.225104824484516,0.24339619175561775,0.1740451028640704,52,45,+7,0.21788108328565936
11,Athletic Bilbao,38,0.19294699241529945,0.1947169534044942,0.27073682667744287,47,57,−10,0.21360890518201897
12,Málaga,38,0.17686807638069116,0.1947169534044942,0.29007517144011735,55,50,+5,0.20506454897473822
13,Real Sociedad,38,0.17686807638069116,0.21094336618820203,0.27073682667744287,42,49,−7,0.20079237087109783
14,Espanyol,38,0.19294699241529945,0.24339619175561775,0.21272179238941938,51,48,+3,0.20079237087109783
15,Racing Santander,38,0.16078916034608287,0.1947169534044942,0.30941351620279184,52,50,+2,0.19652019276745747
16,Oviedo,38,0.17686807638069116,0.24339619175561775,0.23206013715209386,44,60,−16,0.19224801466381708
17,Numancia,38,0.17686807638069116,0.24339619175561775,0.23206013715209386,47,59,−12,0.19224801466381708
18,Betis,38,0.17686807638069116,0.2920754301067413,0.1740451028640704,33,56,−23,0.17943148035289594
19,Atlético Madrid,38,0.14471024431147458,0.2920754301067413,0.21272179238941938,48,64,−16,0.16234276793833444
20,Sevilla,38,0.08039458017304144,0.324528255674157,0.2513984819147684,42,67,−25,0.11962098690193063
