position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Barcelona,38,0.4021809075548668,0.09813673430261813,0.12958519787866557,74,33,+41,0.32954033340244293
2,Atlético Madrid,38,0.27348301713730944,0.1308489790701575,0.2406582246318075,52,28,+24,0.271726239823067
3,Real Madrid,38,0.3217447260438934,0.19627346860523626,0.11107302675314192,63,37,+26,0.2659448304651294
4,Osasuna,38,0.24130854453292008,0.1308489790701575,0.2776825668828548,43,34,+9,0.2601634211071918
5,Sporting Gijón,38,0.2573957808351147,0.16356122383769686,0.22214605350628383,50,37,+13,0.25438201174925423
6,Oviedo,38,0.20913407192853073,0.14720510145392718,0.2961947380083785,36,35,+1,0.242819193033379
7,Valencia,38,0.24130854453292008,0.21262959098900594,0.18512171125523652,44,40,+4,0.23125637431750382
8,Sevilla,38,0.24130854453292008,0.2453418357565453,0.14809736900418924,45,47,−2,0.21969355560162865
9,Valladolid,38,0.19304683562633607,0.21262959098900594,0.2406582246318075,38,40,−2,0.21391214624369104
10,Logroñés,38,0.20913407192853073,0.22898571337277562,0.2036338823807602,28,35,−7,0.21391214624369104
11,Real Burgos,38,0.1608723630219467,0.17991734622146657,0.3147069091339021,32,27,+5,0.21391214624369104
12,Athletic Bilbao,38,0.24130854453292008,0.2780540805240847,0.11107302675314192,41,50,−9,0.20813073688575345
13,Real Sociedad,38,0.17695959932414138,0.21262959098900594,0.25917039575733114,39,45,−6,0.20813073688575345
14,Tenerife,38,0.2252213082307254,0.2780540805240847,0.12958519787866557,37,53,−16,0.20234932752781584
15,Mallorca,38,0.14478512671975205,0.21262959098900594,0.2961947380083785,32,40,−8,0.19656791816987826
16,Español,38,0.19304683562633607,0.261697958140315,0.18512171125523652,39,47,−8,0.19656791816987826
17,Zaragoza,38,0.17695959932414138,0.261697958140315,0.2036338823807602,36,40,−4,0.19078650881194065
18,Cádiz,38,0.1126106541153627,0.261697958140315,0.2776825668828548,29,41,−12,0.16766087138019029
19,Castellón,38,0.12869789041755736,0.29441020290785436,0.22214605350628383,27,48,−21,0.16187946202225267
20,Real Betis,38,0.09652341781316803,0.31076632529162407,0.2406582246318075,37,65,−28,0.1445352339484399
