position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Barcelona,38,0.3797042496281781,0.0929925260260689,0.14306584587982538,80,35,+45,0.34151550835727285
2,Real Madrid,38,0.30376339970254246,0.12399003470142521,0.20437977982832195,70,40,+30,0.2915376290854768
3,Valencia,38,0.28857522971741534,0.10849128036374706,0.24525573579398632,58,33,+25,0.28737280581282715
4,Osasuna,38,0.3189515696876696,0.1859850520521378,0.10218988991416098,49,43,+6,0.2832079825401775
5,Sevilla,38,0.30376339970254246,0.1549875433767815,0.16350382386265755,54,39,+15,0.2832079825401775
6,Celta de Vigo,38,0.30376339970254246,0.2169825607274941,0.08175191193132877,45,33,+12,0.26654868944957877
7,Villarreal,38,0.21263437979177974,0.13948878903910336,0.3065696697424829,50,39,+11,0.23739492654103111
8,Deportivo La Coruña,38,0.22782254977690686,0.20148380638981594,0.20437977982832195,47,45,+2,0.22906527999573179
9,Getafe,38,0.22782254977690686,0.2169825607274941,0.18394180184548975,54,49,+5,0.2249004567230821
10,Atlético Madrid,38,0.19744620980665262,0.1859850520521378,0.26569371377681855,45,37,+8,0.21657081017778276
11,Zaragoza,38,0.15188169985127123,0.1859850520521378,0.3270076477253151,46,51,−5,0.19158187054188475
12,Athletic Bilbao,38,0.16706986983639835,0.23248131506517225,0.24525573579398632,40,46,−6,0.18741704726923508
13,Mallorca,38,0.15188169985127123,0.23248131506517225,0.26569371377681855,37,51,−14,0.17908740072393575
14,Betis,38,0.15188169985127123,0.24798006940285042,0.24525573579398632,34,51,−17,0.1749225774512861
15,Espanyol,38,0.15188169985127123,0.26347882374052856,0.22481775781115415,36,56,−20,0.17075775417863642
16,Real Sociedad,38,0.16706986983639835,0.309975086753563,0.14306584587982538,48,65,−17,0.16659293090598676
17,Racing Santander,38,0.1366935298661441,0.24798006940285042,0.26569371377681855,36,49,−13,0.16659293090598676
18,Alavés,38,0.1366935298661441,0.26347882374052856,0.24525573579398632,35,54,−19,0.16242810763333707
19,Cádiz,38,0.12150535988101699,0.2789775780782067,0.24525573579398632,36,52,−16,0.14993363781538807
20,Málaga,38,0.07594084992563561,0.3719701041042756,0.18394180184548975,36,68,−32,0.09995575854359205
