position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Real Madrid,38,0.389833273641789,0.10235624733448635,0.0977063937492063,84,36,+48,0.34906199367316887
2,Villarreal,38,0.346518465459368,0.13160088943005388,0.12213299218650787,63,40,+23,0.31620910015098824
3,Barcelona,38,0.27432711848866637,0.13160088943005388,0.24426598437301575,76,43,+33,0.27514298324826253
4,Atlético Madrid,38,0.27432711848866637,0.1754678525734052,0.17098618906111104,66,47,+19,0.2628231481774448
5,Sevilla,38,0.2887653878828067,0.2047124946689727,0.0977063937492063,75,49,+26,0.2628231481774448
6,Racing Santander,38,0.24545057970038567,0.1754678525734052,0.21983938593571417,42,41,+1,0.24639670141635447
7,Mallorca,38,0.216574040912105,0.13160088943005388,0.3419723781222221,69,54,+15,0.2422900897260819
8,Almería,38,0.20213577151796466,0.2047124946689727,0.24426598437301575,42,45,−3,0.21354380789417388
9,Deportivo La Coruña,38,0.216574040912105,0.23395713676454025,0.17098618906111104,46,47,−1,0.21354380789417388
10,Valencia,38,0.216574040912105,0.24857945781232402,0.14655959062380947,48,62,−14,0.2094371962039013
11,Athletic Bilbao,38,0.18769750212382433,0.2047124946689727,0.2686925828103173,40,43,−3,0.20533058451362873
12,Espanyol,38,0.18769750212382433,0.23395713676454025,0.21983938593571417,43,53,−10,0.1971173611330836
13,Betis,38,0.173259232729684,0.21933481571675648,0.2686925828103173,45,51,−6,0.19301074944281102
14,Getafe,38,0.173259232729684,0.21933481571675648,0.2686925828103173,44,48,−4,0.19301074944281102
15,Valladolid,38,0.15882096333554366,0.21933481571675648,0.29311918124761893,42,57,−15,0.18479752606226585
16,Recreativo,38,0.15882096333554366,0.23395713676454025,0.2686925828103173,40,60,−20,0.18069091437199328
17,Osasuna,38,0.173259232729684,0.27782409990789153,0.17098618906111104,37,44,−7,0.1765843026817207
18,Zaragoza,38,0.14438269394140335,0.23395713676454025,0.29311918124761893,50,61,−11,0.17247769099144813
19,Murcia,38,0.10106788575898233,0.32169106305124284,0.21983938593571417,36,65,−29,0.12319835070817724
20,Levante,38,0.10106788575898233,0.3801803472423779,0.12213299218650787,33,75,−42,0.10677190394708694
