position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Real Madrid,38,0.34603097802745947,0.12157549285071298,0.15445352357424072,66,40,+26,0.31629896320096884
2,Barcelona,38,0.3309861528958308,0.09118161963803473,0.2206478908203439,78,33,+45,0.31629896320096884
3,Sevilla,38,0.3159413277642021,0.1367724294570521,0.17651831265627513,64,35,+29,0.2954898208851156
4,Valencia,38,0.30089650263257345,0.18236323927606946,0.13238873449220634,57,42,+15,0.27468067856926237
5,Villarreal,38,0.27080685236931606,0.18236323927606946,0.17651831265627513,48,44,+4,0.25803336471657984
6,Zaragoza,38,0.24071720210605874,0.15196936606339123,0.2647774689844127,55,43,+12,0.24970970779023854
7,Atlético Madrid,38,0.25576202723768743,0.18236323927606946,0.1985831017383095,46,39,+7,0.24970970779023854
8,Recreativo,38,0.22567237697443007,0.2127571124887477,0.1985831017383095,54,52,+2,0.2247387370112147
9,Getafe,38,0.2106275518428014,0.2127571124887477,0.2206478908203439,39,33,+6,0.2164150800848734
10,Racing Santander,38,0.18053790157954405,0.18236323927606946,0.30890704714848144,42,48,−6,0.20809142315853213
11,Espanyol,38,0.18053790157954405,0.1975601758824086,0.2868422580664471,46,53,−7,0.20392959469536148
12,Mallorca,38,0.2106275518428014,0.25834792230776504,0.15445352357424072,41,47,−6,0.20392959469536148
13,Deportivo La Coruña,38,0.18053790157954405,0.22795404909508682,0.2427126799023783,32,45,−13,0.1956059377690202
14,Osasuna,38,0.19558272671117272,0.2735448589141042,0.15445352357424072,51,49,+2,0.19144410930584954
15,Levante,38,0.15044825131628672,0.24315098570142596,0.2647774689844127,37,53,−16,0.17479679545316698
16,Real Betis,38,0.12035860105302937,0.2127571124887477,0.35303662531255026,36,49,−13,0.1664731385268257
17,Athletic Bilbao,38,0.15044825131628672,0.2735448589141042,0.2206478908203439,44,62,−18,0.1664731385268257
18,Celta de Vigo,38,0.15044825131628672,0.2887417955204433,0.1985831017383095,40,59,−19,0.16231131006365504
19,Real Sociedad,38,0.12035860105302937,0.2887417955204433,0.2427126799023783,32,47,−15,0.14566399621097248
20,Gimnàstic,38,0.1053137759214007,0.3647264785521389,0.15445352357424072,34,69,−35,0.11653119696877799
