position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Valencia,38,21,12,5,51,27,+24,75
2,Deportivo La Coruña,38,20,8,10,65,41,+24,68
3,Real Madrid,,[a],38,19,9,10,69,44
4,Barcelona,38,18,10,10,65,37,+28,64
5,Celta Vigo,38,16,12,10,64,46,+18,60
6,Betis,38,15,14,9,42,34,+8,59
7,Alavés,,[b],38,17,3,18,41,44
8,Sevilla,38,14,11,13,51,40,+11,53
9,Athletic Bilbao,38,14,11,13,54,66,−12,53
10,Málaga,38,13,14,11,44,44,0,53
11,Rayo Vallecano,38,13,10,15,46,52,−6,49
12,Valladolid,38,13,9,16,45,58,−13,48
13,Real Sociedad,38,13,8,17,48,54,−6,47
14,Espanyol,38,13,8,17,47,56,−9,47
15,Villarreal,38,11,10,17,46,55,−9,43
16,Mallorca,38,11,10,17,40,52,−12,43
17,Osasuna,38,10,12,16,36,49,−13,42
18,Las Palmas,38,9,13,16,40,50,−10,40
19,Tenerife,38,10,8,20,32,58,−26,38
20,Zaragoza,38,9,10,19,35,54,−19,37
