position,team,played,won,lost,drawn,goals_for,goals_against,goal_difference,points
1,Barcelona,38,0.38473406993471204,0.07190709851579098,0.15210603796901814,105,35,+70,0.35557032177770337
2,Real Madrid,38,0.3562352499395482,0.14381419703158196,0.07605301898450907,83,52,+31,0.31878718504207887
3,Sevilla,38,0.2992376099492205,0.14381419703158196,0.17745704429718784,54,39,+15,0.2860910634993016
4,Atlético Madrid,38,0.28498819995163854,0.15819561673474017,0.17745704429718784,80,57,+23,0.27383001792076006
5,Villarreal,38,0.2564893799564747,0.12943277732842376,0.2788610696098666,61,54,+7,0.26565598753506575
6,Valencia,38,0.2564893799564747,0.17257703643789837,0.20280805062535753,68,54,+14,0.25339494195652423
7,Deportivo La Coruña,38,0.22799055996131085,0.17257703643789837,0.2535100632816969,48,47,+1,0.2370468811851356
8,Málaga,38,0.21374114996372892,0.18695845614105655,0.2535100632816969,55,59,−4,0.22478583560659407
9,Mallorca,38,0.199491739966147,0.21572129554737296,0.2281590569535272,53,60,−7,0.20843777483520542
10,Espanyol,38,0.17099291997098315,0.21572129554737296,0.2788610696098666,46,49,−3,0.19208971406381675
11,Almería,38,0.18524232996856507,0.2588655546568475,0.17745704429718784,45,61,−16,0.1880026988709696
12,Racing Santander,38,0.17099291997098315,0.23010271525053114,0.2535100632816969,49,48,+1,0.1880026988709696
13,Athletic Bilbao,38,0.17099291997098315,0.2588655546568475,0.20280805062535753,47,62,−15,0.17982866848527526
14,Sporting Gijón,38,0.199491739966147,0.33077265317263854,0.02535100632816969,47,79,−32,0.1757416532924281
15,Osasuna,38,0.14249409997581927,0.21572129554737296,0.32956308226620595,41,47,−6,0.1757416532924281
16,Valladolid,38,0.17099291997098315,0.2732469743600057,0.17745704429718784,46,58,−12,0.1757416532924281
17,Getafe,38,0.14249409997581927,0.23010271525053114,0.3042120759380363,50,56,−6,0.17165463809958093
18,Betis,38,0.14249409997581927,0.23010271525053114,0.3042120759380363,51,58,−7,0.17165463809958093
19,Numancia,38,0.14249409997581927,0.33077265317263854,0.12675503164084845,38,69,−31,0.1430455317496508
20,Recreativo,38,0.11399527998065542,0.30200981376632213,0.2281590569535272,34,57,−23,0.13487150136395645
