position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,30,20,6,4,80,31,+49,46
2,Barcelona,30,17,7,6,75,39,+36,41
3,Atlético Bilbao,30,15,9,6,78,39,+39,39
4,Sevilla,30,15,4,11,74,58,+16,34
5,Valencia,30,15,3,12,71,60,+11,33
6,Hércules,30,11,9,10,46,57,−11,31
7,Deportivo La Coruña,30,12,6,12,52,59,−7,30
8,Atlético Madrid,30,11,7,12,59,64,−5,29
9,Valladolid,30,11,5,14,48,56,−8,27
10,Alavés,30,11,5,14,51,62,−11,27
11,Celta,30,10,7,13,55,60,−5,27
12,Las Palmas,30,10,7,13,45,69,−24,27
13,Español,30,8,10,12,42,46,−4,26
14,Real Sociedad,30,9,6,15,48,53,−5,24
15,Real Santander,30,9,2,19,39,81,−42,20
16,Málaga,30,6,7,17,36,65,−29,19
