position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Barcelona,30,22,2,6,86,28,+58,46
2,Real Madrid,30,21,4,5,92,36,+56,46
3,Atlético Bilbao,30,19,1,10,74,45,+29,39
4,Sevilla,30,16,4,10,63,44,+19,36
5,Atlético Madrid,30,15,3,12,59,40,+19,33
6,Oviedo,30,13,7,10,38,51,−13,33
7,Real Betis,30,15,3,12,42,53,−11,33
8,Español,30,11,8,11,33,29,+4,30
9,Valencia,30,11,6,13,37,33,+4,28
10,Elche,30,11,5,14,41,64,−23,27
11,Zaragoza,30,10,5,15,49,58,−9,25
12,Granada,30,10,5,15,38,52,−14,25
13,Valladolid,30,11,3,16,48,61,−13,25
14,Real Sociedad,30,10,3,17,41,61,−20,23
15,Las Palmas,30,8,2,20,42,75,−33,18
16,Osasuna,30,5,3,22,24,77,−53,13
