position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Sociedad,34,19,7,8,52,29,+23,45
2,Real Madrid,34,20,5,9,66,37,+29,45
3,Atlético Madrid,34,17,8,9,59,41,+18,42
4,Valencia,34,16,10,8,46,39,+7,42
5,Barcelona,34,18,5,11,66,41,+25,41
6,Real Betis,34,17,6,11,55,38,+17,40
7,Sporting Gijón,34,14,10,10,58,40,+18,38
8,Sevilla,34,14,9,11,34,42,−8,37
9,Athletic Bilbao,34,14,7,13,64,53,+11,35
10,Español,34,14,6,14,37,42,−5,34
11,Osasuna,34,12,8,14,35,46,−11,32
12,Valladolid,34,9,13,12,40,46,−6,31
13,Hércules,34,10,10,14,42,48,−6,30
14,Zaragoza,34,9,11,14,31,44,−13,29
15,Las Palmas,34,12,4,18,47,61,−14,28
16,Murcia,34,8,7,19,35,49,−14,23
17,Salamanca,34,7,7,20,32,67,−35,21
18,Almería,34,6,7,21,30,66,−36,19
