position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Real Madrid,38,25,12,1,91,37,+54,62
2,Barcelona,38,23,11,4,80,26,+54,57
3,Valencia,38,18,13,7,39,26,+13,49
4,Atlético Madrid,38,19,8,11,69,45,+24,46
5,Zaragoza,38,15,13,10,48,42,+6,43
6,Valladolid,38,18,7,13,40,31,+9,43
7,Athletic Bilbao,38,15,12,11,45,35,+10,42
8,Celta Vigo,38,14,11,13,42,48,−6,39
9,Sevilla,38,13,12,13,38,39,−1,38
10,Osasuna,38,13,11,14,39,43,−4,37
11,Real Sociedad,38,11,14,13,38,47,−9,36
12,Oviedo,38,12,11,15,41,48,−7,35
13,Sporting Gijón,38,13,9,16,42,42,0,35
14,Logroñés,38,9,16,13,25,37,−12,34
15,Cádiz,38,9,15,14,31,41,−10,33
16,Málaga,38,12,9,17,39,53,−14,33
17,Español,38,7,16,15,29,44,−15,30
18,Real Betis,38,9,11,18,36,55,−19,29
19,Murcia,38,9,6,23,27,58,−31,24
20,Elche,38,4,7,27,29,71,−42,15
