position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Athletic Bilbao,34,20,9,5,53,30,+23,49
2,Real Madrid,34,22,5,7,59,37,+22,49
3,Barcelona,34,20,8,6,62,28,+34,48
4,Atlético Madrid,34,17,8,9,53,47,+6,42
5,Real Betis,34,17,4,13,45,40,+5,38
6,Real Sociedad,34,14,9,11,43,35,+8,37
7,Zaragoza,34,12,11,11,50,41,+9,35
8,Sevilla,34,13,8,13,42,43,−1,34
9,Málaga,34,11,11,12,41,35,+6,33
10,Español,34,10,13,11,42,44,−2,33
11,Murcia,34,10,12,12,42,38,+4,32
12,Valencia,34,12,8,14,45,47,−2,32
13,Sporting Gijón,34,11,8,15,38,47,−9,30
14,Valladolid,34,11,7,16,44,60,−16,29
15,Osasuna,34,11,6,17,30,44,−14,28
16,Cádiz,34,6,10,18,36,51,−15,22
17,Mallorca,34,3,15,16,27,56,−29,21
18,Salamanca,34,5,10,19,30,59,−29,20
