position,team,points,won,lost,draw,played,goals_for,goals_against,goal_difference,year
1,Real Madrid,2.4436311945814118,1.821491318494152,-2.061375383594389,1.0041152540848708,0.777872826549493,2.4493596729834346,-0.45637734237912825,0.12943387220296906,2002
2,Real Sociedad,2.3111791129339303,1.821491318494152,-1.61668621702302,0.39522710000966155,0.777872826549493,1.4896200159192303,-0.2169505143519427,0.07465599736242404,2002
3,Deportivo La Coruña,2.046274949638968,1.821491318494152,-0.7273078838802817,-0.8225492081407567,0.777872826549493,1.233689440702109,-0.05733262900048568,0.055673761078967564,2002
4,Celta Vigo,1.3177885005778212,0.7784849063864279,-0.504963300594597,0.39522710000966155,0.777872826549493,-0.17392872299205708,-0.9352309984334993,0.03147618305177208,2002
5,Valencia,1.2515624597540804,0.7784849063864279,-0.28261871730891247,0.09078302297205697,0.777872826549493,0.529880358855026,-1.0150399411092277,0.06727182160886062,2002
6,Barcelona,0.986658296459118,0.36128234154333827,-0.28261871730891247,0.6996711770472661,0.777872826549493,0.977758865484988,-0.05733262900048568,0.04398286311658521,2002
7,Athletic Bilbao,0.9204322556353773,0.36128234154333827,-0.060274134023227906,0.39522710000966155,0.777872826549493,0.977758865484988,1.0599925684597133,-0.007056505130933438,2002
8,Betis,0.8542062148116367,0.15268105912179347,-0.28261871730891247,1.0041152540848708,0.777872826549493,0.529880358855026,0.4215210270538854,0.0016497767191937902,2002
9,Mallorca,0.7217541331641554,0.15268105912179347,0.16207044926245667,0.39522710000966155,0.777872826549493,0.08200185222506405,0.6609478550810709,-0.029746302196586485,2002
10,Sevilla,0.5893020515166741,-0.05592022329975133,0.16207044926245667,0.6996711770472661,0.777872826549493,-0.6218072296220191,-0.6958041704063137,8.010413599179452e-05,2002
11,Osasuna,0.3906239290454523,-0.2645215057212961,0.38441503254814124,0.6996711770472661,0.777872826549493,-0.4938419420134585,0.02247631367524283,-0.02688546932765044,2002
12,Atlético Madrid,0.3906239290454523,-0.2645215057212961,0.38441503254814124,0.6996711770472661,0.777872826549493,0.2099671398336246,0.6609478550810709,-0.023900853215395305,2002
13,Málaga,0.32439788822171167,-0.4731227881428409,0.16207044926245667,1.3085593311224752,0.777872826549493,-0.23791136679633737,0.10228525635097134,-0.01884024052580512,2002
14,Valladolid,0.32439788822171167,-0.2645215057212961,0.6067596158338259,0.39522710000966155,0.777872826549493,-0.6857898734262994,-0.6159952277305852,-0.0064882895151408436,2002
15,Villarreal,0.25817184739797105,-0.4731227881428409,0.38441503254814124,1.0041152540848708,0.777872826549493,-0.23791136679633737,0.4215210270538854,-0.03342291716795331,2002
16,Racing Santander,0.1919458065742304,-0.05592022329975133,1.4961379489765643,-1.1269932851783613,0.777872826549493,0.40191507124646547,1.299419396486899,-0.0442980330279049,2002
17,Espanyol,0.1257197657504898,-0.6817240705643858,0.38441503254814124,1.3085593311224752,0.777872826549493,0.018019208420783767,0.5013299697296139,-0.025377688366107983,2002
18,Recreativo,-0.3378625200156946,-1.0989266354074754,1.051448782405195,1.0041152540848708,0.777872826549493,-0.8137551610348599,1.0599925684597133,-0.08889279086761,2002
19,Alavés,-0.40408856083943523,-1.0989266354074754,1.2737933656908795,0.6996711770472661,0.777872826549493,-0.6218072296220191,1.618655167189813,-0.10564430151958257,2002
20,Rayo Vallecano,-0.6027666833106571,-1.3075279178290202,1.4961379489765643,0.6996711770472661,0.777872826549493,-1.0696857362519812,1.139801511135442,-0.10422935799052942,2002
