position,team,points,won,lost,draw,played,goals_for,goals_against,goal_difference,year
1,Real Madrid,0.059493724926749154,0.5698836239648831,-2.061375383594389,0.39522710000966155,-1.4776186879870306,0.46589771505074573,-1.7333204251907843,0.09716011956309845,1967
2,Barcelona,-0.13918439754447273,0.36128234154333827,-1.61668621702302,0.09078302297205697,-1.4776186879870306,0.018019208420783767,-1.493893597163599,0.06576404064731818,1967
3,Las Palmas,-0.20541043836821335,0.7784849063864279,-0.9496524671659663,-1.431437362215966,-1.4776186879870306,0.529880358855026,-0.5361862850548568,0.045397806645638354,1967
4,Valencia,-0.47031460166317585,-0.05592022329975133,-0.9496524671659663,-0.2136610540655476,-1.4776186879870306,0.2739497836379049,-0.7756131130820423,0.04464391616486712,1967
5,Zaragoza,-0.5365406424869165,-0.05592022329975133,-0.7273078838802817,-0.5181051311031522,-1.4776186879870306,-0.30189401060061766,-1.0948488837849564,0.032922072391655,1967
6,Atlético Madrid,-0.5365406424869165,-0.2645215057212961,-0.9496524671659663,0.09078302297205697,-1.4776186879870306,-0.6218072296220191,-1.2544667691364133,0.025599788259751125,1967
7,Atlético Bilbao,-0.6027666833106571,-0.4731227881428409,-0.9496524671659663,0.39522710000966155,-1.4776186879870306,0.2099671398336246,-1.5737025398393274,0.078177883279642,1967
8,Pontevedra,-0.6689927241343977,-0.2645215057212961,-0.504963300594597,-0.5181051311031522,-1.4776186879870306,-0.7497725172305797,-0.5361862850548568,-0.01305668316627348,1967
9,Español,-0.801444805781879,-0.2645215057212961,-0.060274134023227906,-1.1269932851783613,-1.4776186879870306,0.018019208420783767,-0.2967594570276712,0.011079003239262477,1967
10,Elche,-0.9338968874293603,-0.8903253529859305,-0.28261871730891247,0.09078302297205697,-1.4776186879870306,-1.1976510238605416,-0.8554220557577707,-0.018933077958294433,1967
11,Málaga,-0.9338968874293603,-0.4731227881428409,0.16207044926245667,-1.1269932851783613,-1.4776186879870306,-1.1336683800562612,-0.6958041704063137,-0.023301691788772932,1967
12,Sabadell,-1.0001229282531008,-0.6817240705643858,0.16207044926245667,-0.8225492081407567,-1.4776186879870306,-0.8777378048391402,0.26190314170242834,-0.055358823752835136,1967
13,Córdoba,-1.0663489690768415,-0.4731227881428409,0.6067596158338259,-1.7358814392535704,-1.4776186879870306,-0.8137551610348599,0.7407567977567994,-0.07431011422546181,1967
14,Real Sociedad,-1.132575009900582,-0.8903253529859305,0.38441503254814124,-0.8225492081407567,-1.4776186879870306,-0.6218072296220191,-0.3765683997033997,-0.01450257250615639,1967
15,Real Betis,-1.3974791731955447,-1.0989266354074754,1.051448782405195,-1.431437362215966,-1.4776186879870306,-1.1336683800562612,0.820565740432528,-0.09256940583897681,1967
16,Sevilla,-1.3974791731955447,-1.5161292002505649,0.6067596158338259,-0.2136610540655476,-1.4776186879870306,-1.0696857362519812,0.6609478550810709,-0.08235534302730714,1967
