position,team,points,won,lost,draw,played,goals_for,goals_against,goal_difference,year
1,Barcelona,1.0528843372828585,2.4472951657587863,-1.61668621702302,-0.5181051311031522,0.777872826549493,1.681567947332071,-1.1746578264606848,0.12717220076065536,1990
2,Atlético Madrid,0.3906239290454523,0.7784849063864279,-1.1719970504516508,1.3085593311224752,0.777872826549493,0.2739497836379049,-1.5737025398393274,0.08110060777023759,1990
3,Real Madrid,0.32439788822171167,1.4042887536510622,-0.28261871730891247,-0.8225492081407567,0.777872826549493,0.977758865484988,-0.8554220557577707,0.08043955472195567,1990
4,Osasuna,0.25817184739797105,0.36128234154333827,-1.1719970504516508,1.9174474851976844,0.777872826549493,-0.30189401060061766,-1.0948488837849564,0.032922072391655,1990
5,Sporting Gijón,0.1919458065742304,0.5698836239648831,-0.7273078838802817,1.0041152540848708,0.777872826549493,0.14598449602934432,-0.8554220557577707,0.04244413634421299,1990
6,Oviedo,0.059493724926749154,-0.05592022329975133,-0.9496524671659663,2.221891562235289,0.777872826549493,-0.7497725172305797,-1.0150399411092277,0.008817331796948791,1990
7,Valencia,-0.0729583567207321,0.36128234154333827,-0.060274134023227906,0.39522710000966155,0.777872826549493,-0.23791136679633737,-0.6159952277305852,0.013970781919028296,1990
8,Sevilla,-0.20541043836821335,0.36128234154333827,0.38441503254814124,-0.2136610540655476,0.777872826549493,-0.17392872299205708,-0.05733262900048568,-0.008626177714135435,1990
9,Valladolid,-0.271636479191954,-0.2645215057212961,-0.060274134023227906,1.3085593311224752,0.777872826549493,-0.6218072296220191,-0.6159952277305852,-0.00356556502454525,1990
10,Logroñés,-0.271636479191954,-0.05592022329975133,0.16207044926245667,0.6996711770472661,0.777872826549493,-1.2616336676648219,-1.0150399411092277,-0.014564464127815936,1990
11,Real Burgos,-0.271636479191954,-0.6817240705643858,-0.504963300594597,2.5263356392728937,0.777872826549493,-1.0057030924477008,-1.6535114825150559,0.026291787118862806,1990
12,Athletic Bilbao,-0.3378625200156946,0.36128234154333827,0.8291041991195104,-0.8225492081407567,0.777872826549493,-0.42985929820917823,0.18209419902669985,-0.03125408315812894,1990
13,Real Sociedad,-0.3378625200156946,-0.4731227881428409,-0.060274134023227906,1.61300340816008,0.777872826549493,-0.5578245858177387,-0.2169505143519427,-0.01887118633663489,1990
14,Tenerife,-0.40408856083943523,0.15268105912179347,0.8291041991195104,-0.5181051311031522,0.777872826549493,-0.6857898734262994,0.4215210270538854,-0.05388198860212245,1990
15,Mallorca,-0.47031460166317585,-0.8903253529859305,-0.060274134023227906,2.221891562235289,0.777872826549493,-1.0057030924477008,-0.6159952277305852,-0.0211019119681188,1990
16,Español,-0.47031460166317585,-0.2645215057212961,0.6067596158338259,0.39522710000966155,0.777872826549493,-0.5578245858177387,-0.05733262900048568,-0.026162524657708984,1990
17,Zaragoza,-0.5365406424869165,-0.4731227881428409,0.6067596158338259,0.6996711770472661,0.777872826549493,-0.7497725172305797,-0.6159952277305852,-0.009411014005736436,1990
18,Cádiz,-0.801444805781879,-1.3075279178290202,0.6067596158338259,1.9174474851976844,0.777872826549493,-1.1976510238605416,-0.5361862850548568,-0.033515754600442614,1990
19,Castellón,-0.8676708466056197,-1.0989266354074754,1.051448782405195,1.0041152540848708,0.777872826549493,-1.3256163114691022,0.02247631367524283,-0.06488088770539313,1990
20,Real Betis,-1.0663489690768415,-1.5161292002505649,1.2737933656908795,1.3085593311224752,0.777872826549493,-0.6857898734262994,1.3792283391626274,-0.097630018528567,1990
