position,team,points,won,lost,draw,played,goals_for,goals_against,goal_difference,year
1,Atlético Madrid,3.0396655619950774,2.6558964481803313,-1.3943416337373353,0.09078302297205697,1.9056185838177548,1.7455505911363514,-1.2544667691364133,0.13374059441178798,1995
2,Valencia,2.774761398700115,2.6558964481803313,-0.504963300594597,-1.1269932851783613,1.9056185838177548,1.873515878744912,0.26190314170242834,0.0703183293427753,1995
3,Barcelona,2.5760832762288928,1.821491318494152,-1.61668621702302,1.61300340816008,1.9056185838177548,1.5536026597235106,-0.6958041704063137,0.09945273681624191,1995
4,Espanyol,2.1787270312864493,1.4042887536510622,-1.1719970504516508,1.61300340816008,1.9056185838177548,0.977758865484988,-0.9352309984334993,0.08408522388249272,1995
5,Tenerife,2.046274949638968,1.4042887536510622,-0.7273078838802817,1.0041152540848708,1.9056185838177548,1.3616547283106697,0.5013299697296139,0.035999525936399435,1995
6,Real Madrid,1.9138228679914866,1.4042887536510622,-0.28261871730891247,0.39522710000966155,1.9056185838177548,1.7455505911363514,0.26190314170242834,0.0644728803615841,1995
7,Real Sociedad,1.4502405822253024,0.7784849063864279,-0.060274134023227906,1.0041152540848708,1.9056185838177548,0.9137762216807077,0.4215210270538854,0.019186123662767337,1995
8,Betis,1.3840145414015617,0.5698836239648831,-0.28261871730891247,1.61300340816008,1.9056185838177548,0.8497935778764275,0.5013299697296139,0.012617730011634704,1995
9,Deportivo La Coruña,1.3177885005778212,0.5698836239648831,-0.060274134023227906,1.3085593311224752,1.9056185838177548,0.977758865484988,-0.2967594570276712,0.05491987059819635,1995
10,Compostela,1.1853364189303397,0.7784849063864279,0.8291041991195104,-0.2136610540655476,1.9056185838177548,-0.045963435383496516,0.5013299697296139,-0.028300412856703577,1995
11,Celta de Vigo,0.7217541331641554,-0.2645215057212961,0.16207044926245667,2.221891562235289,1.9056185838177548,0.08200185222506405,0.26190314170242834,-0.011517956393901256,1995
12,Sevilla,0.4568499698691929,-0.4731227881428409,0.6067596158338259,1.9174474851976844,1.9056185838177548,-0.30189401060061766,0.5811389124053424,-0.04363697997962299,1995
13,Zaragoza,0.4568499698691929,-0.4731227881428409,0.6067596158338259,1.9174474851976844,1.9056185838177548,0.2099671398336246,0.9003746831082564,-0.034837860697006444,1995
14,Oviedo,0.4568499698691929,-0.2645215057212961,1.051448782405195,1.0041152540848708,1.9056185838177548,0.018019208420783767,1.5388462245140846,-0.0727713874530896,1995
15,Athletic Bilbao,0.4568499698691929,-0.4731227881428409,0.6067596158338259,1.9174474851976844,1.9056185838177548,-0.23791136679633737,0.5811389124053424,-0.0407142554890274,1995
16,Valladolid,0.3906239290454523,-0.4731227881428409,0.8291041991195104,1.61300340816008,1.9056185838177548,0.5938630026593064,1.139801511135442,-0.028238521235044035,1995
17,Racing Santander,0.3906239290454523,-0.4731227881428409,0.8291041991195104,1.61300340816008,1.9056185838177548,-0.045963435383496516,1.6984641098655415,-0.08298545026475929,1995
18,Sporting Gijón,0.32439788822171167,-0.05592022329975133,1.9408271155479333,-0.5181051311031522,1.9056185838177548,0.2099671398336246,0.980183625783985,-0.0384835298575435,1995
19,Rayo Vallecano,0.1919458065742304,-0.2645215057212961,1.9408271155479333,-0.2136610540655476,1.9056185838177548,-0.045963435383496516,2.1773177659199128,-0.10485946522798156,1995
20,Albacete,0.059493724926749154,-0.6817240705643858,1.4961379489765643,1.0041152540848708,1.9056185838177548,0.46589771505074573,2.6561714219742836,-0.1033516842664391,1995
21,Mérida,0.059493724926749154,-0.6817240705643858,1.4961379489765643,1.0041152540848708,1.9056185838177548,-0.6857898734262994,1.139801511135442,-0.08669301104695587,1995
22,Salamanca,-0.5365406424869165,-1.0989266354074754,2.6078608654049873,0.09078302297205697,1.9056185838177548,0.3379324274421852,2.735980364650012,-0.11284280240816734,1995
