position,team,points,won,lost,draw,played,goals_for,goals_against,goal_difference,year
1,Real Madrid,0.7217541331641554,2.2386938833372416,-2.506064550165758,-1.431437362215966,-1.4776186879870306,2.6413076043962755,-1.8131293678665128,0.20017842140388564,1960
2,Atlético Madrid,-0.0729583567207321,0.7784849063864279,-1.3943416337373353,-0.8225492081407567,-1.4776186879870306,0.5938630026593064,-1.0150399411092277,0.07019454609945622,1960
3,Zaragoza,-0.5365406424869165,-0.2645215057212961,-0.9496524671659663,0.09078302297205697,-1.4776186879870306,0.40191507124646547,0.4215210270538854,-0.004195672261997393,1960
4,Barcelona,-0.6027666833106571,-0.05592022329975133,-0.504963300594597,-0.8225492081407567,-1.4776186879870306,0.9137762216807077,-0.05733262900048568,0.04106013862598962,1960
5,Valencia,-0.6027666833106571,-0.4731227881428409,-0.9496524671659663,0.39522710000966155,-1.4776186879870306,-0.1099460791877768,-0.45637734237912825,0.012524892579145387,1960
6,Real Betis,-0.7352187649581383,-0.4731227881428409,-0.504963300594597,-0.2136610540655476,-1.4776186879870306,-0.3658766544048979,-0.2967594570276712,-0.00645734370431107,1960
7,Atlético Bilbao,-0.7352187649581383,-0.2645215057212961,-0.28261871730891247,-0.8225492081407567,-1.4776186879870306,-0.3658766544048979,-0.5361862850548568,0.004479663777300072,1960
8,Real Sociedad,-0.7352187649581383,-0.6817240705643858,-0.7273078838802817,0.39522710000966155,-1.4776186879870306,-0.6857898734262994,-0.13714157167621419,-0.028362304478363118,1960
9,Mallorca,-0.8676708466056197,-0.2645215057212961,0.16207044926245667,-1.431437362215966,-1.4776186879870306,-0.6218072296220191,-0.5361862850548568,-0.007211234185082295,1960
10,Español,-0.9338968874293603,-0.2645215057212961,0.38441503254814124,-1.7358814392535704,-1.4776186879870306,-0.1099460791877768,-0.13714157167621419,-0.002057784063002798,1960
11,Sevilla,-0.9338968874293603,-0.8903253529859305,-0.28261871730891247,0.09078302297205697,-1.4776186879870306,-0.3658766544048979,-0.13714157167621419,-0.013748682025385163,1960
12,Real Santander,-1.0001229282531008,-0.4731227881428409,0.38441503254814124,-1.431437362215966,-1.4776186879870306,-0.3658766544048979,-0.05733262900048568,-0.01739435118592221,1960
13,Oviedo,-1.0001229282531008,-0.6817240705643858,0.16207044926245667,-0.8225492081407567,-1.4776186879870306,-0.5578245858177387,0.5013299697296139,-0.05168220878146831,1960
14,Elche,-1.0663489690768415,-0.8903253529859305,0.16207044926245667,-0.5181051311031522,-1.4776186879870306,0.018019208420783767,2.1773177659199128,-0.10193674073738597,1960
15,Valladolid,-1.0663489690768415,-0.4731227881428409,0.6067596158338259,-1.7358814392535704,-1.4776186879870306,-0.5578245858177387,0.34171208437815687,-0.04439087046039421,1960
16,Granada,-1.5961572956667665,-1.7247304826721097,1.051448782405195,-0.5181051311031522,-1.4776186879870306,-1.0057030924477008,1.0599925684597133,-0.09766096433939676,1960
