position,team,points,won,lost,draw,played,goals_for,goals_against,goal_difference,year
1,Real Madrid,0.9204322556353773,2.0300926009156965,-1.61668621702302,0.09078302297205697,0.777872826549493,1.8095332349406317,-1.493893597163599,0.14760032638399476,1994
2,Deportivo La Coruña,0.6555280923404148,1.4042887536510622,-1.3943416337373353,0.6996711770472661,0.777872826549493,1.2976720845063894,-1.2544667691364133,0.11328152297761887,1994
3,Betis,0.32439788822171167,0.36128234154333827,-1.3943416337373353,2.221891562235289,0.777872826549493,-0.1099460791877768,-1.8131293678665128,0.07450126830827516,1994
4,Barcelona,0.32439788822171167,0.9870861888079727,-0.7273078838802817,0.39522710000966155,0.777872826549493,0.7858109340721472,-0.2169505143519427,0.04250602796587253,1994
5,Sevilla,0.1257197657504898,0.5698836239648831,-0.504963300594597,0.6996711770472661,0.777872826549493,0.46589771505074573,-0.5361862850548568,0.04247508215504277,1994
6,Espanyol,0.1257197657504898,0.15268105912179347,-0.9496524671659663,1.9174474851976844,0.777872826549493,0.2099671398336246,-1.0150399411092277,0.052658199155882664,1994
7,Zaragoza,0.1257197657504898,0.9870861888079727,-0.060274134023227906,-0.5181051311031522,0.777872826549493,0.529880358855026,0.26190314170242834,0.008941115040267884,1994
8,Athletic Bilbao,0.059493724926749154,0.5698836239648831,-0.28261871730891247,0.39522710000966155,0.777872826549493,-0.5578245858177387,-0.45637734237912825,-0.00793417885502375,1994
9,Oviedo,-0.13918439754447273,-0.05592022329975133,-0.28261871730891247,1.3085593311224752,0.777872826549493,-0.17392872299205708,-0.45637734237912825,0.009602168088549797,1994
10,Valencia,-0.20541043836821335,-0.05592022329975133,-0.060274134023227906,1.0041152540848708,0.777872826549493,0.3379324274421852,0.02247631367524283,0.011109949050092249,1994
11,Real Sociedad,-0.20541043836821335,-0.2645215057212961,-0.28261871730891247,1.61300340816008,0.777872826549493,0.529880358855026,-0.2967594570276712,0.034460799164027216,1994
12,Racing Santander,-0.3378625200156946,-0.05592022329975133,0.38441503254814124,0.39522710000966155,0.777872826549493,-0.3658766544048979,-0.05733262900048568,-0.01739435118592221,1994
13,Celta de Vigo,-0.3378625200156946,-0.4731227881428409,-0.060274134023227906,1.61300340816008,0.777872826549493,-0.7497725172305797,0.02247631367524283,-0.038576367290032804,1994
14,Atlético Madrid,-0.40408856083943523,-0.05592022329975133,0.6067596158338259,0.09078302297205697,0.777872826549493,0.529880358855026,0.5013299697296139,-0.0019958924413432545,1994
15,Tenerife,-0.40408856083943523,-0.05592022329975133,0.6067596158338259,0.09078302297205697,0.777872826549493,0.5938630026593064,0.7407567977567994,-0.010010175432358801,1994
16,Compostela,-0.47031460166317585,-0.4731227881428409,0.38441503254814124,1.0041152540848708,0.777872826549493,-0.23791136679633737,0.6609478550810709,-0.044359924649564446,1994
17,Albacete,-0.47031460166317585,-0.6817240705643858,0.16207044926245667,1.61300340816008,0.777872826549493,-0.23791136679633737,1.0599925684597133,-0.06258827045224967,1994
18,Sporting Gijón,-0.8676708466056197,-1.0989266354074754,1.051448782405195,1.0041152540848708,0.777872826549493,-0.3658766544048979,1.5388462245140846,-0.09030773439666315,1994
19,Valladolid,-1.0663489690768415,-1.0989266354074754,1.7184825322622488,0.09078302297205697,0.777872826549493,-1.4535815990776628,1.2196104538111705,-0.12541137409464,1994
20,Logroñés,-1.861061458961729,-2.3505343299367443,3.0525500319763563,0.09078302297205697,0.777872826549493,-2.0934080371204655,2.4965535366228266,-0.21296932556918863,1994
