position,team,points,won,lost,draw,played,goals_for,goals_against,goal_difference,year
1,Real Madrid,0.3906239290454523,1.1956874712295176,-2.506064550165758,0.09078302297205697,-1.4776186879870306,0.6578456464635866,-2.052556195893698,0.12051096967703341,1966
2,Barcelona,0.059493724926749154,1.4042887536510622,-1.1719970504516508,-2.040325516291175,-1.4776186879870306,0.6578456464635866,-1.493893597163599,0.09499128555327409,1966
3,Español,-0.271636479191954,0.36128234154333827,-1.1719970504516508,-0.5181051311031522,-1.4776186879870306,0.14598449602934432,-0.6159952277305852,0.031507128862601846,1966
4,Atlético Madrid,-0.40408856083943523,0.15268105912179347,-0.9496524671659663,-0.5181051311031522,-1.4776186879870306,0.5938630026593064,-1.4140846544878702,0.08842289190214143,1966
5,Zaragoza,-0.47031460166317585,0.15268105912179347,-0.7273078838802817,-0.8225492081407567,-1.4776186879870306,0.2099671398336246,0.18209419902669985,-0.0020268382521730272,1966
6,Valencia,-0.6027666833106571,0.15268105912179347,-0.28261871730891247,-1.431437362215966,-1.4776186879870306,0.6578456464635866,-0.8554220557577707,0.06582593226897772,1966
7,Atlético Bilbao,-0.6689927241343977,-0.4731227881428409,-0.7273078838802817,0.09078302297205697,-1.4776186879870306,-0.30189401060061766,-0.9352309984334993,0.025630734070580894,1966
8,Sabadell,-0.7352187649581383,-0.4731227881428409,-0.504963300594597,-0.2136610540655476,-1.4776186879870306,-0.8137551610348599,-0.7756131130820423,-0.0050424001752579295,1966
9,Elche,-0.9338968874293603,-0.8903253529859305,-0.28261871730891247,0.09078302297205697,-1.4776186879870306,-0.42985929820917823,0.18209419902669985,-0.03125408315812894,1966
10,Pontevedra,-0.9338968874293603,-0.8903253529859305,-0.28261871730891247,0.09078302297205697,-1.4776186879870306,-1.2616336676648219,-1.2544667691364133,-0.003627456646204791,1966
11,Las Palmas,-1.0001229282531008,-1.0989266354074754,-0.28261871730891247,0.39522710000966155,-1.4776186879870306,-1.0057030924477008,-0.7756131130820423,-0.013810573647044707,1966
12,Córdoba,-1.0001229282531008,-0.8903253529859305,-0.060274134023227906,-0.2136610540655476,-1.4776186879870306,-1.2616336676648219,-0.2967594570276712,-0.047375486572649346,1966
13,Sevilla,-1.0663489690768415,-0.8903253529859305,0.16207044926245667,-0.5181051311031522,-1.4776186879870306,-1.2616336676648219,-0.05733262900048568,-0.05831249405426049,1966
14,Granada,-1.1988010507243227,-1.0989266354074754,0.38441503254814124,-0.5181051311031522,-1.4776186879870306,-1.0057030924477008,-0.13714157167621419,-0.04297592693134108,1966
15,Hércules,-1.3974791731955447,-1.5161292002505649,0.6067596158338259,-0.2136610540655476,-1.4776186879870306,-1.0057030924477008,0.980183625783985,-0.09401529517885975,1966
16,Deportivo La Coruña,-1.529931254843026,-1.3075279178290202,1.2737933656908795,-1.431437362215966,-1.4776186879870306,-1.4535815990776628,0.7407567977567994,-0.10353735913141773,1966
