Home,Away,Score
Real Madrid CF,FC Barcelona,0–4
Real Madrid CF,Atlético Madrid,2–0
Real Madrid CF,Sevilla FC,2–1
Real Madrid CF,Real Betis,0–0
Real Madrid CF,Real Sociedad,4–1
Real Madrid CF,Villarreal CF,0–0
Real Madrid CF,Athletic Bilbao,1–0
Real Madrid CF,Valencia CF,4–1
Real Madrid CF,CA Osasuna,0–0
Real Madrid CF,RC Celta de Vigo,5–2
Real Madrid CF,Rayo Vallecano,2–1
Real Madrid CF,Elche CF,2–2
Real Madrid CF,RCD Espanyol,4–0
Real Madrid CF,Getafe CF,2–0
Real Madrid CF,RCD Mallorca,6–1
Real Madrid CF,Cádiz CF,0–0
Real Madrid CF,Granada CF,1–0
Real Madrid CF,Levante UD,6–0
Real Madrid CF,Deportivo Alavés,3–0
FC Barcelona,Real Madrid CF,1–2
FC Barcelona,Atlético Madrid,4–2
FC Barcelona,Sevilla FC,1–0
FC Barcelona,Real Betis,0–1
FC Barcelona,Real Sociedad,4–2
FC Barcelona,Villarreal CF,0–2
FC Barcelona,Athletic Bilbao,4–0
FC Barcelona,Valencia CF,3–1
FC Barcelona,CA Osasuna,4–0
FC Barcelona,RC Celta de Vigo,3–1
FC Barcelona,Rayo Vallecano,0–1
FC Barcelona,Elche CF,3–2
FC Barcelona,RCD Espanyol,1–0
FC Barcelona,Getafe CF,2–1
FC Barcelona,RCD Mallorca,2–1
FC Barcelona,Cádiz CF,0–1
FC Barcelona,Granada CF,1–1
FC Barcelona,Levante UD,3–0
FC Barcelona,Deportivo Alavés,1–1
Atlético Madrid,Real Madrid CF,1–0
Atlético Madrid,FC Barcelona,2–0
Atlético Madrid,Sevilla FC,1–1
Atlético Madrid,Real Betis,3–0
Atlético Madrid,Real Sociedad,2–2
Atlético Madrid,Villarreal CF,2–2
Atlético Madrid,Athletic Bilbao,0–0
Atlético Madrid,Valencia CF,3–2
Atlético Madrid,CA Osasuna,1–0
Atlético Madrid,RC Celta de Vigo,2–0
Atlético Madrid,Rayo Vallecano,2–0
Atlético Madrid,Elche CF,1–0
Atlético Madrid,RCD Espanyol,2–1
Atlético Madrid,Getafe CF,4–3
Atlético Madrid,RCD Mallorca,1–2
Atlético Madrid,Cádiz CF,2–1
Atlético Madrid,Granada CF,0–0
Atlético Madrid,Levante UD,0–1
Atlético Madrid,Deportivo Alavés,4–1
Sevilla FC,Real Madrid CF,2–3
Sevilla FC,FC Barcelona,1–1
Sevilla FC,Atlético Madrid,2–1
Sevilla FC,Real Betis,2–1
Sevilla FC,Real Sociedad,0–0
Sevilla FC,Villarreal CF,1–0
Sevilla FC,Athletic Bilbao,1–0
Sevilla FC,Valencia CF,3–1
Sevilla FC,CA Osasuna,2–0
Sevilla FC,RC Celta de Vigo,2–2
Sevilla FC,Rayo Vallecano,3–0
Sevilla FC,Elche CF,2–0
Sevilla FC,RCD Espanyol,2–0
Sevilla FC,Getafe CF,1–0
Sevilla FC,RCD Mallorca,0–0
Sevilla FC,Cádiz CF,1–1
Sevilla FC,Granada CF,4–2
Sevilla FC,Levante UD,5–3
Sevilla FC,Deportivo Alavés,2–2
Real Betis,Real Madrid CF,0–1
Real Betis,FC Barcelona,1–2
Real Betis,Atlético Madrid,1–3
Real Betis,Sevilla FC,0–2
Real Betis,Real Sociedad,4–0
Real Betis,Villarreal CF,0–2
Real Betis,Athletic Bilbao,1–0
Real Betis,Valencia CF,4–1
Real Betis,CA Osasuna,4–1
Real Betis,RC Celta de Vigo,0–2
Real Betis,Rayo Vallecano,3–2
Real Betis,Elche CF,0–1
Real Betis,RCD Espanyol,2–2
Real Betis,Getafe CF,2–0
Real Betis,RCD Mallorca,2–1
Real Betis,Cádiz CF,1–1
Real Betis,Granada CF,2–0
Real Betis,Levante UD,3–1
Real Betis,Deportivo Alavés,4–0
Real Sociedad,Real Madrid CF,0–2
Real Sociedad,FC Barcelona,0–1
Real Sociedad,Atlético Madrid,1–2
Real Sociedad,Sevilla FC,0–0
Real Sociedad,Real Betis,0–0
Real Sociedad,Villarreal CF,1–3
Real Sociedad,Athletic Bilbao,1–1
Real Sociedad,Valencia CF,0–0
Real Sociedad,CA Osasuna,1–0
Real Sociedad,RC Celta de Vigo,1–0
Real Sociedad,Rayo Vallecano,1–0
Real Sociedad,Elche CF,1–0
Real Sociedad,RCD Espanyol,1–0
Real Sociedad,Getafe CF,0–0
Real Sociedad,RCD Mallorca,1–0
Real Sociedad,Cádiz CF,3–0
Real Sociedad,Granada CF,2–0
Real Sociedad,Levante UD,1–0
Real Sociedad,Deportivo Alavés,1–0
Villarreal CF,Real Madrid CF,0–0
Villarreal CF,FC Barcelona,1–3
Villarreal CF,Atlético Madrid,2–2
Villarreal CF,Sevilla FC,1–1
Villarreal CF,Real Betis,2–0
Villarreal CF,Real Sociedad,1–2
Villarreal CF,Athletic Bilbao,1–1
Villarreal CF,Valencia CF,2–0
Villarreal CF,CA Osasuna,1–2
Villarreal CF,RC Celta de Vigo,1–0
Villarreal CF,Rayo Vallecano,2–0
Villarreal CF,Elche CF,4–1
Villarreal CF,RCD Espanyol,5–1
Villarreal CF,Getafe CF,1–0
Villarreal CF,RCD Mallorca,3–0
Villarreal CF,Cádiz CF,3–3
Villarreal CF,Granada CF,0–0
Villarreal CF,Levante UD,5–0
Villarreal CF,Deportivo Alavés,5–2
Athletic Bilbao,Real Madrid CF,1–2
Athletic Bilbao,FC Barcelona,1–1
Athletic Bilbao,Atlético Madrid,2–0
Athletic Bilbao,Sevilla FC,0–1
Athletic Bilbao,Real Betis,3–2
Athletic Bilbao,Real Sociedad,4–0
Athletic Bilbao,Villarreal CF,2–1
Athletic Bilbao,Valencia CF,0–0
Athletic Bilbao,CA Osasuna,2–0
Athletic Bilbao,RC Celta de Vigo,0–2
Athletic Bilbao,Rayo Vallecano,1–2
Athletic Bilbao,Elche CF,2–1
Athletic Bilbao,RCD Espanyol,2–1
Athletic Bilbao,Getafe CF,1–1
Athletic Bilbao,RCD Mallorca,2–0
Athletic Bilbao,Cádiz CF,0–1
Athletic Bilbao,Granada CF,2–2
Athletic Bilbao,Levante UD,3–1
Athletic Bilbao,Deportivo Alavés,1–0
Valencia CF,Real Madrid CF,1–2
Valencia CF,FC Barcelona,1–4
Valencia CF,Atlético Madrid,3–3
Valencia CF,Sevilla FC,1–1
Valencia CF,Real Betis,0–3
Valencia CF,Real Sociedad,0–0
Valencia CF,Villarreal CF,2–0
Valencia CF,Athletic Bilbao,1–1
Valencia CF,CA Osasuna,1–2
Valencia CF,RC Celta de Vigo,2–0
Valencia CF,Rayo Vallecano,1–1
Valencia CF,Elche CF,2–1
Valencia CF,RCD Espanyol,1–2
Valencia CF,Getafe CF,1–0
Valencia CF,RCD Mallorca,2–2
Valencia CF,Cádiz CF,0–0
Valencia CF,Granada CF,3–1
Valencia CF,Levante UD,1–1
Valencia CF,Deportivo Alavés,3–0
CA Osasuna,Real Madrid CF,1–3
CA Osasuna,FC Barcelona,2–2
CA Osasuna,Atlético Madrid,0–3
CA Osasuna,Sevilla FC,0–0
CA Osasuna,Real Betis,1–3
CA Osasuna,Real Sociedad,0–2
CA Osasuna,Villarreal CF,1–0
CA Osasuna,Athletic Bilbao,1–3
CA Osasuna,Valencia CF,1–4
CA Osasuna,RC Celta de Vigo,0–0
CA Osasuna,Rayo Vallecano,1–0
CA Osasuna,Elche CF,1–1
CA Osasuna,RCD Espanyol,0–0
CA Osasuna,Getafe CF,1–1
CA Osasuna,RCD Mallorca,0–2
CA Osasuna,Cádiz CF,2–0
CA Osasuna,Granada CF,1–1
CA Osasuna,Levante UD,3–1
CA Osasuna,Deportivo Alavés,1–0
RC Celta de Vigo,Real Madrid CF,1–2
RC Celta de Vigo,FC Barcelona,3–3
RC Celta de Vigo,Atlético Madrid,1–2
RC Celta de Vigo,Sevilla FC,0–1
RC Celta de Vigo,Real Betis,0–0
RC Celta de Vigo,Real Sociedad,0–2
RC Celta de Vigo,Villarreal CF,1–1
RC Celta de Vigo,Athletic Bilbao,0–1
RC Celta de Vigo,Valencia CF,1–2
RC Celta de Vigo,CA Osasuna,2–0
RC Celta de Vigo,Rayo Vallecano,2–0
RC Celta de Vigo,Elche CF,1–0
RC Celta de Vigo,RCD Espanyol,3–1
RC Celta de Vigo,Getafe CF,0–2
RC Celta de Vigo,RCD Mallorca,4–3
RC Celta de Vigo,Cádiz CF,1–2
RC Celta de Vigo,Granada CF,1–0
RC Celta de Vigo,Levante UD,1–1
RC Celta de Vigo,Deportivo Alavés,4–0
Rayo Vallecano,Real Madrid CF,0–1
Rayo Vallecano,FC Barcelona,1–0
Rayo Vallecano,Atlético Madrid,0–1
Rayo Vallecano,Sevilla FC,1–1
Rayo Vallecano,Real Betis,1–1
Rayo Vallecano,Real Sociedad,1–1
Rayo Vallecano,Villarreal CF,1–5
Rayo Vallecano,Athletic Bilbao,0–1
Rayo Vallecano,Valencia CF,1–1
Rayo Vallecano,CA Osasuna,0–3
Rayo Vallecano,RC Celta de Vigo,0–0
Rayo Vallecano,Elche CF,2–1
Rayo Vallecano,RCD Espanyol,1–0
Rayo Vallecano,Getafe CF,3–0
Rayo Vallecano,RCD Mallorca,3–1
Rayo Vallecano,Cádiz CF,3–1
Rayo Vallecano,Granada CF,4–0
Rayo Vallecano,Levante UD,2–4
Rayo Vallecano,Deportivo Alavés,2–0
Elche CF,Real Madrid CF,1–2
Elche CF,FC Barcelona,1–2
Elche CF,Atlético Madrid,0–2
Elche CF,Sevilla FC,1–1
Elche CF,Real Betis,0–3
Elche CF,Real Sociedad,1–2
Elche CF,Villarreal CF,1–0
Elche CF,Athletic Bilbao,0–0
Elche CF,Valencia CF,0–1
Elche CF,CA Osasuna,1–1
Elche CF,RC Celta de Vigo,1–0
Elche CF,Rayo Vallecano,2–1
Elche CF,RCD Espanyol,2–2
Elche CF,Getafe CF,3–1
Elche CF,RCD Mallorca,3–0
Elche CF,Cádiz CF,3–1
Elche CF,Granada CF,0–0
Elche CF,Levante UD,1–1
Elche CF,Deportivo Alavés,3–1
RCD Espanyol,Real Madrid CF,2–1
RCD Espanyol,FC Barcelona,2–2
RCD Espanyol,Atlético Madrid,1–2
RCD Espanyol,Sevilla FC,1–1
RCD Espanyol,Real Betis,1–4
RCD Espanyol,Real Sociedad,1–0
RCD Espanyol,Villarreal CF,0–0
RCD Espanyol,Athletic Bilbao,1–1
RCD Espanyol,Valencia CF,1–1
RCD Espanyol,CA Osasuna,1–1
RCD Espanyol,RC Celta de Vigo,1–0
RCD Espanyol,Rayo Vallecano,0–1
RCD Espanyol,Elche CF,1–2
RCD Espanyol,Getafe CF,2–0
RCD Espanyol,RCD Mallorca,1–0
RCD Espanyol,Cádiz CF,2–0
RCD Espanyol,Granada CF,2–0
RCD Espanyol,Levante UD,4–3
RCD Espanyol,Deportivo Alavés,1–0
Getafe CF,Real Madrid CF,1–0
Getafe CF,FC Barcelona,0–0
Getafe CF,Atlético Madrid,1–2
Getafe CF,Sevilla FC,0–1
Getafe CF,Real Betis,0–0
Getafe CF,Real Sociedad,1–1
Getafe CF,Villarreal CF,1–2
Getafe CF,Athletic Bilbao,0–0
Getafe CF,Valencia CF,0–0
Getafe CF,CA Osasuna,1–0
Getafe CF,RC Celta de Vigo,0–3
Getafe CF,Rayo Vallecano,0–0
Getafe CF,Elche CF,0–1
Getafe CF,RCD Espanyol,2–1
Getafe CF,RCD Mallorca,1–0
Getafe CF,Cádiz CF,4–0
Getafe CF,Granada CF,4–2
Getafe CF,Levante UD,3–0
Getafe CF,Deportivo Alavés,2–2
RCD Mallorca,Real Madrid CF,0–3
RCD Mallorca,FC Barcelona,0–1
RCD Mallorca,Atlético Madrid,1–0
RCD Mallorca,Sevilla FC,1–1
RCD Mallorca,Real Betis,1–1
RCD Mallorca,Real Sociedad,0–2
RCD Mallorca,Villarreal CF,0–0
RCD Mallorca,Athletic Bilbao,3–2
RCD Mallorca,Valencia CF,0–1
RCD Mallorca,CA Osasuna,2–3
RCD Mallorca,RC Celta de Vigo,0–0
RCD Mallorca,Rayo Vallecano,2–1
RCD Mallorca,Elche CF,2–2
RCD Mallorca,RCD Espanyol,1–0
RCD Mallorca,Getafe CF,0–0
RCD Mallorca,Cádiz CF,2–1
RCD Mallorca,Granada CF,2–6
RCD Mallorca,Levante UD,1–0
RCD Mallorca,Deportivo Alavés,2–1
Cádiz CF,Real Madrid CF,1–1
Cádiz CF,FC Barcelona,0–0
Cádiz CF,Atlético Madrid,1–4
Cádiz CF,Sevilla FC,0–1
Cádiz CF,Real Betis,1–2
Cádiz CF,Real Sociedad,0–2
Cádiz CF,Villarreal CF,1–0
Cádiz CF,Athletic Bilbao,2–3
Cádiz CF,Valencia CF,0–0
Cádiz CF,CA Osasuna,2–3
Cádiz CF,RC Celta de Vigo,0–0
Cádiz CF,Rayo Vallecano,2–0
Cádiz CF,Elche CF,3–0
Cádiz CF,RCD Espanyol,2–2
Cádiz CF,Getafe CF,1–1
Cádiz CF,RCD Mallorca,1–1
Cádiz CF,Granada CF,1–1
Cádiz CF,Levante UD,1–1
Cádiz CF,Deportivo Alavés,0–2
Granada CF,Real Madrid CF,1–4
Granada CF,FC Barcelona,1–1
Granada CF,Atlético Madrid,2–1
Granada CF,Sevilla FC,1–0
Granada CF,Real Betis,1–2
Granada CF,Real Sociedad,2–3
Granada CF,Villarreal CF,1–4
Granada CF,Athletic Bilbao,1–0
Granada CF,Valencia CF,1–1
Granada CF,CA Osasuna,0–2
Granada CF,RC Celta de Vigo,1–1
Granada CF,Rayo Vallecano,2–2
Granada CF,Elche CF,0–1
Granada CF,RCD Espanyol,0–0
Granada CF,Getafe CF,1–1
Granada CF,RCD Mallorca,4–1
Granada CF,Cádiz CF,0–0
Granada CF,Levante UD,1–4
Granada CF,Deportivo Alavés,2–1
Levante UD,Real Madrid CF,3–3
Levante UD,FC Barcelona,2–3
Levante UD,Atlético Madrid,2–2
Levante UD,Sevilla FC,2–3
Levante UD,Real Betis,2–4
Levante UD,Real Sociedad,2–1
Levante UD,Villarreal CF,2–0
Levante UD,Athletic Bilbao,0–0
Levante UD,Valencia CF,3–4
Levante UD,CA Osasuna,0–0
Levante UD,RC Celta de Vigo,0–2
Levante UD,Rayo Vallecano,1–1
Levante UD,Elche CF,3–0
Levante UD,RCD Espanyol,1–1
Levante UD,Getafe CF,0–0
Levante UD,RCD Mallorca,2–0
Levante UD,Cádiz CF,0–2
Levante UD,Granada CF,0–3
Levante UD,Deportivo Alavés,3–1
Deportivo Alavés,Real Madrid CF,1–4
Deportivo Alavés,FC Barcelona,0–1
Deportivo Alavés,Atlético Madrid,1–0
Deportivo Alavés,Sevilla FC,0–0
Deportivo Alavés,Real Betis,0–1
Deportivo Alavés,Real Sociedad,1–1
Deportivo Alavés,Villarreal CF,2–1
Deportivo Alavés,Athletic Bilbao,0–0
Deportivo Alavés,Valencia CF,2–1
Deportivo Alavés,CA Osasuna,0–2
Deportivo Alavés,RC Celta de Vigo,1–2
Deportivo Alavés,Rayo Vallecano,1–0
Deportivo Alavés,Elche CF,1–0
Deportivo Alavés,RCD Espanyol,2–1
Deportivo Alavés,Getafe CF,1–1
Deportivo Alavés,RCD Mallorca,0–1
Deportivo Alavés,Cádiz CF,0–1
Deportivo Alavés,Granada CF,2–3
Deportivo Alavés,Levante UD,2–1
