Home,Away,Score
Elche CF,Athletic Bilbao,2–0
Elche CF,Atlético Madrid,0–1
Elche CF,FC Barcelona,0–2
Elche CF,Cádiz CF,1–1
Elche CF,RC Celta de Vigo,1–1
Elche CF,SD Eibar,1–0
Elche CF,Getafe CF,1–3
Elche CF,Granada CF,0–1
Elche CF,SD Huesca,0–0
Elche CF,Levante UD,1–0
Elche CF,CA Osasuna,2–2
Elche CF,Real Betis,1–1
Elche CF,Real Madrid CF,1–1
Elche CF,Real Sociedad,0–3
Elche CF,Sevilla FC,2–1
Elche CF,Valencia CF,2–1
Elche CF,Real Valladolid,1–1
Elche CF,Villarreal CF,2–2
Getafe CF,Deportivo Alavés,0–0
Getafe CF,Athletic Bilbao,1–1
Getafe CF,Atlético Madrid,0–0
Getafe CF,FC Barcelona,1–0
Getafe CF,Cádiz CF,0–1
Getafe CF,RC Celta de Vigo,1–1
Getafe CF,SD Eibar,0–1
Getafe CF,Elche CF,1–1
Getafe CF,Granada CF,0–1
Getafe CF,SD Huesca,1–0
Getafe CF,Levante UD,2–1
Getafe CF,CA Osasuna,1–0
Getafe CF,Real Betis,3–0
Getafe CF,Real Madrid CF,0–0
Getafe CF,Real Sociedad,0–1
Getafe CF,Sevilla FC,0–1
Getafe CF,Valencia CF,3–0
Getafe CF,Real Valladolid,0–1
Getafe CF,Villarreal CF,1–3
Granada CF,Deportivo Alavés,2–1
Granada CF,Athletic Bilbao,2–0
Granada CF,Atlético Madrid,1–2
Granada CF,FC Barcelona,0–4
Granada CF,Cádiz CF,0–1
Granada CF,RC Celta de Vigo,0–0
Granada CF,SD Eibar,4–1
Granada CF,Elche CF,2–1
Granada CF,Getafe CF,0–0
Granada CF,SD Huesca,3–3
Granada CF,Levante UD,1–1
Granada CF,CA Osasuna,2–0
Granada CF,Real Betis,2–0
Granada CF,Real Madrid CF,1–4
Granada CF,Real Sociedad,1–0
Granada CF,Sevilla FC,1–0
Granada CF,Valencia CF,2–1
Granada CF,Real Valladolid,1–3
Granada CF,Villarreal CF,0–3
SD Huesca,Deportivo Alavés,1–0
SD Huesca,Athletic Bilbao,1–0
SD Huesca,Atlético Madrid,0–0
SD Huesca,FC Barcelona,0–1
SD Huesca,Cádiz CF,0–2
SD Huesca,RC Celta de Vigo,3–4
SD Huesca,SD Eibar,1–1
SD Huesca,Elche CF,3–1
SD Huesca,Getafe CF,0–2
SD Huesca,Granada CF,3–2
SD Huesca,Levante UD,1–1
