Home,Away,Score
Atlético Bilbao,Atlético Madrid,2–0
Atlético Bilbao,FC Barcelona,0–2
Atlético Bilbao,Elche CF,4–2
Atlético Bilbao,RCD Espanyol,2–3
Atlético Bilbao,Granada CF,3–0
Atlético Bilbao,RCD Mallorca,1–2
Atlético Bilbao,Real Oviedo,3–1
Atlético Bilbao,Real Betis,0–0
Atlético Bilbao,Real Madrid C.F.,0–2
Atlético Bilbao,Racing de Santander,3–1
Atlético Bilbao,Real Sociedad,2–2
Atlético Bilbao,Sevilla FC,0–2
Atlético Bilbao,Valencia CF,4–1
Atlético Bilbao,Real Valladolid,4–1
Atlético Bilbao,Real Zaragoza,1–0
Atlético Madrid,Atlético Bilbao,3–1
Atlético Madrid,FC Barcelona,2–0
Atlético Madrid,Elche CF,5–0
Atlético Madrid,RCD Espanyol,1–1
Atlético Madrid,Granada CF,4–0
Atlético Madrid,RCD Mallorca,2–1
Atlético Madrid,Real Oviedo,2–0
Atlético Madrid,Real Betis,2–2
Atlético Madrid,Real Madrid C.F.,1–0
Atlético Madrid,Racing de Santander,3–2
Atlético Madrid,Real Sociedad,3–2
Atlético Madrid,Sevilla FC,2–0
Atlético Madrid,Valencia CF,2–2
Atlético Madrid,Real Valladolid,4–2
Atlético Madrid,Real Zaragoza,4–0
FC Barcelona,Atlético Bilbao,2–2
FC Barcelona,Atlético Madrid,2–0
FC Barcelona,Elche CF,3–3
FC Barcelona,RCD Espanyol,4–1
FC Barcelona,Granada CF,8–2
FC Barcelona,RCD Mallorca,4–2
FC Barcelona,Real Oviedo,3–5
FC Barcelona,Real Betis,2–1
FC Barcelona,Real Madrid C.F.,3–5
FC Barcelona,Racing de Santander,2–0
FC Barcelona,Real Sociedad,6–2
FC Barcelona,Sevilla FC,2–2
FC Barcelona,Valencia CF,1–1
FC Barcelona,Real Valladolid,2–0
FC Barcelona,Real Zaragoza,0–1
Elche CF,Atlético Bilbao,4–1
Elche CF,Atlético Madrid,2–2
Elche CF,FC Barcelona,2–1
Elche CF,RCD Espanyol,2–0
Elche CF,Granada CF,1–2
Elche CF,RCD Mallorca,2–0
Elche CF,Real Oviedo,3–1
Elche CF,Real Betis,1–1
Elche CF,Real Madrid C.F.,3–4
Elche CF,Racing de Santander,2–0
Elche CF,Real Sociedad,1–0
Elche CF,Sevilla FC,2–2
Elche CF,Valencia CF,4–1
Elche CF,Real Valladolid,3–0
Elche CF,Real Zaragoza,2–7
RCD Espanyol,Atlético Bilbao,0–1
RCD Espanyol,Atlético Madrid,1–2
RCD Espanyol,FC Barcelona,1–2
RCD Espanyol,Elche CF,5–2
RCD Espanyol,Granada CF,3–1
RCD Espanyol,RCD Mallorca,1–0
RCD Espanyol,Real Oviedo,4–1
RCD Espanyol,Real Betis,2–1
RCD Espanyol,Real Madrid C.F.,1–2
RCD Espanyol,Racing de Santander,2–0
RCD Espanyol,Real Sociedad,1–1
RCD Espanyol,Sevilla FC,3–0
RCD Espanyol,Valencia CF,3–0
RCD Espanyol,Real Valladolid,1–2
RCD Espanyol,Real Zaragoza,5–0
Granada CF,Atlético Bilbao,2–0
Granada CF,Atlético Madrid,0–3
Granada CF,FC Barcelona,1–1
Granada CF,Elche CF,1–1
Granada CF,RCD Espanyol,1–2
Granada CF,RCD Mallorca,4–0
Granada CF,Real Oviedo,1–1
Granada CF,Real Betis,1–2
Granada CF,Real Madrid C.F.,2–3
Granada CF,Racing de Santander,5–1
Granada CF,Real Sociedad,2–0
Granada CF,Sevilla FC,0–2
Granada CF,Valencia CF,2–2
Granada CF,Real Valladolid,0–1
Granada CF,Real Zaragoza,2–3
RCD Mallorca,Atlético Bilbao,0–0
RCD Mallorca,Atlético Madrid,0–1
RCD Mallorca,FC Barcelona,3–1
RCD Mallorca,Elche CF,3–0
RCD Mallorca,RCD Espanyol,3–0
RCD Mallorca,Granada CF,1–0
RCD Mallorca,Real Oviedo,1–0
RCD Mallorca,Real Betis,1–0
RCD Mallorca,Real Madrid C.F.,1–1
RCD Mallorca,Racing de Santander,2–1
RCD Mallorca,Real Sociedad,0–0
RCD Mallorca,Sevilla FC,2–2
RCD Mallorca,Valencia CF,4–0
RCD Mallorca,Real Valladolid,3–1
RCD Mallorca,Real Zaragoza,4–0
Real Oviedo,Atlético Bilbao,2–0
Real Oviedo,Atlético Madrid,0–0
Real Oviedo,FC Barcelona,1–0
Real Oviedo,Elche CF,4–0
Real Oviedo,RCD Espanyol,2–3
Real Oviedo,Granada CF,0–0
Real Oviedo,RCD Mallorca,1–0
Real Oviedo,Real Betis,2–1
Real Oviedo,Real Madrid C.F.,0–0
Real Oviedo,Racing de Santander,2–1
Real Oviedo,Real Sociedad,3–1
