position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
7,Atlético Bilbao,30,12,6,12,42,41,+1,30,1960-61
5,Atlético Bilbao,30,12,8,10,52,38,+14,32,1961-62
10,Atlético Bilbao,30,10,8,12,41,40,+1,28,1962-63
8,Atlético Bilbao,30,12,5,13,43,40,+3,29,1963-64
7,Atlético Bilbao,30,13,6,11,36,41,−5,32,1964-65
5,Atlético Bilbao,30,14,6,10,43,32,+11,34,1965-66
7,Atlético Bilbao,30,11,9,10,43,36,+7,31,1966-67
7,Atlético Bilbao,30,11,10,9,51,28,+23,32,1967-68
11,Atlético Bilbao,30,10,8,12,42,46,−4,28,1968-69
2,Atlético Bilbao,30,17,7,6,44,20,+24,41,1969-70
