position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
2,Barcelona,30.0,19,5,6,50,22,+28,43,1970-71
3,Barcelona,34.0,17,9,8,40,26,+14,43,1971-72
2,Barcelona,34.0,18,10,6,41,21,+20,46,1972-73
1,Barcelona,34.0,21,8,5,75,24,+51,50,1973-74
3,Barcelona,34.0,15,7,12,57,36,+21,37,1974-75
2,Barcelona,34.0,18,7,9,61,41,+20,43,1975-76
2,Barcelona,34.0,18,9,7,69,34,+35,45,1976-77
2,Barcelona,34.0,16,9,9,49,29,+20,41,1977-78
5,Barcelona,34.0,16,6,12,69,37,+32,38,1978-79
4,Barcelona,34.0,13,12,9,42,33,+9,38,1979-80
