Home,Away,Score
Athletic Bilbao,Atlético Madrid,6–1
Athletic Bilbao,FC Barcelona,0–0
Athletic Bilbao,Real Betis,8–0
Athletic Bilbao,Córdoba CF,3–0
Athletic Bilbao,Elche CF,3–0
Athletic Bilbao,RCD Espanyol,1–2
Athletic Bilbao,UD Las Palmas,0–1
Athletic Bilbao,CD Málaga,4–0
Athletic Bilbao,Pontevedra CF,1–1
Athletic Bilbao,Real Madrid C.F.,1–2
Athletic Bilbao,Real Sociedad,1–1
Athletic Bilbao,CE Sabadell FC,1–1
Athletic Bilbao,Sevilla FC,2–0
Athletic Bilbao,Valencia CF,1–0
Athletic Bilbao,Real Zaragoza,2–0
Atlético Madrid,Athletic Bilbao,2–0
Atlético Madrid,FC Barcelona,0–1
Atlético Madrid,Real Betis,0–0
Atlético Madrid,Córdoba CF,5–0
Atlético Madrid,Elche CF,2–1
Atlético Madrid,RCD Espanyol,0–0
Atlético Madrid,UD Las Palmas,1–2
Atlético Madrid,CD Málaga,4–2
Atlético Madrid,Pontevedra CF,3–0
Atlético Madrid,Real Madrid C.F.,1–1
Atlético Madrid,Real Sociedad,2–1
Atlético Madrid,CE Sabadell FC,2–0
Atlético Madrid,Sevilla FC,3–3
Atlético Madrid,Valencia CF,0–0
Atlético Madrid,Real Zaragoza,0–1
FC Barcelona,Athletic Bilbao,1–0
FC Barcelona,Atlético Madrid,1–1
FC Barcelona,Real Betis,2–1
FC Barcelona,Córdoba CF,3–2
FC Barcelona,Elche CF,4–2
FC Barcelona,RCD Espanyol,1–0
FC Barcelona,UD Las Palmas,2–0
FC Barcelona,CD Málaga,1–0
FC Barcelona,Pontevedra CF,4–0
FC Barcelona,Real Madrid C.F.,1–1
FC Barcelona,Real Sociedad,0–0
FC Barcelona,CE Sabadell FC,3–1
FC Barcelona,Sevilla FC,3–0
FC Barcelona,Valencia CF,1–1
FC Barcelona,Real Zaragoza,4–0
Real Betis,Athletic Bilbao,0–3
Real Betis,Atlético Madrid,0–2
Real Betis,FC Barcelona,4–3
Real Betis,Córdoba CF,1–0
Real Betis,Elche CF,1–0
Real Betis,RCD Espanyol,1–4
Real Betis,UD Las Palmas,4–2
Real Betis,CD Málaga,2–0
Real Betis,Pontevedra CF,0–1
Real Betis,Real Madrid C.F.,1–2
Real Betis,Real Sociedad,4–1
Real Betis,CE Sabadell FC,2–3
Real Betis,Sevilla FC,0–0
Real Betis,Valencia CF,0–2
Real Betis,Real Zaragoza,2–1
Córdoba CF,Athletic Bilbao,2–1
Córdoba CF,Atlético Madrid,0–1
Córdoba CF,FC Barcelona,0–1
Córdoba CF,Real Betis,3–0
Córdoba CF,Elche CF,3–0
Córdoba CF,RCD Espanyol,1–0
Córdoba CF,UD Las Palmas,2–1
Córdoba CF,CD Málaga,2–3
Córdoba CF,Pontevedra CF,3–1
Córdoba CF,Real Madrid C.F.,3–3
Córdoba CF,Real Sociedad,2–0
Córdoba CF,CE Sabadell FC,2–1
Córdoba CF,Sevilla FC,1–1
Córdoba CF,Valencia CF,1–1
Córdoba CF,Real Zaragoza,1–0
Elche CF,Athletic Bilbao,1–0
Elche CF,Atlético Madrid,1–0
Elche CF,FC Barcelona,0–2
Elche CF,Real Betis,1–0
Elche CF,Córdoba CF,3–0
Elche CF,RCD Espanyol,1–0
Elche CF,UD Las Palmas,2–0
Elche CF,CD Málaga,1–0
Elche CF,Pontevedra CF,0–0
Elche CF,Real Madrid C.F.,0–0
Elche CF,Real Sociedad,5–0
Elche CF,CE Sabadell FC,1–1
Elche CF,Sevilla FC,4–2
Elche CF,Valencia CF,1–0
Elche CF,Real Zaragoza,0–1
RCD Espanyol,Athletic Bilbao,1–1
RCD Espanyol,Atlético Madrid,0–1
RCD Espanyol,FC Barcelona,1–0
RCD Espanyol,Real Betis,4–0
RCD Espanyol,Córdoba CF,1–2
RCD Espanyol,Elche CF,1–1
RCD Espanyol,UD Las Palmas,3–2
RCD Espanyol,CD Málaga,4–1
RCD Espanyol,Pontevedra CF,4–1
RCD Espanyol,Real Madrid C.F.,0–4
RCD Espanyol,Real Sociedad,2–0
RCD Espanyol,CE Sabadell FC,3–1
RCD Espanyol,Sevilla FC,4–0
RCD Espanyol,Valencia CF,4–5
RCD Espanyol,Real Zaragoza,1–1
UD Las Palmas,Athletic Bilbao,1–0
UD Las Palmas,Atlético Madrid,4–1
UD Las Palmas,FC Barcelona,4–1
UD Las Palmas,Real Betis,3–1
UD Las Palmas,Córdoba CF,4–1
UD Las Palmas,Elche CF,3–1
UD Las Palmas,RCD Espanyol,2–0
UD Las Palmas,CD Málaga,1–1
UD Las Palmas,Pontevedra CF,5–0
UD Las Palmas,Real Madrid C.F.,2–2
UD Las Palmas,Real Sociedad,2–1
UD Las Palmas,CE Sabadell FC,1–0
UD Las Palmas,Sevilla FC,4–1
UD Las Palmas,Valencia CF,2–1
UD Las Palmas,Real Zaragoza,2–1
CD Málaga,Athletic Bilbao,2–2
CD Málaga,Atlético Madrid,0–1
CD Málaga,FC Barcelona,1–1
CD Málaga,Real Betis,0–0
CD Málaga,Córdoba CF,0–1
CD Málaga,Elche CF,2–0
CD Málaga,RCD Espanyol,1–0
CD Málaga,UD Las Palmas,2–0
CD Málaga,Pontevedra CF,3–1
CD Málaga,Real Madrid C.F.,1–0
CD Málaga,Real Sociedad,2–0
CD Málaga,CE Sabadell FC,1–3
CD Málaga,Sevilla FC,0–0
CD Málaga,Valencia CF,0–0
CD Málaga,Real Zaragoza,2–2
Pontevedra CF,Athletic Bilbao,1–1
Pontevedra CF,Atlético Madrid,1–1
Pontevedra CF,FC Barcelona,1–0
Pontevedra CF,Real Betis,1–1
Pontevedra CF,Córdoba CF,3–1
Pontevedra CF,Elche CF,1–0
Pontevedra CF,RCD Espanyol,3–0
Pontevedra CF,UD Las Palmas,3–0
Pontevedra CF,CD Málaga,1–0
Pontevedra CF,Real Madrid C.F.,3–0
Pontevedra CF,Real Sociedad,2–0
Pontevedra CF,CE Sabadell FC,0–0
Pontevedra CF,Sevilla FC,4–1
Pontevedra CF,Valencia CF,1–0
Pontevedra CF,Real Zaragoza,1–0
Real Madrid C.F.,Athletic Bilbao,0–0
Real Madrid C.F.,Atlético Madrid,0–0
