Home,Away,Score
Athletic Bilbao,Cádiz CF,1–0
Athletic Bilbao,UD Las Palmas,4–1
Athletic Bilbao,CA Osasuna,0–2
Athletic Bilbao,Racing de Santander,3–1
Athletic Bilbao,CE Sabadell FC,1–1
Cádiz CF,Athletic Bilbao,1–1
Cádiz CF,UD Las Palmas,2–4
Cádiz CF,CA Osasuna,1–0
Cádiz CF,Racing de Santander,2–1
Cádiz CF,CE Sabadell FC,0–0
UD Las Palmas,Athletic Bilbao,1–2
UD Las Palmas,Cádiz CF,2–1
UD Las Palmas,CA Osasuna,1–1
UD Las Palmas,Racing de Santander,3–2
UD Las Palmas,CE Sabadell FC,1–1
CA Osasuna,Athletic Bilbao,0–0
CA Osasuna,Cádiz CF,3–2
CA Osasuna,UD Las Palmas,4–0
CA Osasuna,Racing de Santander,4–0
CA Osasuna,CE Sabadell FC,0–1
Racing de Santander,Athletic Bilbao,2–0
Racing de Santander,Cádiz CF,3–0
Racing de Santander,UD Las Palmas,1–3
Racing de Santander,CA Osasuna,1–1
Racing de Santander,CE Sabadell FC,4–0
CE Sabadell FC,Athletic Bilbao,1–0
CE Sabadell FC,Cádiz CF,2–0
CE Sabadell FC,UD Las Palmas,1–2
CE Sabadell FC,CA Osasuna,2–1
CE Sabadell FC,Racing de Santander,1–0
