Home,Away,Score
Athletic Bilbao,Atlético Madrid,2–1
Athletic Bilbao,FC Barcelona,0–6
Athletic Bilbao,Real Betis,4–0
Athletic Bilbao,Cádiz CF,1–0
Athletic Bilbao,CD Castellón,1–1
Athletic Bilbao,RCD Espanyol,1–1
Athletic Bilbao,CD Logroñés,1–1
Athletic Bilbao,RCD Mallorca,2–0
Athletic Bilbao,CA Osasuna,2–0
Athletic Bilbao,Real Burgos CF,2–1
Athletic Bilbao,Real Madrid C.F.,1–0
Athletic Bilbao,Real Oviedo,2–1
Athletic Bilbao,Real Sociedad,2–1
Athletic Bilbao,Sevilla FC,2–0
Athletic Bilbao,Sporting de Gijón,1–2
Athletic Bilbao,CD Tenerife,2–0
Athletic Bilbao,Valencia CF,0–2
Athletic Bilbao,Real Valladolid,0–1
Athletic Bilbao,Real Zaragoza,2–0
Atlético Madrid,Athletic Bilbao,2–0
Atlético Madrid,FC Barcelona,2–1
Atlético Madrid,Real Betis,2–1
Atlético Madrid,Cádiz CF,0–0
Atlético Madrid,CD Castellón,3–1
Atlético Madrid,RCD Espanyol,4–0
Atlético Madrid,CD Logroñés,3–0
Atlético Madrid,RCD Mallorca,0–1
Atlético Madrid,CA Osasuna,2–2
Atlético Madrid,Real Burgos CF,0–0
Atlético Madrid,Real Madrid C.F.,0–3
Atlético Madrid,Real Oviedo,0–0
Atlético Madrid,Real Sociedad,4–0
Atlético Madrid,Sevilla FC,1–0
Atlético Madrid,Sporting de Gijón,3–1
Atlético Madrid,CD Tenerife,1–1
Atlético Madrid,Valencia CF,2–0
Atlético Madrid,Real Valladolid,2–0
Atlético Madrid,Real Zaragoza,4–0
FC Barcelona,Athletic Bilbao,4–1
FC Barcelona,Atlético Madrid,1–1
FC Barcelona,Real Betis,4–2
FC Barcelona,Cádiz CF,2–0
FC Barcelona,CD Castellón,6–0
FC Barcelona,RCD Espanyol,5–2
FC Barcelona,CD Logroñés,2–1
FC Barcelona,RCD Mallorca,2–1
FC Barcelona,CA Osasuna,2–0
FC Barcelona,Real Burgos CF,0–0
FC Barcelona,Real Madrid C.F.,2–1
FC Barcelona,Real Oviedo,0–0
FC Barcelona,Real Sociedad,1–3
FC Barcelona,Sevilla FC,3–0
FC Barcelona,Sporting de Gijón,3–2
FC Barcelona,CD Tenerife,1–0
FC Barcelona,Valencia CF,3–1
FC Barcelona,Real Valladolid,1–0
FC Barcelona,Real Zaragoza,2–1
Real Betis,Athletic Bilbao,1–0
Real Betis,Atlético Madrid,0–0
Real Betis,FC Barcelona,2–3
Real Betis,Cádiz CF,3–0
Real Betis,CD Castellón,1–0
Real Betis,RCD Espanyol,1–2
Real Betis,CD Logroñés,3–2
Real Betis,RCD Mallorca,2–2
Real Betis,CA Osasuna,0–1
Real Betis,Real Burgos CF,0–0
Real Betis,Real Madrid C.F.,1–3
Real Betis,Real Oviedo,1–1
Real Betis,Real Sociedad,1–1
Real Betis,Sevilla FC,0–3
Real Betis,Sporting de Gijón,2–2
Real Betis,CD Tenerife,1–1
Real Betis,Valencia CF,2–2
Real Betis,Real Valladolid,0–0
Real Betis,Real Zaragoza,1–1
Cádiz CF,Athletic Bilbao,2–3
Cádiz CF,Atlético Madrid,0–1
Cádiz CF,FC Barcelona,4–0
Cádiz CF,Real Betis,1–2
Cádiz CF,CD Castellón,0–0
Cádiz CF,RCD Espanyol,0–0
Cádiz CF,CD Logroñés,2–0
Cádiz CF,RCD Mallorca,1–0
Cádiz CF,CA Osasuna,1–1
Cádiz CF,Real Burgos CF,0–0
Cádiz CF,Real Madrid C.F.,1–0
Cádiz CF,Real Oviedo,2–1
Cádiz CF,Real Sociedad,1–1
Cádiz CF,Sevilla FC,2–1
Cádiz CF,Sporting de Gijón,1–1
Cádiz CF,CD Tenerife,1–2
Cádiz CF,Valencia CF,0–0
Cádiz CF,Real Valladolid,0–0
Cádiz CF,Real Zaragoza,2–1
CD Castellón,Athletic Bilbao,2–0
CD Castellón,Atlético Madrid,0–0
CD Castellón,FC Barcelona,0–1
CD Castellón,Real Betis,3–1
CD Castellón,Cádiz CF,2–0
CD Castellón,RCD Espanyol,1–1
CD Castellón,CD Logroñés,0–0
CD Castellón,RCD Mallorca,0–1
CD Castellón,CA Osasuna,1–0
CD Castellón,Real Burgos CF,0–0
CD Castellón,Real Madrid C.F.,0–3
CD Castellón,Real Oviedo,1–0
CD Castellón,Real Sociedad,1–1
CD Castellón,Sevilla FC,0–0
CD Castellón,Sporting de Gijón,3–2
CD Castellón,CD Tenerife,5–1
CD Castellón,Valencia CF,0–2
CD Castellón,Real Valladolid,4–2
CD Castellón,Real Zaragoza,0–0
RCD Espanyol,Athletic Bilbao,1–2
RCD Espanyol,Atlético Madrid,3–1
RCD Espanyol,FC Barcelona,0–1
RCD Espanyol,Real Betis,2–2
RCD Espanyol,Cádiz CF,2–1
RCD Espanyol,CD Castellón,1–0
RCD Espanyol,CD Logroñés,0–1
RCD Espanyol,RCD Mallorca,3–0
RCD Espanyol,CA Osasuna,0–1
RCD Espanyol,Real Burgos CF,1–0
RCD Espanyol,Real Madrid C.F.,3–1
RCD Espanyol,Real Oviedo,5–0
RCD Espanyol,Real Sociedad,1–0
RCD Espanyol,Sevilla FC,4–0
RCD Espanyol,Sporting de Gijón,0–2
RCD Espanyol,CD Tenerife,1–0
RCD Espanyol,Valencia CF,0–0
RCD Espanyol,Real Valladolid,2–0
RCD Espanyol,Real Zaragoza,0–0
CD Logroñés,Athletic Bilbao,1–1
CD Logroñés,Atlético Madrid,0–1
CD Logroñés,FC Barcelona,0–2
CD Logroñés,Real Betis,1–0
CD Logroñés,Cádiz CF,1–1
CD Logroñés,CD Castellón,2–1
CD Logroñés,RCD Espanyol,1–0
CD Logroñés,RCD Mallorca,1–2
CD Logroñés,CA Osasuna,2–0
CD Logroñés,Real Burgos CF,0–0
CD Logroñés,Real Madrid C.F.,1–0
CD Logroñés,Real Oviedo,1–0
CD Logroñés,Real Sociedad,0–0
CD Logroñés,Sevilla FC,2–1
CD Logroñés,Sporting de Gijón,1–2
CD Logroñés,CD Tenerife,1–0
CD Logroñés,Valencia CF,1–0
CD Logroñés,Real Valladolid,1–2
CD Logroñés,Real Zaragoza,1–1
RCD Mallorca,Athletic Bilbao,0–0
RCD Mallorca,Atlético Madrid,1–0
RCD Mallorca,FC Barcelona,1–1
RCD Mallorca,Real Betis,1–0
RCD Mallorca,Cádiz CF,0–0
RCD Mallorca,CD Castellón,0–0
RCD Mallorca,RCD Espanyol,4–0
RCD Mallorca,CD Logroñés,2–0
RCD Mallorca,CA Osasuna,1–1
RCD Mallorca,Real Burgos CF,0–0
RCD Mallorca,Real Madrid C.F.,1–1
RCD Mallorca,Real Oviedo,1–1
RCD Mallorca,Real Sociedad,2–1
RCD Mallorca,Sevilla FC,1–1
RCD Mallorca,Sporting de Gijón,1–1
RCD Mallorca,CD Tenerife,0–1
RCD Mallorca,Valencia CF,0–1
RCD Mallorca,Real Valladolid,0–0
RCD Mallorca,Real Zaragoza,3–2
CA Osasuna,Athletic Bilbao,1–0
CA Osasuna,Atlético Madrid,0–3
CA Osasuna,FC Barcelona,0–0
CA Osasuna,Real Betis,3–0
CA Osasuna,Cádiz CF,1–1
CA Osasuna,CD Castellón,2–0
CA Osasuna,RCD Espanyol,1–0
CA Osasuna,CD Logroñés,1–1
CA Osasuna,RCD Mallorca,1–0
CA Osasuna,Real Burgos CF,1–0
CA Osasuna,Real Madrid C.F.,3–3
CA Osasuna,Real Oviedo,0–0
CA Osasuna,Real Sociedad,3–1
CA Osasuna,Sevilla FC,1–0
CA Osasuna,Sporting de Gijón,2–1
CA Osasuna,CD Tenerife,3–1
CA Osasuna,Valencia CF,0–2
CA Osasuna,Real Valladolid,2–1
CA Osasuna,Real Zaragoza,1–0
Real Burgos CF,Athletic Bilbao,2–1
Real Burgos CF,Atlético Madrid,1–1
Real Burgos CF,FC Barcelona,1–3
Real Burgos CF,Real Betis,1–2
Real Burgos CF,Cádiz CF,1–0
Real Burgos CF,CD Castellón,4–0
Real Burgos CF,RCD Espanyol,0–0
Real Burgos CF,CD Logroñés,1–2
Real Burgos CF,RCD Mallorca,1–1
Real Burgos CF,CA Osasuna,1–1
Real Burgos CF,Real Madrid C.F.,2–1
Real Burgos CF,Real Oviedo,4–0
Real Burgos CF,Real Sociedad,2–0
Real Burgos CF,Sevilla FC,1–1
Real Burgos CF,Sporting de Gijón,1–1
Real Burgos CF,CD Tenerife,2–0
Real Burgos CF,Valencia CF,0–0
Real Burgos CF,Real Valladolid,0–1
Real Burgos CF,Real Zaragoza,0–1
Real Madrid C.F.,Athletic Bilbao,4–1
Real Madrid C.F.,Atlético Madrid,0–3
Real Madrid C.F.,FC Barcelona,1–0
Real Madrid C.F.,Real Betis,3–0
Real Madrid C.F.,Cádiz CF,2–1
Real Madrid C.F.,CD Castellón,1–0
Real Madrid C.F.,RCD Espanyol,2–1
Real Madrid C.F.,CD Logroñés,0–0
Real Madrid C.F.,RCD Mallorca,3–0
Real Madrid C.F.,CA Osasuna,0–4
Real Madrid C.F.,Real Burgos CF,0–1
Real Madrid C.F.,Real Oviedo,1–1
Real Madrid C.F.,Real Sociedad,2–3
Real Madrid C.F.,Sevilla FC,7–0
Real Madrid C.F.,Sporting de Gijón,2–1
Real Madrid C.F.,CD Tenerife,3–0
Real Madrid C.F.,Valencia CF,4–0
Real Madrid C.F.,Real Valladolid,1–0
Real Madrid C.F.,Real Zaragoza,2–0
Real Oviedo,Athletic Bilbao,1–1
Real Oviedo,Atlético Madrid,3–0
Real Oviedo,FC Barcelona,1–0
Real Oviedo,Real Betis,1–0
Real Oviedo,Cádiz CF,1–1
Real Oviedo,CD Castellón,3–0
Real Oviedo,RCD Espanyol,4–1
Real Oviedo,CD Logroñés,0–0
Real Oviedo,RCD Mallorca,1–0
Real Oviedo,CA Osasuna,0–0
Real Oviedo,Real Burgos CF,1–1
Real Oviedo,Real Madrid C.F.,0–0
Real Oviedo,Real Sociedad,2–1
Real Oviedo,Sevilla FC,0–0
Real Oviedo,Sporting de Gijón,0–0
Real Oviedo,CD Tenerife,3–1
Real Oviedo,Valencia CF,2–1
Real Oviedo,Real Valladolid,1–0
Real Oviedo,Real Zaragoza,2–1
Real Sociedad,Athletic Bilbao,0–1
Real Sociedad,Atlético Madrid,2–1
Real Sociedad,FC Barcelona,1–1
Real Sociedad,Real Betis,1–0
Real Sociedad,Cádiz CF,0–0
Real Sociedad,CD Castellón,1–1
Real Sociedad,RCD Espanyol,0–0
Real Sociedad,CD Logroñés,2–0
Real Sociedad,RCD Mallorca,0–0
Real Sociedad,CA Osasuna,1–1
Real Sociedad,Real Burgos CF,3–1
Real Sociedad,Real Madrid C.F.,1–1
Real Sociedad,Real Oviedo,3–1
Real Sociedad,Sevilla FC,1–1
Real Sociedad,Sporting de Gijón,1–0
Real Sociedad,CD Tenerife,1–3
Real Sociedad,Valencia CF,1–0
Real Sociedad,Real Valladolid,1–1
Real Sociedad,Real Zaragoza,1–0
Sevilla FC,Athletic Bilbao,3–0
Sevilla FC,Atlético Madrid,1–1
Sevilla FC,FC Barcelona,0–1
Sevilla FC,Real Betis,3–2
Sevilla FC,Cádiz CF,2–1
Sevilla FC,CD Castellón,3–0
Sevilla FC,RCD Espanyol,1–1
Sevilla FC,CD Logroñés,1–0
Sevilla FC,RCD Mallorca,1–0
Sevilla FC,CA Osasuna,2–1
Sevilla FC,Real Burgos CF,1–2
Sevilla FC,Real Madrid C.F.,2–0
Sevilla FC,Real Oviedo,3–0
Sevilla FC,Real Sociedad,1–0
Sevilla FC,Sporting de Gijón,1–0
Sevilla FC,CD Tenerife,2–2
Sevilla FC,Valencia CF,2–1
Sevilla FC,Real Valladolid,1–0
Sevilla FC,Real Zaragoza,1–2
Sporting de Gijón,Athletic Bilbao,3–1
Sporting de Gijón,Atlético Madrid,1–2
Sporting de Gijón,FC Barcelona,1–0
Sporting de Gijón,Real Betis,4–0
Sporting de Gijón,Cádiz CF,3–1
Sporting de Gijón,CD Castellón,1–0
Sporting de Gijón,RCD Espanyol,3–0
Sporting de Gijón,CD Logroñés,1–0
Sporting de Gijón,RCD Mallorca,1–1
Sporting de Gijón,CA Osasuna,1–1
Sporting de Gijón,Real Burgos CF,0–0
Sporting de Gijón,Real Madrid C.F.,0–2
Sporting de Gijón,Real Oviedo,0–0
Sporting de Gijón,Real Sociedad,2–1
Sporting de Gijón,Sevilla FC,2–0
Sporting de Gijón,CD Tenerife,2–1
Sporting de Gijón,Valencia CF,1–1
Sporting de Gijón,Real Valladolid,4–0
Sporting de Gijón,Real Zaragoza,1–0
CD Tenerife,Athletic Bilbao,1–0
CD Tenerife,Atlético Madrid,0–0
CD Tenerife,FC Barcelona,0–1
CD Tenerife,Real Betis,1–1
CD Tenerife,Cádiz CF,1–0
CD Tenerife,CD Castellón,1–0
CD Tenerife,RCD Espanyol,2–0
CD Tenerife,CD Logroñés,2–0
CD Tenerife,RCD Mallorca,2–1
CD Tenerife,CA Osasuna,2–1
CD Tenerife,Real Burgos CF,1–0
CD Tenerife,Real Madrid C.F.,0–1
CD Tenerife,Real Oviedo,1–2
CD Tenerife,Real Sociedad,2–0
CD Tenerife,Sevilla FC,0–4
CD Tenerife,Sporting de Gijón,0–0
CD Tenerife,Valencia CF,1–1
CD Tenerife,Real Valladolid,1–0
CD Tenerife,Real Zaragoza,0–2
Valencia CF,Athletic Bilbao,2–1
Valencia CF,Atlético Madrid,1–1
Valencia CF,FC Barcelona,2–2
Valencia CF,Real Betis,3–1
Valencia CF,Cádiz CF,2–1
Valencia CF,CD Castellón,1–0
Valencia CF,RCD Espanyol,2–0
Valencia CF,CD Logroñés,0–1
Valencia CF,RCD Mallorca,1–0
Valencia CF,CA Osasuna,1–1
Valencia CF,Real Burgos CF,0–1
Valencia CF,Real Madrid C.F.,2–1
Valencia CF,Real Oviedo,1–1
Valencia CF,Real Sociedad,0–1
Valencia CF,Sevilla FC,2–1
Valencia CF,Sporting de Gijón,0–1
Valencia CF,CD Tenerife,4–2
Valencia CF,Real Valladolid,2–0
Valencia CF,Real Zaragoza,2–0
Real Valladolid,Athletic Bilbao,1–0
Real Valladolid,Atlético Madrid,0–0
Real Valladolid,FC Barcelona,1–5
Real Valladolid,Real Betis,1–1
Real Valladolid,Cádiz CF,0–0
Real Valladolid,CD Castellón,0–0
Real Valladolid,RCD Espanyol,2–0
Real Valladolid,CD Logroñés,0–0
Real Valladolid,RCD Mallorca,5–1
Real Valladolid,CA Osasuna,1–1
