Home,Away,Score
Albacete Balompié,Athletic Bilbao,1–0
Albacete Balompié,Atlético Madrid,2–2
Albacete Balompié,FC Barcelona,0–0
Albacete Balompié,Celta de Vigo,0–4
Albacete Balompié,Deportivo de La Coruña,0–0
Albacete Balompié,UE Lleida,2–1
Albacete Balompié,CD Logroñés,2–2
Albacete Balompié,CA Osasuna,2–1
Albacete Balompié,Racing de Santander,3–0
Albacete Balompié,Rayo Vallecano,1–1
Albacete Balompié,Real Madrid C.F.,1–4
Albacete Balompié,Real Oviedo,5–0
Albacete Balompié,Real Sociedad,1–1
Albacete Balompié,Sevilla FC,2–2
Albacete Balompié,Sporting de Gijón,3–1
Albacete Balompié,CD Tenerife,2–3
Albacete Balompié,Valencia CF,3–1
Albacete Balompié,Real Valladolid,1–1
Albacete Balompié,Real Zaragoza,2–1
Athletic Bilbao,Albacete Balompié,4–1
Athletic Bilbao,Atlético Madrid,3–2
Athletic Bilbao,FC Barcelona,0–0
Athletic Bilbao,Celta de Vigo,2–1
Athletic Bilbao,Deportivo de La Coruña,3–1
Athletic Bilbao,UE Lleida,4–0
Athletic Bilbao,CD Logroñés,0–0
Athletic Bilbao,CA Osasuna,1–2
Athletic Bilbao,Racing de Santander,1–2
Athletic Bilbao,Rayo Vallecano,0–0
Athletic Bilbao,Real Madrid C.F.,2–1
Athletic Bilbao,Real Oviedo,1–1
Athletic Bilbao,Real Sociedad,0–0
Athletic Bilbao,Sevilla FC,1–1
Athletic Bilbao,Sporting de Gijón,7–0
Athletic Bilbao,CD Tenerife,3–2
Athletic Bilbao,Valencia CF,2–1
Athletic Bilbao,Real Valladolid,3–0
Athletic Bilbao,Real Zaragoza,2–1
Atlético Madrid,Albacete Balompié,0–0
Atlético Madrid,Athletic Bilbao,4–2
Atlético Madrid,FC Barcelona,4–3
Atlético Madrid,Celta de Vigo,3–2
Atlético Madrid,Deportivo de La Coruña,0–1
Atlético Madrid,UE Lleida,0–0
Atlético Madrid,CD Logroñés,1–0
Atlético Madrid,CA Osasuna,3–0
Atlético Madrid,Racing de Santander,4–0
Atlético Madrid,Rayo Vallecano,2–0
Atlético Madrid,Real Madrid C.F.,0–0
Atlético Madrid,Real Oviedo,0–3
Atlético Madrid,Real Sociedad,1–2
Atlético Madrid,Sevilla FC,2–4
Atlético Madrid,Sporting de Gijón,2–0
Atlético Madrid,CD Tenerife,2–0
Atlético Madrid,Valencia CF,2–0
Atlético Madrid,Real Valladolid,2–0
Atlético Madrid,Real Zaragoza,0–4
FC Barcelona,Albacete Balompié,2–1
FC Barcelona,Athletic Bilbao,2–3
FC Barcelona,Atlético Madrid,5–3
FC Barcelona,Celta de Vigo,1–0
FC Barcelona,Deportivo de La Coruña,3–0
FC Barcelona,UE Lleida,0–1
FC Barcelona,CD Logroñés,2–2
FC Barcelona,CA Osasuna,8–1
FC Barcelona,Racing de Santander,2–1
FC Barcelona,Rayo Vallecano,1–0
FC Barcelona,Real Madrid C.F.,5–0
FC Barcelona,Real Oviedo,1–0
FC Barcelona,Real Sociedad,3–0
FC Barcelona,Sevilla FC,5–2
FC Barcelona,Sporting de Gijón,4–0
FC Barcelona,CD Tenerife,2–1
FC Barcelona,Valencia CF,3–1
FC Barcelona,Real Valladolid,3–0
FC Barcelona,Real Zaragoza,4–1
Celta de Vigo,Albacete Balompié,1–4
Celta de Vigo,Athletic Bilbao,1–1
Celta de Vigo,Atlético Madrid,3–2
Celta de Vigo,FC Barcelona,0–4
Celta de Vigo,Deportivo de La Coruña,0–0
Celta de Vigo,UE Lleida,1–0
Celta de Vigo,CD Logroñés,2–0
Celta de Vigo,CA Osasuna,4–0
Celta de Vigo,Racing de Santander,0–0
Celta de Vigo,Rayo Vallecano,0–0
Celta de Vigo,Real Madrid C.F.,3–2
Celta de Vigo,Real Oviedo,1–1
Celta de Vigo,Real Sociedad,3–2
Celta de Vigo,Sevilla FC,2–1
Celta de Vigo,Sporting de Gijón,0–2
Celta de Vigo,CD Tenerife,1–0
Celta de Vigo,Valencia CF,1–2
Celta de Vigo,Real Valladolid,1–2
Celta de Vigo,Real Zaragoza,1–0
Deportivo de La Coruña,Albacete Balompié,5–1
Deportivo de La Coruña,Athletic Bilbao,4–1
Deportivo de La Coruña,Atlético Madrid,2–1
Deportivo de La Coruña,FC Barcelona,1–0
Deportivo de La Coruña,Celta de Vigo,0–0
Deportivo de La Coruña,UE Lleida,2–0
Deportivo de La Coruña,CD Logroñés,3–0
Deportivo de La Coruña,CA Osasuna,3–1
Deportivo de La Coruña,Racing de Santander,1–0
Deportivo de La Coruña,Rayo Vallecano,0–0
Deportivo de La Coruña,Real Madrid C.F.,4–0
Deportivo de La Coruña,Real Oviedo,4–0
Deportivo de La Coruña,Real Sociedad,0–1
Deportivo de La Coruña,Sevilla FC,2–0
Deportivo de La Coruña,Sporting de Gijón,2–1
Deportivo de La Coruña,CD Tenerife,2–0
Deportivo de La Coruña,Valencia CF,0–0
Deportivo de La Coruña,Real Valladolid,0–0
Deportivo de La Coruña,Real Zaragoza,1–1
UE Lleida,Albacete Balompié,0–1
UE Lleida,Athletic Bilbao,1–2
UE Lleida,Atlético Madrid,0–1
UE Lleida,FC Barcelona,1–2
UE Lleida,Celta de Vigo,0–0
UE Lleida,Deportivo de La Coruña,0–0
UE Lleida,CD Logroñés,1–1
UE Lleida,CA Osasuna,1–2
UE Lleida,Racing de Santander,0–0
UE Lleida,Rayo Vallecano,0–1
UE Lleida,Real Madrid C.F.,2–1
UE Lleida,Real Oviedo,1–1
UE Lleida,Real Sociedad,1–0
UE Lleida,Sevilla FC,0–3
UE Lleida,Sporting de Gijón,1–1
UE Lleida,CD Tenerife,1–1
UE Lleida,Valencia CF,1–1
UE Lleida,Real Valladolid,1–0
UE Lleida,Real Zaragoza,0–1
CD Logroñés,Albacete Balompié,2–2
CD Logroñés,Athletic Bilbao,4–2
CD Logroñés,Atlético Madrid,1–0
CD Logroñés,FC Barcelona,0–0
CD Logroñés,Celta de Vigo,1–1
CD Logroñés,Deportivo de La Coruña,0–2
CD Logroñés,UE Lleida,2–1
CD Logroñés,CA Osasuna,3–2
CD Logroñés,Racing de Santander,0–1
CD Logroñés,Rayo Vallecano,1–1
CD Logroñés,Real Madrid C.F.,3–4
CD Logroñés,Real Oviedo,2–2
CD Logroñés,Real Sociedad,2–0
CD Logroñés,Sevilla FC,1–1
CD Logroñés,Sporting de Gijón,1–2
CD Logroñés,CD Tenerife,1–2
CD Logroñés,Valencia CF,2–0
CD Logroñés,Real Valladolid,0–0
CD Logroñés,Real Zaragoza,2–2
CA Osasuna,Albacete Balompié,3–1
CA Osasuna,Athletic Bilbao,0–0
CA Osasuna,Atlético Madrid,0–1
CA Osasuna,FC Barcelona,2–3
CA Osasuna,Celta de Vigo,0–1
CA Osasuna,Deportivo de La Coruña,0–0
CA Osasuna,UE Lleida,1–0
CA Osasuna,CD Logroñés,1–3
CA Osasuna,Racing de Santander,0–0
CA Osasuna,Rayo Vallecano,1–1
CA Osasuna,Real Madrid C.F.,1–4
CA Osasuna,Real Oviedo,2–0
CA Osasuna,Real Sociedad,0–2
CA Osasuna,Sevilla FC,0–0
CA Osasuna,Sporting de Gijón,3–0
CA Osasuna,CD Tenerife,1–0
CA Osasuna,Valencia CF,3–3
CA Osasuna,Real Valladolid,2–0
CA Osasuna,Real Zaragoza,0–0
Racing de Santander,Albacete Balompié,1–1
Racing de Santander,Athletic Bilbao,2–2
Racing de Santander,Atlético Madrid,2–0
Racing de Santander,FC Barcelona,1–1
Racing de Santander,Celta de Vigo,2–1
Racing de Santander,Deportivo de La Coruña,0–1
Racing de Santander,UE Lleida,2–1
Racing de Santander,CD Logroñés,0–0
Racing de Santander,CA Osasuna,3–1
Racing de Santander,Rayo Vallecano,1–0
Racing de Santander,Real Madrid C.F.,1–3
Racing de Santander,Real Oviedo,1–2
Racing de Santander,Real Sociedad,4–1
Racing de Santander,Sevilla FC,1–0
Racing de Santander,Sporting de Gijón,2–0
Racing de Santander,CD Tenerife,1–0
Racing de Santander,Valencia CF,0–1
Racing de Santander,Real Valladolid,5–1
Racing de Santander,Real Zaragoza,2–0
Rayo Vallecano,Albacete Balompié,0–0
Rayo Vallecano,Athletic Bilbao,1–2
Rayo Vallecano,Atlético Madrid,2–1
Rayo Vallecano,FC Barcelona,2–4
Rayo Vallecano,Celta de Vigo,1–1
Rayo Vallecano,Deportivo de La Coruña,0–0
Rayo Vallecano,UE Lleida,1–2
Rayo Vallecano,CD Logroñés,3–1
Rayo Vallecano,CA Osasuna,1–0
Rayo Vallecano,Racing de Santander,1–1
Rayo Vallecano,Real Madrid C.F.,0–2
Rayo Vallecano,Real Oviedo,0–0
Rayo Vallecano,Real Sociedad,4–1
Rayo Vallecano,Sevilla FC,2–1
Rayo Vallecano,Sporting de Gijón,2–1
Rayo Vallecano,CD Tenerife,4–3
Rayo Vallecano,Valencia CF,1–1
Rayo Vallecano,Real Valladolid,0–1
Rayo Vallecano,Real Zaragoza,1–2
Real Madrid C.F.,Albacete Balompié,2–0
Real Madrid C.F.,Athletic Bilbao,2–1
Real Madrid C.F.,Atlético Madrid,1–0
Real Madrid C.F.,FC Barcelona,0–1
Real Madrid C.F.,Celta de Vigo,2–1
Real Madrid C.F.,Deportivo de La Coruña,2–0
Real Madrid C.F.,UE Lleida,5–0
Real Madrid C.F.,CD Logroñés,2–1
Real Madrid C.F.,CA Osasuna,0–0
Real Madrid C.F.,Racing de Santander,2–1
Real Madrid C.F.,Rayo Vallecano,5–2
Real Madrid C.F.,Real Oviedo,0–1
Real Madrid C.F.,Real Sociedad,0–2
Real Madrid C.F.,Sevilla FC,0–0
Real Madrid C.F.,Sporting de Gijón,2–2
Real Madrid C.F.,CD Tenerife,1–1
Real Madrid C.F.,Valencia CF,3–2
Real Madrid C.F.,Real Valladolid,1–3
Real Madrid C.F.,Real Zaragoza,3–2
Real Oviedo,Albacete Balompié,1–1
Real Oviedo,Athletic Bilbao,3–0
Real Oviedo,Atlético Madrid,1–1
Real Oviedo,FC Barcelona,1–3
Real Oviedo,Celta de Vigo,1–0
Real Oviedo,Deportivo de La Coruña,2–5
Real Oviedo,UE Lleida,0–0
Real Oviedo,CD Logroñés,1–2
Real Oviedo,CA Osasuna,1–0
Real Oviedo,Racing de Santander,3–0
Real Oviedo,Rayo Vallecano,5–0
Real Oviedo,Real Madrid C.F.,0–1
Real Oviedo,Real Sociedad,2–1
Real Oviedo,Sevilla FC,0–2
Real Oviedo,Sporting de Gijón,0–1
Real Oviedo,CD Tenerife,1–0
Real Oviedo,Valencia CF,0–3
Real Oviedo,Real Valladolid,1–0
Real Oviedo,Real Zaragoza,2–1
Real Sociedad,Albacete Balompié,1–1
Real Sociedad,Athletic Bilbao,0–0
Real Sociedad,Atlético Madrid,2–1
Real Sociedad,FC Barcelona,2–1
Real Sociedad,Celta de Vigo,2–1
Real Sociedad,Deportivo de La Coruña,0–1
Real Sociedad,UE Lleida,1–3
Real Sociedad,CD Logroñés,2–2
Real Sociedad,CA Osasuna,1–0
Real Sociedad,Racing de Santander,2–0
Real Sociedad,Rayo Vallecano,1–1
Real Sociedad,Real Madrid C.F.,2–0
Real Sociedad,Real Oviedo,2–2
Real Sociedad,Sevilla FC,0–0
Real Sociedad,Sporting de Gijón,0–1
Real Sociedad,CD Tenerife,2–1
Real Sociedad,Valencia CF,0–0
Real Sociedad,Real Valladolid,1–0
Real Sociedad,Real Zaragoza,2–2
Sevilla FC,Albacete Balompié,2–0
Sevilla FC,Athletic Bilbao,1–3
Sevilla FC,Atlético Madrid,2–1
Sevilla FC,FC Barcelona,0–0
Sevilla FC,Celta de Vigo,4–1
Sevilla FC,Deportivo de La Coruña,0–0
Sevilla FC,UE Lleida,2–1
Sevilla FC,CD Logroñés,4–1
Sevilla FC,CA Osasuna,1–1
Sevilla FC,Racing de Santander,2–1
Sevilla FC,Rayo Vallecano,3–1
Sevilla FC,Real Madrid C.F.,0–1
Sevilla FC,Real Oviedo,2–0
Sevilla FC,Real Sociedad,1–0
Sevilla FC,Sporting de Gijón,1–2
Sevilla FC,CD Tenerife,4–0
Sevilla FC,Valencia CF,0–1
Sevilla FC,Real Valladolid,3–3
Sevilla FC,Real Zaragoza,0–1
Sporting de Gijón,Albacete Balompié,1–0
Sporting de Gijón,Athletic Bilbao,0–1
Sporting de Gijón,Atlético Madrid,1–1
Sporting de Gijón,FC Barcelona,2–0
Sporting de Gijón,Celta de Vigo,2–1
Sporting de Gijón,Deportivo de La Coruña,0–2
Sporting de Gijón,UE Lleida,1–1
Sporting de Gijón,CD Logroñés,1–2
Sporting de Gijón,CA Osasuna,7–1
Sporting de Gijón,Racing de Santander,0–2
Sporting de Gijón,Rayo Vallecano,2–0
Sporting de Gijón,Real Madrid C.F.,2–1
Sporting de Gijón,Real Oviedo,0–0
Sporting de Gijón,Real Sociedad,3–2
Sporting de Gijón,Sevilla FC,0–1
Sporting de Gijón,CD Tenerife,1–2
Sporting de Gijón,Valencia CF,2–0
Sporting de Gijón,Real Valladolid,2–0
Sporting de Gijón,Real Zaragoza,0–3
CD Tenerife,Albacete Balompié,2–1
CD Tenerife,Athletic Bilbao,2–1
CD Tenerife,Atlético Madrid,1–1
CD Tenerife,FC Barcelona,2–3
CD Tenerife,Celta de Vigo,0–0
CD Tenerife,Deportivo de La Coruña,0–1
CD Tenerife,UE Lleida,1–0
CD Tenerife,CD Logroñés,2–0
CD Tenerife,CA Osasuna,1–0
CD Tenerife,Racing de Santander,1–0
CD Tenerife,Rayo Vallecano,3–1
CD Tenerife,Real Madrid C.F.,0–0
CD Tenerife,Real Oviedo,2–2
CD Tenerife,Real Sociedad,2–1
CD Tenerife,Sevilla FC,2–1
CD Tenerife,Sporting de Gijón,3–0
CD Tenerife,Valencia CF,1–0
CD Tenerife,Real Valladolid,0–2
CD Tenerife,Real Zaragoza,5–3
Valencia CF,Albacete Balompié,4–0
Valencia CF,Athletic Bilbao,1–0
Valencia CF,Atlético Madrid,2–2
Valencia CF,FC Barcelona,0–4
Valencia CF,Celta de Vigo,3–0
Valencia CF,Deportivo de La Coruña,1–3
Valencia CF,UE Lleida,3–3
Valencia CF,CD Logroñés,3–1
Valencia CF,CA Osasuna,0–0
Valencia CF,Racing de Santander,2–1
Valencia CF,Rayo Vallecano,3–1
Valencia CF,Real Madrid C.F.,0–3
Valencia CF,Real Oviedo,2–2
Valencia CF,Real Sociedad,0–0
Valencia CF,Sevilla FC,1–1
Valencia CF,Sporting de Gijón,1–0
Valencia CF,CD Tenerife,3–2
Valencia CF,Real Valladolid,5–1
Valencia CF,Real Zaragoza,3–0
Real Valladolid,Albacete Balompié,1–0
Real Valladolid,Athletic Bilbao,1–1
Real Valladolid,Atlético Madrid,1–1
Real Valladolid,FC Barcelona,1–3
Real Valladolid,Celta de Vigo,0–0
Real Valladolid,Deportivo de La Coruña,0–0
Real Valladolid,UE Lleida,0–2
Real Valladolid,CD Logroñés,2–0
Real Valladolid,CA Osasuna,2–1
Real Valladolid,Racing de Santander,0–3
Real Valladolid,Rayo Vallecano,1–3
Real Valladolid,Real Madrid C.F.,0–0
Real Valladolid,Real Oviedo,0–0
Real Valladolid,Real Sociedad,0–0
Real Valladolid,Sevilla FC,2–2
Real Valladolid,Sporting de Gijón,0–1
Real Valladolid,CD Tenerife,2–0
Real Valladolid,Valencia CF,1–1
Real Valladolid,Real Zaragoza,0–0
Real Zaragoza,Albacete Balompié,1–1
Real Zaragoza,Athletic Bilbao,1–0
Real Zaragoza,Atlético Madrid,2–1
Real Zaragoza,FC Barcelona,6–3
Real Zaragoza,Celta de Vigo,4–1
Real Zaragoza,Deportivo de La Coruña,0–1
Real Zaragoza,UE Lleida,1–1
Real Zaragoza,CD Logroñés,1–1
Real Zaragoza,CA Osasuna,2–1
Real Zaragoza,Racing de Santander,2–0
Real Zaragoza,Rayo Vallecano,4–1
Real Zaragoza,Real Madrid C.F.,4–1
Real Zaragoza,Real Oviedo,2–1
Real Zaragoza,Real Sociedad,3–0
Real Zaragoza,Sevilla FC,1–2
Real Zaragoza,Sporting de Gijón,3–0
Real Zaragoza,CD Tenerife,6–2
Real Zaragoza,Valencia CF,1–0
Real Zaragoza,Real Valladolid,2–0
