Home,Away,Score
Athletic Bilbao,Atlético Madrid,1–1
Athletic Bilbao,FC Barcelona,3–2
Athletic Bilbao,Real Betis,1–1
Athletic Bilbao,Cádiz CF,1–0
Athletic Bilbao,Celta de Vigo,2–0
Athletic Bilbao,Elche CF,2–0
Athletic Bilbao,RCD Espanyol,1–0
Athletic Bilbao,CD Logroñés,3–0
Athletic Bilbao,Málaga CF,3–1
Athletic Bilbao,Real Murcia,3–0
Athletic Bilbao,CA Osasuna,0–0
Athletic Bilbao,Real Madrid C.F.,1–1
Athletic Bilbao,Real Oviedo,1–0
Athletic Bilbao,Real Sociedad,2–3
Athletic Bilbao,Sevilla FC,3–0
Athletic Bilbao,Sporting de Gijón,1–4
Athletic Bilbao,Valencia CF,1–2
Athletic Bilbao,Real Valladolid,2–0
Athletic Bilbao,Real Zaragoza,1–1
Atlético Madrid,Athletic Bilbao,0–1
Atlético Madrid,FC Barcelona,1–3
Atlético Madrid,Real Betis,6–2
Atlético Madrid,Cádiz CF,3–0
Atlético Madrid,Celta de Vigo,0–0
Atlético Madrid,Elche CF,3–1
Atlético Madrid,RCD Espanyol,6–1
Atlético Madrid,CD Logroñés,2–0
Atlético Madrid,Málaga CF,3–0
Atlético Madrid,Real Murcia,3–0
Atlético Madrid,CA Osasuna,4–1
Atlético Madrid,Real Madrid C.F.,3–3
Atlético Madrid,Real Oviedo,2–2
Atlético Madrid,Real Sociedad,3–0
Atlético Madrid,Sevilla FC,2–0
Atlético Madrid,Sporting de Gijón,0–0
Atlético Madrid,Valencia CF,2–0
Atlético Madrid,Real Valladolid,3–2
Atlético Madrid,Real Zaragoza,3–1
FC Barcelona,Athletic Bilbao,3–0
FC Barcelona,Atlético Madrid,3–0
FC Barcelona,Real Betis,3–0
FC Barcelona,Cádiz CF,3–0
FC Barcelona,Celta de Vigo,3–1
FC Barcelona,Elche CF,2–0
FC Barcelona,RCD Espanyol,2–0
FC Barcelona,CD Logroñés,2–1
FC Barcelona,Málaga CF,4–0
FC Barcelona,Real Murcia,3–1
FC Barcelona,CA Osasuna,1–2
FC Barcelona,Real Madrid C.F.,0–0
FC Barcelona,Real Oviedo,7–1
FC Barcelona,Real Sociedad,4–1
FC Barcelona,Sevilla FC,4–0
FC Barcelona,Sporting de Gijón,4–0
FC Barcelona,Valencia CF,1–1
FC Barcelona,Real Valladolid,0–0
FC Barcelona,Real Zaragoza,1–0
Real Betis,Athletic Bilbao,2–0
Real Betis,Atlético Madrid,0–1
Real Betis,FC Barcelona,0–2
Real Betis,Cádiz CF,1–1
Real Betis,Celta de Vigo,2–0
Real Betis,Elche CF,3–1
Real Betis,RCD Espanyol,2–2
Real Betis,CD Logroñés,0–0
Real Betis,Málaga CF,1–2
Real Betis,Real Murcia,3–0
Real Betis,CA Osasuna,1–0
Real Betis,Real Madrid C.F.,0–2
Real Betis,Real Oviedo,1–0
Real Betis,Real Sociedad,1–1
Real Betis,Sevilla FC,1–3
Real Betis,Sporting de Gijón,0–1
Real Betis,Valencia CF,0–0
Real Betis,Real Valladolid,0–1
Real Betis,Real Zaragoza,2–1
Cádiz CF,Athletic Bilbao,0–0
Cádiz CF,Atlético Madrid,2–0
Cádiz CF,FC Barcelona,1–1
Cádiz CF,Real Betis,4–0
Cádiz CF,Celta de Vigo,1–1
Cádiz CF,Elche CF,2–1
Cádiz CF,RCD Espanyol,0–0
Cádiz CF,CD Logroñés,0–1
Cádiz CF,Málaga CF,0–1
Cádiz CF,Real Murcia,0–2
Cádiz CF,CA Osasuna,1–1
