Home,Away,Score
Athletic Bilbao,Atlético Madrid,2–1
Athletic Bilbao,FC Barcelona,3–1
Athletic Bilbao,Burgos CF (I),1–2
Athletic Bilbao,Celta de Vigo,3–1
Athletic Bilbao,RCD Espanyol,1–0
Athletic Bilbao,Hércules CF,4–1
Athletic Bilbao,UD Las Palmas,3–0
Athletic Bilbao,Racing de Santander,4–1
Athletic Bilbao,Rayo Vallecano,2–0
Athletic Bilbao,Real Madrid C.F.,3–3
Athletic Bilbao,Real Sociedad,1–1
Athletic Bilbao,Recreativo de Huelva,5–3
Athletic Bilbao,UD Salamanca,3–0
Athletic Bilbao,Sevilla FC,2–3
Athletic Bilbao,Sporting de Gijón,1–1
Athletic Bilbao,Valencia CF,2–0
Athletic Bilbao,Real Zaragoza,2–2
Atlético Madrid,Athletic Bilbao,4–0
Atlético Madrid,FC Barcelona,1–1
Atlético Madrid,Burgos CF (I),1–2
Atlético Madrid,Celta de Vigo,4–0
Atlético Madrid,RCD Espanyol,1–0
Atlético Madrid,Hércules CF,3–0
Atlético Madrid,UD Las Palmas,1–1
Atlético Madrid,Racing de Santander,3–0
Atlético Madrid,Rayo Vallecano,0–0
Atlético Madrid,Real Madrid C.F.,2–2
Atlético Madrid,Real Sociedad,2–2
Atlético Madrid,Recreativo de Huelva,1–0
Atlético Madrid,UD Salamanca,1–0
Atlético Madrid,Sevilla FC,2–2
Atlético Madrid,Sporting de Gijón,0–0
Atlético Madrid,Valencia CF,2–1
Atlético Madrid,Real Zaragoza,3–1
FC Barcelona,Athletic Bilbao,4–3
FC Barcelona,Atlético Madrid,2–4
FC Barcelona,Burgos CF (I),2–0
FC Barcelona,Celta de Vigo,6–0
FC Barcelona,RCD Espanyol,2–1
FC Barcelona,Hércules CF,3–0
FC Barcelona,UD Las Palmas,4–0
FC Barcelona,Racing de Santander,1–0
FC Barcelona,Rayo Vallecano,9–0
FC Barcelona,Real Madrid C.F.,2–0
FC Barcelona,Real Sociedad,1–3
FC Barcelona,Recreativo de Huelva,2–0
FC Barcelona,UD Salamanca,3–0
FC Barcelona,Sevilla FC,1–0
FC Barcelona,Sporting de Gijón,6–0
FC Barcelona,Valencia CF,1–1
FC Barcelona,Real Zaragoza,5–0
Burgos CF (I),Athletic Bilbao,1–0
Burgos CF (I),Atlético Madrid,0–1
Burgos CF (I),FC Barcelona,1–0
Burgos CF (I),Celta de Vigo,1–0
Burgos CF (I),RCD Espanyol,1–0
Burgos CF (I),Hércules CF,0–0
Burgos CF (I),UD Las Palmas,1–1
Burgos CF (I),Racing de Santander,1–0
Burgos CF (I),Rayo Vallecano,1–1
Burgos CF (I),Real Madrid C.F.,2–2
Burgos CF (I),Real Sociedad,1–1
Burgos CF (I),Recreativo de Huelva,1–0
Burgos CF (I),UD Salamanca,1–0
Burgos CF (I),Sevilla FC,2–2
Burgos CF (I),Sporting de Gijón,0–2
Burgos CF (I),Valencia CF,1–1
Burgos CF (I),Real Zaragoza,1–1
Celta de Vigo,Athletic Bilbao,0–0
Celta de Vigo,Atlético Madrid,2–2
Celta de Vigo,FC Barcelona,2–1
Celta de Vigo,Burgos CF (I),3–2
Celta de Vigo,RCD Espanyol,0–1
Celta de Vigo,Hércules CF,2–1
Celta de Vigo,UD Las Palmas,1–2
Celta de Vigo,Racing de Santander,2–0
Celta de Vigo,Rayo Vallecano,2–1
Celta de Vigo,Real Madrid C.F.,2–2
Celta de Vigo,Real Sociedad,1–0
Celta de Vigo,Recreativo de Huelva,3–2
