Home,Away,Score
Athletic Bilbao,Atlético Madrid,2–0
Athletic Bilbao,FC Barcelona,1–1
Athletic Bilbao,Celta de Vigo,1–0
Athletic Bilbao,Deportivo de La Coruña,1–0
Athletic Bilbao,Elche CF,2–0
Athletic Bilbao,Granada CF,1–0
Athletic Bilbao,UD Las Palmas,3–0
Athletic Bilbao,RCD Mallorca,2–0
Athletic Bilbao,Pontevedra CF,3–1
Athletic Bilbao,Real Madrid C.F.,5–0
Athletic Bilbao,Real Sociedad,1–0
Athletic Bilbao,CE Sabadell FC,1–0
Athletic Bilbao,Sevilla FC,0–1
Athletic Bilbao,Valencia CF,0–0
Athletic Bilbao,Real Zaragoza,2–0
Atlético Madrid,Athletic Bilbao,2–1
Atlético Madrid,FC Barcelona,1–1
Atlético Madrid,Celta de Vigo,4–0
Atlético Madrid,Deportivo de La Coruña,2–0
Atlético Madrid,Elche CF,4–1
Atlético Madrid,Granada CF,5–0
Atlético Madrid,UD Las Palmas,1–2
Atlético Madrid,RCD Mallorca,3–1
Atlético Madrid,Pontevedra CF,2–0
Atlético Madrid,Real Madrid C.F.,3–0
Atlético Madrid,Real Sociedad,4–0
Atlético Madrid,CE Sabadell FC,0–1
Atlético Madrid,Sevilla FC,1–0
Atlético Madrid,Valencia CF,2–0
Atlético Madrid,Real Zaragoza,2–0
FC Barcelona,Athletic Bilbao,3–2
FC Barcelona,Atlético Madrid,1–2
FC Barcelona,Celta de Vigo,2–1
FC Barcelona,Deportivo de La Coruña,1–0
FC Barcelona,Elche CF,1–1
FC Barcelona,Granada CF,1–0
FC Barcelona,UD Las Palmas,0–0
FC Barcelona,RCD Mallorca,5–1
FC Barcelona,Pontevedra CF,2–0
FC Barcelona,Real Madrid C.F.,1–0
FC Barcelona,Real Sociedad,2–1
FC Barcelona,CE Sabadell FC,3–1
FC Barcelona,Sevilla FC,1–0
FC Barcelona,Valencia CF,1–0
FC Barcelona,Real Zaragoza,4–2
Celta de Vigo,Athletic Bilbao,0–2
Celta de Vigo,Atlético Madrid,1–1
Celta de Vigo,FC Barcelona,1–2
Celta de Vigo,Deportivo de La Coruña,2–2
Celta de Vigo,Elche CF,4–0
Celta de Vigo,Granada CF,2–1
Celta de Vigo,UD Las Palmas,1–0
Celta de Vigo,RCD Mallorca,3–1
Celta de Vigo,Pontevedra CF,1–0
Celta de Vigo,Real Madrid C.F.,2–2
Celta de Vigo,Real Sociedad,2–0
Celta de Vigo,CE Sabadell FC,1–1
Celta de Vigo,Sevilla FC,1–1
Celta de Vigo,Valencia CF,1–0
Celta de Vigo,Real Zaragoza,1–0
Deportivo de La Coruña,Athletic Bilbao,1–1
Deportivo de La Coruña,Atlético Madrid,0–1
Deportivo de La Coruña,FC Barcelona,0–0
Deportivo de La Coruña,Celta de Vigo,0–1
Deportivo de La Coruña,Elche CF,1–0
Deportivo de La Coruña,Granada CF,3–0
Deportivo de La Coruña,UD Las Palmas,0–0
Deportivo de La Coruña,RCD Mallorca,1–1
Deportivo de La Coruña,Pontevedra CF,2–1
Deportivo de La Coruña,Real Madrid C.F.,1–1
Deportivo de La Coruña,Real Sociedad,0–2
Deportivo de La Coruña,CE Sabadell FC,1–1
Deportivo de La Coruña,Sevilla FC,3–0
Deportivo de La Coruña,Valencia CF,2–1
Deportivo de La Coruña,Real Zaragoza,0–1
Elche CF,Athletic Bilbao,0–1
Elche CF,Atlético Madrid,1–1
Elche CF,FC Barcelona,1–0
Elche CF,Celta de Vigo,3–1
Elche CF,Deportivo de La Coruña,1–0
Elche CF,Granada CF,1–0
Elche CF,UD Las Palmas,1–2
Elche CF,RCD Mallorca,1–1
Elche CF,Pontevedra CF,1–0
Elche CF,Real Madrid C.F.,0–2
Elche CF,Real Sociedad,4–2
Elche CF,CE Sabadell FC,1–1
Elche CF,Sevilla FC,5–0
Elche CF,Valencia CF,0–0
Elche CF,Real Zaragoza,1–1
Granada CF,Athletic Bilbao,0–0
Granada CF,Atlético Madrid,0–0
Granada CF,FC Barcelona,0–0
Granada CF,Celta de Vigo,1–0
Granada CF,Deportivo de La Coruña,2–0
Granada CF,Elche CF,0–0
Granada CF,UD Las Palmas,0–0
Granada CF,RCD Mallorca,1–1
Granada CF,Pontevedra CF,1–0
Granada CF,Real Madrid C.F.,0–0
Granada CF,Real Sociedad,0–3
Granada CF,CE Sabadell FC,2–1
Granada CF,Sevilla FC,0–0
Granada CF,Valencia CF,0–1
Granada CF,Real Zaragoza,1–0
UD Las Palmas,Athletic Bilbao,1–3
UD Las Palmas,Atlético Madrid,2–2
UD Las Palmas,FC Barcelona,1–0
UD Las Palmas,Celta de Vigo,3–0
UD Las Palmas,Deportivo de La Coruña,0–1
UD Las Palmas,Elche CF,5–1
UD Las Palmas,Granada CF,1–2
UD Las Palmas,RCD Mallorca,3–1
UD Las Palmas,Pontevedra CF,1–1
UD Las Palmas,Real Madrid C.F.,2–4
UD Las Palmas,Real Sociedad,0–1
UD Las Palmas,CE Sabadell FC,1–0
UD Las Palmas,Sevilla FC,3–0
UD Las Palmas,Valencia CF,0–2
UD Las Palmas,Real Zaragoza,2–0
RCD Mallorca,Athletic Bilbao,2–2
RCD Mallorca,Atlético Madrid,1–0
RCD Mallorca,FC Barcelona,3–2
RCD Mallorca,Celta de Vigo,0–0
RCD Mallorca,Deportivo de La Coruña,0–1
RCD Mallorca,Elche CF,0–0
RCD Mallorca,Granada CF,4–6
RCD Mallorca,UD Las Palmas,1–0
RCD Mallorca,Pontevedra CF,3–0
RCD Mallorca,Real Madrid C.F.,1–2
RCD Mallorca,Real Sociedad,3–2
RCD Mallorca,CE Sabadell FC,1–0
RCD Mallorca,Sevilla FC,1–2
RCD Mallorca,Valencia CF,0–3
RCD Mallorca,Real Zaragoza,1–1
Pontevedra CF,Athletic Bilbao,0–2
Pontevedra CF,Atlético Madrid,1–2
Pontevedra CF,FC Barcelona,0–0
Pontevedra CF,Celta de Vigo,0–2
Pontevedra CF,Deportivo de La Coruña,0–0
Pontevedra CF,Elche CF,1–1
Pontevedra CF,Granada CF,0–1
Pontevedra CF,UD Las Palmas,0–0
Pontevedra CF,RCD Mallorca,0–2
Pontevedra CF,Real Madrid C.F.,1–3
Pontevedra CF,Real Sociedad,1–0
Pontevedra CF,CE Sabadell FC,2–1
Pontevedra CF,Sevilla FC,3–2
Pontevedra CF,Valencia CF,0–1
Pontevedra CF,Real Zaragoza,0–1
Real Madrid C.F.,Athletic Bilbao,2–2
Real Madrid C.F.,Atlético Madrid,1–1
Real Madrid C.F.,FC Barcelona,3–3
Real Madrid C.F.,Celta de Vigo,3–1
Real Madrid C.F.,Deportivo de La Coruña,2–2
Real Madrid C.F.,Elche CF,3–1
Real Madrid C.F.,Granada CF,2–0
Real Madrid C.F.,UD Las Palmas,5–0
Real Madrid C.F.,RCD Mallorca,1–1
Real Madrid C.F.,Pontevedra CF,2–1
Real Madrid C.F.,Real Sociedad,3–0
Real Madrid C.F.,CE Sabadell FC,1–0
Real Madrid C.F.,Sevilla FC,2–3
Real Madrid C.F.,Valencia CF,2–1
Real Madrid C.F.,Real Zaragoza,2–2
Real Sociedad,Athletic Bilbao,2–0
Real Sociedad,Atlético Madrid,2–1
Real Sociedad,FC Barcelona,1–0
Real Sociedad,Celta de Vigo,2–1
Real Sociedad,Deportivo de La Coruña,2–1
Real Sociedad,Elche CF,3–0
Real Sociedad,Granada CF,2–1
Real Sociedad,UD Las Palmas,5–0
Real Sociedad,RCD Mallorca,2–0
Real Sociedad,Pontevedra CF,2–1
