Home,Away,Score
RCD Espanyol,Real Sociedad,2–0
RCD Espanyol,Sevilla FC,1–1
RCD Espanyol,Sporting de Gijón,2–0
RCD Espanyol,CD Tenerife,2–2
RCD Espanyol,Valencia CF,0–0
RCD Espanyol,Real Valladolid,0–2
RCD Espanyol,Real Zaragoza,1–0
CD Logroñés,Albacete Balompié,1–1
CD Logroñés,Athletic Bilbao,0–1
CD Logroñés,Atlético Madrid,1–0
CD Logroñés,FC Barcelona,2–2
CD Logroñés,Cádiz CF,2–1
CD Logroñés,Deportivo de La Coruña,2–1
CD Logroñés,RCD Espanyol,2–1
CD Logroñés,RCD Mallorca,2–1
CD Logroñés,CA Osasuna,0–0
CD Logroñés,Real Burgos CF,1–2
CD Logroñés,Real Madrid C.F.,1–0
CD Logroñés,Real Oviedo,2–0
CD Logroñés,Real Sociedad,1–1
CD Logroñés,Sevilla FC,1–0
CD Logroñés,Sporting de Gijón,0–0
CD Logroñés,CD Tenerife,2–0
CD Logroñés,Valencia CF,0–0
CD Logroñés,Real Valladolid,0–0
CD Logroñés,Real Zaragoza,0–2
RCD Mallorca,Albacete Balompié,0–1
RCD Mallorca,Athletic Bilbao,1–2
RCD Mallorca,Atlético Madrid,0–2
RCD Mallorca,FC Barcelona,1–2
RCD Mallorca,Cádiz CF,1–0
RCD Mallorca,Deportivo de La Coruña,4–2
RCD Mallorca,RCD Espanyol,1–0
RCD Mallorca,CD Logroñés,2–1
RCD Mallorca,CA Osasuna,1–1
RCD Mallorca,Real Burgos CF,2–2
RCD Mallorca,Real Madrid C.F.,0–0
RCD Mallorca,Real Oviedo,2–1
RCD Mallorca,Real Sociedad,2–1
RCD Mallorca,Sevilla FC,1–0
RCD Mallorca,Sporting de Gijón,0–1
RCD Mallorca,CD Tenerife,0–2
RCD Mallorca,Valencia CF,0–1
RCD Mallorca,Real Valladolid,1–1
RCD Mallorca,Real Zaragoza,0–1
CA Osasuna,Albacete Balompié,2–0
CA Osasuna,Athletic Bilbao,1–1
CA Osasuna,Atlético Madrid,1–1
CA Osasuna,FC Barcelona,0–0
CA Osasuna,Cádiz CF,1–0
CA Osasuna,Deportivo de La Coruña,0–1
CA Osasuna,RCD Espanyol,0–1
CA Osasuna,CD Logroñés,3–0
CA Osasuna,RCD Mallorca,1–0
CA Osasuna,Real Burgos CF,1–1
CA Osasuna,Real Madrid C.F.,1–1
CA Osasuna,Real Oviedo,1–0
CA Osasuna,Real Sociedad,1–0
CA Osasuna,Sevilla FC,1–0
CA Osasuna,Sporting de Gijón,0–2
CA Osasuna,CD Tenerife,2–0
CA Osasuna,Valencia CF,0–1
CA Osasuna,Real Valladolid,1–1
CA Osasuna,Real Zaragoza,1–0
Real Burgos CF,Albacete Balompié,3–1
Real Burgos CF,Athletic Bilbao,2–0
Real Burgos CF,Atlético Madrid,1–1
Real Burgos CF,FC Barcelona,2–2
Real Burgos CF,Cádiz CF,1–1
Real Burgos CF,Deportivo de La Coruña,0–0
Real Burgos CF,RCD Espanyol,2–1
Real Burgos CF,CD Logroñés,2–0
Real Burgos CF,RCD Mallorca,0–0
Real Burgos CF,CA Osasuna,4–0
Real Burgos CF,Real Madrid C.F.,0–2
Real Burgos CF,Real Oviedo,1–0
Real Burgos CF,Real Sociedad,0–1
Real Burgos CF,Sevilla FC,1–0
Real Burgos CF,Sporting de Gijón,0–1
Real Burgos CF,CD Tenerife,3–1
Real Burgos CF,Valencia CF,2–1
Real Burgos CF,Real Valladolid,1–0
Real Burgos CF,Real Zaragoza,0–1
Real Madrid C.F.,Albacete Balompié,2–1
Real Madrid C.F.,Athletic Bilbao,5–0
Real Madrid C.F.,Atlético Madrid,3–2
Real Madrid C.F.,FC Barcelona,1–1
Real Madrid C.F.,Cádiz CF,1–1
Real Madrid C.F.,Deportivo de La Coruña,1–0
Real Madrid C.F.,RCD Espanyol,7–0
Real Madrid C.F.,CD Logroñés,3–0
Real Madrid C.F.,RCD Mallorca,2–0
Real Madrid C.F.,CA Osasuna,5–2
Real Madrid C.F.,Real Burgos CF,2–0
Real Madrid C.F.,Real Oviedo,0–0
Real Madrid C.F.,Real Sociedad,4–1
Real Madrid C.F.,Sevilla FC,3–1
Real Madrid C.F.,Sporting de Gijón,1–0
Real Madrid C.F.,CD Tenerife,2–1
Real Madrid C.F.,Valencia CF,2–1
Real Madrid C.F.,Real Valladolid,1–0
Real Madrid C.F.,Real Zaragoza,2–0
Real Oviedo,Albacete Balompié,0–1
Real Oviedo,Athletic Bilbao,1–1
Real Oviedo,Atlético Madrid,0–1
Real Oviedo,FC Barcelona,0–2
Real Oviedo,Cádiz CF,2–1
Real Oviedo,Deportivo de La Coruña,2–1
Real Oviedo,RCD Espanyol,1–0
Real Oviedo,CD Logroñés,2–3
Real Oviedo,RCD Mallorca,0–0
Real Oviedo,CA Osasuna,3–1
Real Oviedo,Real Burgos CF,3–1
Real Oviedo,Real Madrid C.F.,1–0
Real Oviedo,Real Sociedad,2–0
Real Oviedo,Sevilla FC,1–0
Real Oviedo,Sporting de Gijón,1–0
Real Oviedo,CD Tenerife,2–0
Real Oviedo,Valencia CF,2–2
Real Oviedo,Real Valladolid,2–1
Real Oviedo,Real Zaragoza,2–1
Real Sociedad,Albacete Balompié,0–1
Real Sociedad,Athletic Bilbao,2–0
Real Sociedad,Atlético Madrid,0–2
Real Sociedad,FC Barcelona,2–1
Real Sociedad,Cádiz CF,1–0
Real Sociedad,Deportivo de La Coruña,1–1
Real Sociedad,RCD Espanyol,1–1
Real Sociedad,CD Logroñés,4–0
Real Sociedad,RCD Mallorca,1–0
Real Sociedad,CA Osasuna,0–0
Real Sociedad,Real Burgos CF,4–0
Real Sociedad,Real Madrid C.F.,2–2
Real Sociedad,Real Oviedo,2–1
Real Sociedad,Sevilla FC,2–1
Real Sociedad,Sporting de Gijón,0–0
Real Sociedad,CD Tenerife,1–0
Real Sociedad,Valencia CF,3–1
Real Sociedad,Real Valladolid,1–0
Real Sociedad,Real Zaragoza,0–0
Sevilla FC,Albacete Balompié,3–0
Sevilla FC,Athletic Bilbao,1–2
Sevilla FC,Atlético Madrid,0–1
Sevilla FC,FC Barcelona,4–2
Sevilla FC,Cádiz CF,0–0
Sevilla FC,Deportivo de La Coruña,0–0
Sevilla FC,RCD Espanyol,2–1
Sevilla FC,CD Logroñés,0–1
Sevilla FC,RCD Mallorca,2–0
Sevilla FC,CA Osasuna,1–0
Sevilla FC,Real Burgos CF,3–2
Sevilla FC,Real Madrid C.F.,1–0
Sevilla FC,Real Oviedo,1–1
Sevilla FC,Real Sociedad,2–2
Sevilla FC,Sporting de Gijón,2–1
Sevilla FC,CD Tenerife,4–1
Sevilla FC,Valencia CF,2–3
Sevilla FC,Real Valladolid,2–1
Sevilla FC,Real Zaragoza,3–0
Sporting de Gijón,Albacete Balompié,0–2
Sporting de Gijón,Athletic Bilbao,3–2
Sporting de Gijón,Atlético Madrid,0–1
Sporting de Gijón,FC Barcelona,2–1
Sporting de Gijón,Cádiz CF,2–1
Sporting de Gijón,Deportivo de La Coruña,1–0
Sporting de Gijón,RCD Espanyol,3–0
Sporting de Gijón,CD Logroñés,1–1
Sporting de Gijón,RCD Mallorca,2–0
Sporting de Gijón,CA Osasuna,1–0
Sporting de Gijón,Real Burgos CF,0–0
Sporting de Gijón,Real Madrid C.F.,1–4
Sporting de Gijón,Real Oviedo,1–0
Sporting de Gijón,Real Sociedad,0–1
Sporting de Gijón,Sevilla FC,2–1
Sporting de Gijón,CD Tenerife,1–1
Sporting de Gijón,Valencia CF,0–3
Sporting de Gijón,Real Valladolid,1–0
Sporting de Gijón,Real Zaragoza,1–2
CD Tenerife,Albacete Balompié,2–3
CD Tenerife,Athletic Bilbao,4–1
CD Tenerife,Atlético Madrid,0–1
CD Tenerife,FC Barcelona,2–1
CD Tenerife,Cádiz CF,3–1
CD Tenerife,Deportivo de La Coruña,1–0
CD Tenerife,RCD Espanyol,0–1
CD Tenerife,CD Logroñés,3–0
CD Tenerife,RCD Mallorca,0–1
CD Tenerife,CA Osasuna,0–0
CD Tenerife,Real Burgos CF,4–1
CD Tenerife,Real Madrid C.F.,3–2
CD Tenerife,Real Oviedo,1–0
CD Tenerife,Real Sociedad,0–0
CD Tenerife,Sevilla FC,4–1
CD Tenerife,Sporting de Gijón,0–0
CD Tenerife,Valencia CF,2–1
CD Tenerife,Real Valladolid,0–0
CD Tenerife,Real Zaragoza,1–0
Valencia CF,Albacete Balompié,1–1
Valencia CF,Athletic Bilbao,3–1
Valencia CF,Atlético Madrid,2–0
Valencia CF,FC Barcelona,1–0
Valencia CF,Cádiz CF,4–0
Valencia CF,Deportivo de La Coruña,2–1
Valencia CF,RCD Espanyol,1–0
Valencia CF,CD Logroñés,1–1
Valencia CF,RCD Mallorca,1–1
Valencia CF,CA Osasuna,1–2
Valencia CF,Real Burgos CF,1–1
Valencia CF,Real Madrid C.F.,2–1
Valencia CF,Real Oviedo,6–3
Valencia CF,Real Sociedad,1–2
Valencia CF,Sevilla FC,3–2
Valencia CF,Sporting de Gijón,3–1
Valencia CF,CD Tenerife,1–0
Valencia CF,Real Valladolid,3–1
Valencia CF,Real Zaragoza,0–1
Real Valladolid,Albacete Balompié,1–0
Real Valladolid,Athletic Bilbao,1–1
Real Valladolid,Atlético Madrid,0–1
Real Valladolid,FC Barcelona,0–6
Real Valladolid,Cádiz CF,2–2
Real Valladolid,Deportivo de La Coruña,2–0
Real Valladolid,RCD Espanyol,0–0
Real Valladolid,CD Logroñés,1–2
Real Valladolid,RCD Mallorca,2–1
Real Valladolid,CA Osasuna,1–1
Real Valladolid,Real Burgos CF,2–0
Real Valladolid,Real Madrid C.F.,2–1
Real Valladolid,Real Oviedo,1–1
Real Valladolid,Real Sociedad,2–2
Real Valladolid,Sevilla FC,1–0
Real Valladolid,Sporting de Gijón,0–1
Real Valladolid,CD Tenerife,2–2
Real Valladolid,Valencia CF,1–4
Real Valladolid,Real Zaragoza,0–0
Real Zaragoza,Albacete Balompié,1–0
Real Zaragoza,Athletic Bilbao,1–0
Real Zaragoza,Atlético Madrid,1–0
Real Zaragoza,FC Barcelona,0–4
Real Zaragoza,Cádiz CF,3–0
Real Zaragoza,Deportivo de La Coruña,1–0
Real Zaragoza,RCD Espanyol,1–1
Real Zaragoza,CD Logroñés,3–2
Real Zaragoza,RCD Mallorca,1–2
Real Zaragoza,CA Osasuna,2–0
Real Zaragoza,Real Burgos CF,1–0
Real Zaragoza,Real Madrid C.F.,1–1
Real Zaragoza,Real Oviedo,3–2
Real Zaragoza,Real Sociedad,1–3
Real Zaragoza,Sevilla FC,1–1
Real Zaragoza,Sporting de Gijón,3–1
Real Zaragoza,CD Tenerife,3–0
Real Zaragoza,Valencia CF,0–3
Real Zaragoza,Real Valladolid,2–0
