Home,Away,Score
Deportivo Alavés,Athletic Bilbao,3–1
Deportivo Alavés,Atlético Madrid,0–1
Deportivo Alavés,FC Barcelona,0–2
Deportivo Alavés,RC Celta de Vigo,2–1
Deportivo Alavés,Deportivo de La Coruña,1–0
Deportivo Alavés,SD Eibar,1–2
Deportivo Alavés,RCD Espanyol,1–0
Deportivo Alavés,Getafe CF,2–0
Deportivo Alavés,Girona FC,1–2
Deportivo Alavés,UD Las Palmas,2–0
Deportivo Alavés,CD Leganés,2–2
Deportivo Alavés,Levante UD,1–0
Deportivo Alavés,Málaga CF,1–0
Deportivo Alavés,Real Betis,1–3
Deportivo Alavés,Real Madrid C.F.,1–2
Deportivo Alavés,Real Sociedad,0–2
Deportivo Alavés,Sevilla FC,1–0
Deportivo Alavés,Valencia CF,1–2
Deportivo Alavés,Villarreal CF,0–3
Athletic Bilbao,Deportivo Alavés,2–0
Athletic Bilbao,Atlético Madrid,1–2
Athletic Bilbao,FC Barcelona,0–2
Athletic Bilbao,RC Celta de Vigo,1–1
Athletic Bilbao,Deportivo de La Coruña,2–3
Athletic Bilbao,SD Eibar,1–1
Athletic Bilbao,RCD Espanyol,0–1
Athletic Bilbao,Getafe CF,0–0
Athletic Bilbao,Girona FC,2–0
Athletic Bilbao,UD Las Palmas,0–0
Athletic Bilbao,CD Leganés,2–0
Athletic Bilbao,Levante UD,1–3
Athletic Bilbao,Málaga CF,2–1
Athletic Bilbao,Real Betis,2–0
Athletic Bilbao,Real Madrid C.F.,0–0
Athletic Bilbao,Real Sociedad,0–0
Athletic Bilbao,Sevilla FC,1–0
Athletic Bilbao,Valencia CF,1–1
Athletic Bilbao,Villarreal CF,1–1
Atlético Madrid,Deportivo Alavés,1–0
Atlético Madrid,Athletic Bilbao,2–0
Atlético Madrid,FC Barcelona,1–1
Atlético Madrid,RC Celta de Vigo,3–0
Atlético Madrid,Deportivo de La Coruña,1–0
Atlético Madrid,SD Eibar,2–2
Atlético Madrid,RCD Espanyol,0–2
Atlético Madrid,Getafe CF,2–0
Atlético Madrid,Girona FC,1–1
Atlético Madrid,UD Las Palmas,3–0
Atlético Madrid,CD Leganés,4–0
Atlético Madrid,Levante UD,3–0
Atlético Madrid,Málaga CF,1–0
Atlético Madrid,Real Betis,0–0
Atlético Madrid,Real Madrid C.F.,0–0
Atlético Madrid,Real Sociedad,2–1
Atlético Madrid,Sevilla FC,2–0
Atlético Madrid,Valencia CF,1–0
Atlético Madrid,Villarreal CF,1–1
FC Barcelona,Deportivo Alavés,2–1
FC Barcelona,Athletic Bilbao,2–0
FC Barcelona,Atlético Madrid,1–0
FC Barcelona,RC Celta de Vigo,2–2
FC Barcelona,Deportivo de La Coruña,4–0
FC Barcelona,SD Eibar,6–1
FC Barcelona,RCD Espanyol,5–0
FC Barcelona,Getafe CF,0–0
FC Barcelona,Girona FC,6–1
FC Barcelona,UD Las Palmas,3–0
FC Barcelona,CD Leganés,3–1
FC Barcelona,Levante UD,3–0
FC Barcelona,Málaga CF,2–0
FC Barcelona,Real Betis,2–0
FC Barcelona,Real Madrid C.F.,2–2
FC Barcelona,Real Sociedad,1–0
FC Barcelona,Sevilla FC,2–1
FC Barcelona,Valencia CF,2–1
FC Barcelona,Villarreal CF,5–1
RC Celta de Vigo,Deportivo Alavés,1–0
RC Celta de Vigo,Athletic Bilbao,3–1
RC Celta de Vigo,Atlético Madrid,0–1
RC Celta de Vigo,FC Barcelona,2–2
RC Celta de Vigo,Deportivo de La Coruña,1–1
RC Celta de Vigo,SD Eibar,2–0
RC Celta de Vigo,RCD Espanyol,2–2
RC Celta de Vigo,Getafe CF,1–1
RC Celta de Vigo,Girona FC,3–3
RC Celta de Vigo,UD Las Palmas,2–1
RC Celta de Vigo,CD Leganés,1–0
RC Celta de Vigo,Levante UD,4–2
RC Celta de Vigo,Málaga CF,0–0
RC Celta de Vigo,Real Betis,3–2
RC Celta de Vigo,Real Madrid C.F.,2–2
RC Celta de Vigo,Real Sociedad,2–3
RC Celta de Vigo,Sevilla FC,4–0
RC Celta de Vigo,Valencia CF,1–1
RC Celta de Vigo,Villarreal CF,0–1
Deportivo de La Coruña,Deportivo Alavés,1–0
Deportivo de La Coruña,Athletic Bilbao,2–2
Deportivo de La Coruña,Atlético Madrid,0–1
Deportivo de La Coruña,FC Barcelona,2–4
Deportivo de La Coruña,RC Celta de Vigo,1–3
Deportivo de La Coruña,SD Eibar,1–1
Deportivo de La Coruña,RCD Espanyol,0–0
Deportivo de La Coruña,Getafe CF,2–1
Deportivo de La Coruña,Girona FC,1–2
Deportivo de La Coruña,UD Las Palmas,1–1
Deportivo de La Coruña,CD Leganés,1–0
Deportivo de La Coruña,Levante UD,2–2
Deportivo de La Coruña,Málaga CF,3–2
Deportivo de La Coruña,Real Betis,0–1
Deportivo de La Coruña,Real Madrid C.F.,0–3
Deportivo de La Coruña,Real Sociedad,2–4
Deportivo de La Coruña,Sevilla FC,0–0
Deportivo de La Coruña,Valencia CF,1–2
Deportivo de La Coruña,Villarreal CF,2–4
SD Eibar,Deportivo Alavés,0–1
SD Eibar,Athletic Bilbao,0–1
SD Eibar,Atlético Madrid,0–1
SD Eibar,FC Barcelona,0–2
SD Eibar,RC Celta de Vigo,0–4
SD Eibar,Deportivo de La Coruña,0–0
SD Eibar,RCD Espanyol,3–1
SD Eibar,Getafe CF,0–1
SD Eibar,Girona FC,4–1
SD Eibar,UD Las Palmas,1–0
SD Eibar,CD Leganés,1–0
SD Eibar,Levante UD,2–2
SD Eibar,Málaga CF,1–1
SD Eibar,Real Betis,5–0
SD Eibar,Real Madrid C.F.,1–2
SD Eibar,Real Sociedad,0–0
SD Eibar,Sevilla FC,5–1
SD Eibar,Valencia CF,2–1
SD Eibar,Villarreal CF,1–0
RCD Espanyol,Deportivo Alavés,0–0
RCD Espanyol,Athletic Bilbao,1–1
RCD Espanyol,Atlético Madrid,1–0
RCD Espanyol,FC Barcelona,1–1
RCD Espanyol,RC Celta de Vigo,2–1
RCD Espanyol,Deportivo de La Coruña,4–1
RCD Espanyol,SD Eibar,0–1
RCD Espanyol,Getafe CF,1–0
RCD Espanyol,Girona FC,0–1
RCD Espanyol,UD Las Palmas,1–1
RCD Espanyol,CD Leganés,0–1
RCD Espanyol,Levante UD,0–0
RCD Espanyol,Málaga CF,4–1
RCD Espanyol,Real Betis,1–0
RCD Espanyol,Real Madrid C.F.,1–0
RCD Espanyol,Real Sociedad,2–1
RCD Espanyol,Sevilla FC,0–3
RCD Espanyol,Valencia CF,0–2
RCD Espanyol,Villarreal CF,1–1
Getafe CF,Deportivo Alavés,4–1
Getafe CF,Athletic Bilbao,2–2
Getafe CF,Atlético Madrid,0–1
Getafe CF,FC Barcelona,1–2
Getafe CF,RC Celta de Vigo,3–0
Getafe CF,Deportivo de La Coruña,3–0
Getafe CF,SD Eibar,0–0
Getafe CF,RCD Espanyol,1–0
Getafe CF,Girona FC,1–1
Getafe CF,UD Las Palmas,2–0
Getafe CF,CD Leganés,0–0
Getafe CF,Levante UD,0–1
Getafe CF,Málaga CF,1–0
Getafe CF,Real Betis,0–1
Getafe CF,Real Madrid C.F.,1–2
Getafe CF,Real Sociedad,2–1
Getafe CF,Sevilla FC,0–1
Getafe CF,Valencia CF,1–0
Getafe CF,Villarreal CF,4–0
Girona FC,Deportivo Alavés,2–3
Girona FC,Athletic Bilbao,2–0
Girona FC,Atlético Madrid,2–2
Girona FC,FC Barcelona,0–3
Girona FC,RC Celta de Vigo,1–0
Girona FC,Deportivo de La Coruña,2–0
Girona FC,SD Eibar,1–4
Girona FC,RCD Espanyol,0–2
Girona FC,Getafe CF,1–0
Girona FC,UD Las Palmas,6–0
Girona FC,CD Leganés,3–0
Girona FC,Levante UD,1–1
Girona FC,Málaga CF,1–0
Girona FC,Real Betis,0–1
Girona FC,Real Madrid C.F.,2–1
Girona FC,Real Sociedad,1–1
Girona FC,Sevilla FC,0–1
Girona FC,Valencia CF,0–1
Girona FC,Villarreal CF,1–2
UD Las Palmas,Deportivo Alavés,0–4
UD Las Palmas,Athletic Bilbao,1–0
UD Las Palmas,Atlético Madrid,1–5
UD Las Palmas,FC Barcelona,1–1
UD Las Palmas,RC Celta de Vigo,2–5
UD Las Palmas,Deportivo de La Coruña,1–3
UD Las Palmas,SD Eibar,1–2
UD Las Palmas,RCD Espanyol,2–2
UD Las Palmas,Getafe CF,0–1
UD Las Palmas,Girona FC,1–2
UD Las Palmas,CD Leganés,0–2
UD Las Palmas,Levante UD,0–2
UD Las Palmas,Málaga CF,1–0
UD Las Palmas,Real Betis,1–0
UD Las Palmas,Real Madrid C.F.,0–3
UD Las Palmas,Real Sociedad,0–1
UD Las Palmas,Sevilla FC,1–2
UD Las Palmas,Valencia CF,2–1
UD Las Palmas,Villarreal CF,0–2
CD Leganés,Deportivo Alavés,1–0
CD Leganés,Athletic Bilbao,1–0
CD Leganés,Atlético Madrid,0–0
CD Leganés,FC Barcelona,0–3
CD Leganés,RC Celta de Vigo,1–0
CD Leganés,Deportivo de La Coruña,0–0
CD Leganés,SD Eibar,0–1
CD Leganés,RCD Espanyol,3–2
CD Leganés,Getafe CF,1–2
CD Leganés,Girona FC,0–0
CD Leganés,UD Las Palmas,0–0
CD Leganés,Levante UD,0–3
CD Leganés,Málaga CF,2–0
CD Leganés,Real Betis,3–2
CD Leganés,Real Madrid C.F.,1–3
CD Leganés,Real Sociedad,1–0
CD Leganés,Sevilla FC,2–1
CD Leganés,Valencia CF,0–1
CD Leganés,Villarreal CF,3–1
