Home,Away,Score
Albacete Balompié,Athletic Bilbao,2–0
Albacete Balompié,Atlético Madrid,1–1
Albacete Balompié,FC Barcelona,0–1
Albacete Balompié,Real Betis,0–0
Albacete Balompié,Celta de Vigo,4–0
Albacete Balompié,SD Compostela,2–1
Albacete Balompié,Deportivo de La Coruña,1–0
Albacete Balompié,RCD Espanyol,0–0
Albacete Balompié,CP Mérida,2–0
Albacete Balompié,Racing de Santander,2–2
Albacete Balompié,Rayo Vallecano,1–2
Albacete Balompié,Real Madrid C.F.,1–1
Albacete Balompié,Real Oviedo,0–1
Albacete Balompié,Real Sociedad,3–5
Albacete Balompié,UD Salamanca,3–3
Albacete Balompié,Sevilla FC,3–2
Albacete Balompié,Sporting de Gijón,1–3
Albacete Balompié,CD Tenerife,0–0
Albacete Balompié,Valencia CF,1–3
Albacete Balompié,Real Valladolid,4–2
Albacete Balompié,Real Zaragoza,0–1
Athletic Bilbao,Albacete Balompié,2–2
Athletic Bilbao,Atlético Madrid,0–2
Athletic Bilbao,FC Barcelona,0–0
Athletic Bilbao,Real Betis,0–1
Athletic Bilbao,Celta de Vigo,3–0
Athletic Bilbao,SD Compostela,0–0
Athletic Bilbao,Deportivo de La Coruña,1–0
Athletic Bilbao,RCD Espanyol,0–0
Athletic Bilbao,CP Mérida,1–1
Athletic Bilbao,Racing de Santander,4–0
Athletic Bilbao,Rayo Vallecano,3–1
Athletic Bilbao,Real Madrid C.F.,0–5
Athletic Bilbao,Real Oviedo,0–1
Athletic Bilbao,Real Sociedad,0–0
Athletic Bilbao,UD Salamanca,3–1
Athletic Bilbao,Sevilla FC,1–1
Athletic Bilbao,Sporting de Gijón,2–1
Athletic Bilbao,CD Tenerife,2–0
Athletic Bilbao,Valencia CF,0–1
Athletic Bilbao,Real Valladolid,2–1
Athletic Bilbao,Real Zaragoza,1–0
Atlético Madrid,Albacete Balompié,2–0
Atlético Madrid,Athletic Bilbao,4–1
Atlético Madrid,FC Barcelona,3–1
Atlético Madrid,Real Betis,1–1
Atlético Madrid,Celta de Vigo,3–2
Atlético Madrid,SD Compostela,3–0
Atlético Madrid,Deportivo de La Coruña,1–0
Atlético Madrid,RCD Espanyol,2–1
Atlético Madrid,CP Mérida,1–1
Atlético Madrid,Racing de Santander,2–0
Atlético Madrid,Rayo Vallecano,0–0
Atlético Madrid,Real Madrid C.F.,1–2
Atlético Madrid,Real Oviedo,3–0
Atlético Madrid,Real Sociedad,4–1
Atlético Madrid,UD Salamanca,2–1
Atlético Madrid,Sevilla FC,0–1
Atlético Madrid,Sporting de Gijón,2–0
Atlético Madrid,CD Tenerife,3–1
Atlético Madrid,Valencia CF,2–3
Atlético Madrid,Real Valladolid,0–2
Atlético Madrid,Real Zaragoza,1–1
FC Barcelona,Albacete Balompié,3–0
FC Barcelona,Athletic Bilbao,4–1
FC Barcelona,Atlético Madrid,1–3
FC Barcelona,Real Betis,1–0
FC Barcelona,Celta de Vigo,3–2
FC Barcelona,SD Compostela,1–0
FC Barcelona,Deportivo de La Coruña,1–1
FC Barcelona,RCD Espanyol,2–1
FC Barcelona,CP Mérida,2–2
FC Barcelona,Racing de Santander,1–1
FC Barcelona,Rayo Vallecano,2–0
FC Barcelona,Real Madrid C.F.,3–0
FC Barcelona,Real Oviedo,4–1
FC Barcelona,Real Sociedad,1–0
FC Barcelona,UD Salamanca,4–1
FC Barcelona,Sevilla FC,1–1
FC Barcelona,Sporting de Gijón,1–0
FC Barcelona,CD Tenerife,2–2
FC Barcelona,Valencia CF,1–0
FC Barcelona,Real Valladolid,1–0
FC Barcelona,Real Zaragoza,3–1
Real Betis,Albacete Balompié,2–3
Real Betis,Athletic Bilbao,0–0
Real Betis,Atlético Madrid,2–1
Real Betis,FC Barcelona,1–5
Real Betis,Celta de Vigo,0–3
Real Betis,SD Compostela,5–0
Real Betis,Deportivo de La Coruña,1–0
Real Betis,RCD Espanyol,2–3
Real Betis,CP Mérida,0–1
Real Betis,Racing de Santander,2–2
Real Betis,Rayo Vallecano,0–0
Real Betis,Real Madrid C.F.,0–0
Real Betis,Real Oviedo,2–1
Real Betis,Real Sociedad,3–1
Real Betis,UD Salamanca,4–0
Real Betis,Sevilla FC,1–1
Real Betis,Sporting de Gijón,2–5
Real Betis,CD Tenerife,3–3
Real Betis,Valencia CF,3–0
Real Betis,Real Valladolid,3–0
Real Betis,Real Zaragoza,3–1
Celta de Vigo,Albacete Balompié,2–2
Celta de Vigo,Athletic Bilbao,3–1
Celta de Vigo,Atlético Madrid,0–3
Celta de Vigo,FC Barcelona,1–0
Celta de Vigo,Real Betis,2–0
Celta de Vigo,SD Compostela,0–1
Celta de Vigo,Deportivo de La Coruña,0–0
Celta de Vigo,RCD Espanyol,4–2
Celta de Vigo,CP Mérida,2–0
Celta de Vigo,Racing de Santander,0–0
Celta de Vigo,Rayo Vallecano,2–0
Celta de Vigo,Real Madrid C.F.,1–1
Celta de Vigo,Real Oviedo,1–0
Celta de Vigo,Real Sociedad,1–1
Celta de Vigo,UD Salamanca,2–1
Celta de Vigo,Sevilla FC,4–0
Celta de Vigo,Sporting de Gijón,0–0
Celta de Vigo,CD Tenerife,2–2
Celta de Vigo,Valencia CF,1–1
Celta de Vigo,Real Valladolid,1–1
Celta de Vigo,Real Zaragoza,1–1
SD Compostela,Albacete Balompié,3–1
SD Compostela,Athletic Bilbao,2–1
SD Compostela,Atlético Madrid,1–3
SD Compostela,FC Barcelona,2–1
SD Compostela,Real Betis,1–2
SD Compostela,Celta de Vigo,1–1
SD Compostela,Deportivo de La Coruña,4–0
SD Compostela,RCD Espanyol,2–1
SD Compostela,CP Mérida,1–0
SD Compostela,Racing de Santander,2–0
SD Compostela,Rayo Vallecano,1–0
